Date,Open,High,Low,Close,Adj Close,Volume
2020-09-22,0.008107,0.008195,0.007363,0.007834,0.007834,327609
2020-09-23,0.007836,0.007854,0.007055,0.007151,0.007151,358344
2020-09-24,0.007151,0.007700,0.007113,0.007664,0.007664,422359
2020-09-25,0.007663,0.007707,0.006921,0.007287,0.007287,262903
2020-09-26,0.007292,0.007490,0.007022,0.007143,0.007143,305489
2020-09-27,0.007143,0.007199,0.006442,0.006602,0.006602,323626
2020-09-28,0.006602,0.006944,0.006173,0.006281,0.006281,425231
2020-09-29,0.006281,0.006796,0.006002,0.006686,0.006686,278370
2020-09-30,0.006688,0.006797,0.006320,0.006585,0.006585,262376
2020-10-01,0.006585,0.006836,0.005989,0.006444,0.006444,271763
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,0.006717,0.006784,0.006082,0.006585,0.006585,246276
2020-10-06,0.006585,0.006761,0.005747,0.006320,0.006320,250906
2020-10-07,0.006292,0.006296,0.005498,0.005636,0.005636,193311
2020-10-08,0.005602,0.006200,0.005498,0.005981,0.005981,151699
2020-10-09,null,null,null,null,null,null
2020-10-10,0.005832,0.006096,0.005632,0.006031,0.006031,211523
2020-10-11,0.006073,0.006322,0.005812,0.005996,0.005996,168194
2020-10-12,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null
2020-10-14,0.005788,0.005916,0.005669,0.005853,0.005853,177807
2020-10-15,0.005891,0.005893,0.005628,0.005732,0.005732,194549
2020-10-16,0.005730,0.005787,0.005429,0.005659,0.005659,183217
2020-10-17,0.005660,0.006451,0.005595,0.006331,0.006331,181094
2020-10-18,0.006331,0.006590,0.005782,0.006344,0.006344,154802
2020-10-19,0.006326,0.006393,0.005382,0.005415,0.005415,181080
2020-10-20,0.005418,0.005623,0.005159,0.005290,0.005290,176275
2020-10-21,0.005320,0.005554,0.004993,0.005286,0.005286,185360
2020-10-22,0.005344,0.005665,0.004977,0.005224,0.005224,208081
2020-10-23,0.005254,0.005677,0.005112,0.005252,0.005252,139951
2020-10-24,0.005252,0.005650,0.004910,0.005020,0.005020,216791
2020-10-25,0.005020,0.005137,0.004754,0.004868,0.004868,202309
2020-10-26,0.004869,0.005043,0.004112,0.004554,0.004554,202165
2020-10-27,0.004554,0.004692,0.003903,0.003932,0.003932,231392
2020-10-28,null,null,null,null,null,null
2020-10-29,null,null,null,null,null,null
