Date,Open,High,Low,Close,Adj Close,Volume
2017-11-24,61.708199,74.439102,61.708199,69.304802,69.304802,23322800
2017-11-25,69.349701,104.836998,68.773003,94.221703,94.221703,45941900
2017-11-26,94.204002,94.251404,65.903099,66.122101,66.122101,20896400
2017-11-27,66.297096,70.598999,63.819302,65.892998,65.892998,22995100
2017-11-28,65.666199,65.701500,50.292801,54.473801,54.473801,22958800
2017-11-29,54.274700,57.184700,43.432899,45.140400,45.140400,15311200
2017-11-30,45.872002,54.293900,42.918400,47.934601,47.934601,10105800
2017-12-01,47.234699,52.234200,45.576401,51.805302,51.805302,8257780
2017-12-02,51.707600,51.964901,45.065800,47.238800,47.238800,6309450
2017-12-03,47.110901,51.143501,44.787300,47.367802,47.367802,6135070
2017-12-04,47.491100,48.202099,43.302502,46.767200,46.767200,6704090
2017-12-05,46.839001,47.875198,42.778000,42.987202,42.987202,6604280
2017-12-06,42.856400,43.419899,32.761398,38.155201,38.155201,11912000
2017-12-07,37.771301,37.771301,34.354198,35.979599,35.979599,7586480
2017-12-08,36.288898,38.257198,32.151001,35.556400,35.556400,8632940
2017-12-09,35.229599,35.762199,31.468500,33.567101,33.567101,6132550
2017-12-10,33.601799,48.555000,29.924000,39.749699,39.749699,14494700
2017-12-11,39.805000,43.547600,36.573101,37.840302,37.840302,8156630
2017-12-12,38.049801,38.049801,32.200802,33.444099,33.444099,8794210
2017-12-13,33.414902,34.278099,30.551100,31.872299,31.872299,7563820
2017-12-14,31.620800,37.691799,31.541100,37.691799,37.691799,11436000
2017-12-15,37.729599,48.397400,35.899300,44.532600,44.532600,18905000
2017-12-16,43.842800,46.959702,41.232300,43.380600,43.380600,12230100
2017-12-17,43.127701,46.325401,43.127701,45.187801,45.187801,7733990
2017-12-18,45.344799,46.883202,43.126900,44.748100,44.748100,9332280
2017-12-19,44.738998,47.059299,43.415699,46.456001,46.456001,9968920
2017-12-20,46.365398,70.401802,46.061699,67.876999,67.876999,28903400
2017-12-21,68.180000,69.183601,48.291401,48.753601,48.753601,15000200
2017-12-22,48.928699,58.254398,35.177700,43.424198,43.424198,10007700
2017-12-23,42.737701,45.798401,39.062302,39.062302,39.062302,8449980
2017-12-24,39.724098,40.555698,34.251499,40.401501,40.401501,4319190
2017-12-25,40.646099,52.882900,40.007801,51.438202,51.438202,7201650
2017-12-26,51.252300,76.449799,43.942699,64.666298,64.666298,21672200
2017-12-27,64.894096,67.073303,39.961601,40.147400,40.147400,14988700
2017-12-28,44.484798,44.484798,29.775000,31.338900,31.338900,10183000
2017-12-29,31.465099,40.125500,31.329300,34.797901,34.797901,9884250
2017-12-30,34.676201,34.720699,26.617500,31.133699,31.133699,7365910
2017-12-31,31.017799,31.370800,26.616800,30.764099,30.764099,7705000
2018-01-01,30.763700,30.763700,27.011200,27.011200,27.011200,8525740
2018-01-02,26.902399,28.154200,25.539000,26.667900,26.667900,12581100
2018-01-03,26.590599,27.416401,23.619301,23.844700,23.844700,406035008
2018-01-04,23.820499,26.829300,22.433901,24.652000,24.652000,779523968
2018-01-05,24.913200,26.153099,21.847601,24.655600,24.655600,12946300
2018-01-06,24.787100,27.960800,23.034401,27.960800,27.960800,12356900
2018-01-07,28.169300,32.679501,27.047899,27.047899,27.047899,16371800
2018-01-08,26.794001,30.658001,24.804399,27.473900,27.473900,15915800
2018-01-09,27.313700,27.761499,22.840000,23.506901,23.506901,12572900
2018-01-10,23.614201,23.614201,16.906099,17.332399,17.332399,12070100
2018-01-11,17.440500,18.222300,14.819300,16.823200,16.823200,10379800
2018-01-12,16.950899,18.737400,16.612000,17.548401,17.548401,9571350
2018-01-13,17.516701,45.356098,16.850300,33.815102,33.815102,187763008
