Date,Open,High,Low,Close,Adj Close,Volume
2020-08-16,6.950244,7.390197,5.858365,5.916395,5.916395,66221067
2020-08-17,5.916395,5.916395,4.237933,4.401573,4.401573,72752377
2020-08-18,4.404046,4.425852,3.293210,3.604847,3.604847,76006939
2020-08-19,3.600744,4.982876,3.364964,3.944602,3.944602,108867209
2020-08-20,3.944602,4.646949,3.849538,3.898765,3.898765,58831109
2020-08-21,3.904063,4.050661,3.236745,3.245777,3.245777,49691038
2020-08-22,3.251584,3.279341,2.793043,3.061156,3.061156,36545400
2020-08-23,3.060879,3.060879,2.627078,2.690945,2.690945,30411528
2020-08-24,2.705222,3.036571,2.635048,2.899967,2.899967,58683085
2020-08-25,2.904387,3.273764,2.705020,2.885158,2.885158,74617385
2020-08-26,2.877698,4.097057,2.823058,3.592070,3.592070,151446812
2020-08-27,3.570420,4.316334,3.253723,3.376421,3.376421,155477672
2020-08-28,3.368880,3.904774,3.355901,3.531785,3.531785,74824965
2020-08-29,3.537500,3.539047,3.116632,3.127656,3.127656,61128438
2020-08-30,3.128142,3.737381,3.110337,3.567495,3.567495,98667653
2020-08-31,3.562617,4.413920,3.449099,4.407320,4.407320,119470585
2020-09-01,4.406484,5.629665,4.155980,5.350274,5.350274,386102933
2020-09-02,5.346639,5.349301,3.914642,4.317109,4.317109,199311259
2020-09-03,4.334042,4.356167,2.843413,3.005537,3.005537,147134538
2020-09-04,3.003399,3.269171,2.793082,2.901278,2.901278,98147017
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null
2020-09-09,null,null,null,null,null,null
2020-09-10,null,null,null,null,null,null
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null
2020-09-20,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null
2020-09-22,1.093516,1.153981,1.019161,1.078293,1.078293,53303929
2020-09-23,1.078300,1.124658,0.883689,0.894171,0.894171,41469852
2020-09-24,0.889692,1.000682,0.885298,0.992966,0.992966,36044292
2020-09-25,0.993177,1.042720,0.886267,0.976160,0.976160,52391718
2020-09-26,0.974622,1.136590,0.973755,1.115282,1.115282,60392230
2020-09-27,1.115282,1.132179,0.988975,1.038957,1.038957,44509813
2020-09-28,1.038957,1.096989,1.001434,1.004935,1.004935,41871970
2020-09-29,1.006688,1.020573,0.917990,0.952529,0.952529,32789054
2020-09-30,0.954008,0.964754,0.913828,0.947673,0.947673,29678210
2020-10-01,0.947673,0.984253,0.842946,0.866308,0.866308,38947420
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,0.699048,0.720324,0.621202,0.633415,0.633415,39853463
2020-10-06,0.633810,0.635790,0.500514,0.507715,0.507715,43666601
2020-10-07,0.508796,0.527499,0.458957,0.525878,0.525878,49741922
2020-10-08,0.525499,0.577875,0.469093,0.557996,0.557996,44767662
2020-10-09,null,null,null,null,null,null
2020-10-10,0.625034,0.644089,0.551295,0.559318,0.559318,35318793
2020-10-11,0.559593,0.578363,0.527961,0.559972,0.559972,26585237
2020-10-12,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null
2020-10-14,0.548003,0.553932,0.479439,0.507968,0.507968,35766009
2020-10-15,0.506904,0.506999,0.482648,0.496865,0.496865,18962468
2020-10-16,0.497565,0.514015,0.423807,0.429265,0.429265,23650376
2020-10-17,0.430034,0.452644,0.419420,0.439448,0.439448,19638086
2020-10-18,0.437128,0.472862,0.434384,0.456852,0.456852,15812277
2020-10-19,0.455984,0.457459,0.410117,0.415729,0.415729,20616457
2020-10-20,0.414331,0.416954,0.355919,0.359871,0.359871,23404855
2020-10-21,0.359529,0.399744,0.357928,0.382909,0.382909,20956983
2020-10-22,0.383306,0.429928,0.382723,0.406706,0.406706,21007653
2020-10-23,0.407647,0.411850,0.369827,0.378849,0.378849,16505753
2020-10-24,0.378849,0.380155,0.358902,0.374657,0.374657,18832703
2020-10-25,0.374657,0.381484,0.331598,0.338483,0.338483,16891193
2020-10-26,0.338483,0.435079,0.335996,0.407431,0.407431,45506308
2020-10-27,0.407431,0.623820,0.389685,0.623804,0.623804,106555554
2020-10-28,null,null,null,null,null,null
2020-10-29,null,null,null,null,null,null
2020-10-30,null,null,null,null,null,null
2020-10-31,null,null,null,null,null,null
2020-11-01,null,null,null,null,null,null
2020-11-02,null,null,null,null,null,null
2020-11-03,null,null,null,null,null,null
2020-11-04,null,null,null,null,null,null
2020-11-05,null,null,null,null,null,null
