Date,Open,High,Low,Close,Adj Close,Volume
2018-03-08,2.622130,3.353620,1.239970,2.839490,2.839490,150428000
2018-03-09,2.847710,2.943450,1.416480,1.642910,1.642910,182844992
2018-03-10,1.647390,1.866050,1.467450,1.483440,1.483440,53627900
2018-03-11,1.477190,1.628140,1.412130,1.597210,1.597210,46160400
2018-03-12,1.595050,1.621480,1.273180,1.314170,1.314170,53359000
2018-03-13,1.298860,1.408100,1.211820,1.356990,1.356990,89964304
2018-03-14,1.356010,1.571150,1.356010,1.466480,1.466480,294265984
2018-03-15,1.469460,1.708990,1.269710,1.688970,1.688970,178626000
2018-03-16,1.672110,1.864380,1.493310,1.508040,1.508040,70498600
2018-03-17,1.367290,1.493200,1.251650,1.281280,1.281280,47038200
2018-03-18,1.279110,1.320060,1.007690,1.275780,1.275780,33210200
2018-03-19,1.270870,1.306430,1.167460,1.258520,1.258520,29096500
2018-03-20,1.275140,1.447250,1.245570,1.376020,1.376020,32469000
2018-03-21,1.381750,1.497260,1.350950,1.409280,1.409280,28898900
2018-03-22,1.408580,1.465760,1.240010,1.310420,1.310420,28259000
2018-03-23,1.311210,1.374000,1.232960,1.369310,1.369310,25017500
2018-03-24,1.379590,1.481170,1.370820,1.432180,1.432180,25723300
2018-03-25,1.401180,1.508400,1.354130,1.508400,1.508400,23903500
2018-03-26,1.472330,1.937700,1.440330,1.743940,1.743940,81838200
2018-03-27,1.756020,2.373940,1.618300,2.191340,2.191340,93276096
2018-03-28,2.131520,2.857770,2.059450,2.326440,2.326440,136956992
2018-03-29,2.334060,2.444800,1.981270,2.137590,2.137590,68976200
2018-03-30,2.129780,2.459080,2.013870,2.305390,2.305390,64202200
2018-03-31,2.312610,2.366440,2.054180,2.058380,2.058380,37808000
2018-04-01,2.057920,2.179570,1.782500,2.070480,2.070480,35752600
2018-04-02,2.087140,2.192330,2.034040,2.062000,2.062000,31940000
2018-04-03,2.063710,2.371570,2.027120,2.292230,2.292230,28097800
2018-04-04,2.286840,2.483140,2.192660,2.442580,2.442580,41934000
2018-04-05,2.460300,2.882310,2.332420,2.860030,2.860030,70226400
2018-04-06,2.849410,3.072730,2.612670,3.061830,3.061830,73498000
2018-04-07,3.062250,3.995160,3.062250,3.780940,3.780940,156704992
2018-04-08,3.776280,3.776280,3.417390,3.493230,3.493230,78653600
2018-04-09,3.501110,3.617180,3.211550,3.483290,3.483290,85303600
2018-04-10,3.497840,4.770920,3.497840,4.621290,4.621290,161658000
2018-04-11,4.675070,4.692830,4.103330,4.295430,4.295430,129688000
2018-04-12,4.276620,4.655830,4.131510,4.397460,4.397460,96839696
2018-04-13,4.419890,5.111310,4.206430,4.206430,4.206430,124367000
2018-04-14,4.207460,4.468670,4.101410,4.344140,4.344140,53516600
2018-04-15,4.349810,4.761600,4.320280,4.508680,4.508680,65344300
2018-04-16,4.509440,4.631650,4.000580,4.140960,4.140960,44848400
2018-04-17,4.145860,4.295370,4.023640,4.071750,4.071750,59607000
2018-04-18,4.069500,4.268980,4.061330,4.268980,4.268980,36890700
2018-04-19,4.274200,4.611050,4.228310,4.475430,4.475430,64275200
2018-04-20,4.487260,4.549940,4.183980,4.317950,4.317950,66723800
2018-04-21,4.310940,4.351030,3.919480,4.060650,4.060650,49311100
2018-04-22,4.055970,4.260650,3.925620,4.016110,4.016110,48383100
2018-04-23,4.018600,4.472010,4.003700,4.224770,4.224770,58770900
2018-04-24,4.221160,4.958500,4.213220,4.815080,4.815080,90082400
2018-04-25,4.788960,5.363530,4.301650,5.013170,5.013170,152292000
2018-04-26,5.064120,5.641880,5.059240,5.287000,5.287000,126150000
2018-04-27,5.330580,5.689470,5.158080,5.283390,5.283390,94647696
2018-04-28,5.261730,7.342840,5.221630,7.044690,7.044690,191099008
2018-04-29,6.941100,9.365360,6.920870,9.248490,9.248490,347310016
2018-04-30,9.236940,9.280880,7.577290,7.799610,7.799610,219806000
2018-05-01,7.796460,8.709650,7.151650,8.709650,8.709650,194524000
2018-05-02,8.723810,8.844060,8.280740,8.582450,8.582450,86668200
2018-05-03,8.579310,11.176600,8.511490,10.072100,10.072100,507808992
2018-05-04,10.083500,10.569900,9.359220,9.750070,9.750070,143194000
2018-05-05,9.738320,10.304900,8.956770,8.956770,8.956770,125322000
2018-05-06,9.040750,9.661270,8.406780,9.330760,9.330760,129074000
2018-05-07,9.325410,9.666350,8.382510,9.409330,9.409330,137680992
2018-05-08,9.458640,9.543750,8.722760,8.897130,8.897130,84079904
2018-05-09,8.896190,9.040740,8.418190,8.811830,8.811830,77347296
2018-05-10,8.812760,9.014150,8.186530,8.200970,8.200970,76159904
2018-05-11,8.201100,8.368380,6.974620,7.102540,7.102540,87657600
2018-05-12,7.068110,7.649400,5.826180,7.312180,7.312180,109263000
2018-05-13,7.345830,8.562410,7.066490,8.228540,8.228540,111412000
2018-05-14,8.200630,8.350050,7.573630,7.953680,7.953680,93917504
2018-05-15,7.932850,8.411510,7.772680,7.814480,7.814480,65224600
2018-05-16,7.796470,7.843610,7.156410,7.336110,7.336110,53543800
2018-05-17,7.336370,7.735500,6.737970,6.788670,6.788670,54997700
2018-05-18,6.789590,6.993480,6.572390,6.934310,6.934310,49074500
2018-05-19,6.928460,7.606290,6.610270,7.225460,7.225460,63769600
2018-05-20,7.278590,8.079450,7.077510,7.939650,7.939650,66693500
2018-05-21,7.944740,8.352150,7.509890,7.662270,7.662270,91643600
2018-05-22,7.655760,7.687840,6.789030,6.912480,6.912480,56758400
2018-05-23,6.906390,7.122050,6.015930,6.362630,6.362630,74799504
2018-05-24,6.361580,6.982370,5.994770,6.818000,6.818000,76769000
2018-05-25,6.857410,6.861790,6.346590,6.569590,6.569590,57672500
2018-05-26,6.560150,6.670950,6.373740,6.510550,6.510550,46033100
2018-05-27,6.509990,6.552180,6.304200,6.462000,6.462000,52037500
2018-05-28,6.460490,6.539890,5.644400,5.811570,5.811570,58695500
2018-05-29,5.817130,6.873950,5.570780,6.640310,6.640310,92731696
2018-05-30,6.653410,6.858640,6.188880,6.508120,6.508120,82275000
2018-05-31,6.451310,7.279130,6.378140,7.137200,7.137200,99699200
2018-06-01,7.131090,7.321450,6.928260,7.072570,7.072570,95028200
2018-06-02,7.075340,7.986130,6.994270,7.869220,7.869220,119667000
2018-06-03,7.897230,8.319930,7.648880,8.040120,8.040120,126478000
2018-06-04,8.107160,8.139770,7.355270,7.514160,7.514160,107812000
2018-06-05,7.513610,8.212440,7.150170,8.092180,8.092180,115859000
2018-06-06,8.166630,8.639930,7.925240,8.586230,8.586230,147192992
2018-06-07,8.578410,8.869550,8.107570,8.332390,8.332390,128782000
2018-06-08,8.328410,8.577500,8.037950,8.293090,8.293090,109901000
2018-06-09,8.299720,8.485500,8.033920,8.033920,8.033920,76355104
2018-06-10,8.035120,8.035120,6.421520,6.824640,6.824640,147552000
2018-06-11,6.815180,7.011730,6.299410,7.011590,7.011590,106941000
2018-06-12,7.004700,7.004700,6.227010,6.314820,6.314820,89649000
2018-06-13,6.310240,6.378320,5.592110,5.945640,5.945640,94280896
2018-06-14,5.944400,6.456100,5.821340,6.350200,6.350200,97936496
2018-06-15,6.341170,6.350680,5.934130,5.978790,5.978790,54603600
2018-06-16,5.970870,6.168890,5.870620,6.110940,6.110940,47472800
2018-06-17,6.114780,6.309540,6.101590,6.164770,6.164770,52390700
