Date,Open,High,Low,Close,Adj Close,Volume
1997-11-21,17.166668,17.958332,17.166668,17.666668,17.121769,4724850
1997-11-24,17.583332,17.583332,17.333332,17.333332,16.798714,714150
1997-11-25,17.333332,17.416668,17.333332,17.333332,16.798714,347700
1997-11-26,17.333332,17.416668,16.250000,16.291668,15.789176,939600
1997-11-28,16.333332,16.666668,16.333332,16.666668,16.152615,67050
1997-12-01,16.708332,17.166668,16.666668,16.916668,16.394901,411450
1997-12-02,16.875000,16.875000,16.333332,16.458332,15.950705,246900
1997-12-03,16.208332,16.333332,15.916667,16.166668,15.668035,714900
1997-12-04,16.166668,16.166668,15.958333,16.000000,15.506510,331800
1997-12-05,16.000000,16.083332,15.958333,16.000000,15.506510,173100
1997-12-08,16.083332,16.166668,16.000000,16.166668,15.668035,143550
1997-12-09,16.125000,16.750000,16.125000,16.583332,16.071850,222450
1997-12-10,16.583332,16.750000,16.375000,16.666668,16.152615,232050
1997-12-11,16.583332,16.625000,16.375000,16.625000,16.112232,52950
1997-12-12,16.541668,16.750000,16.458332,16.458332,15.950705,176700
1997-12-15,16.500000,16.625000,16.333332,16.583332,16.071850,118350
1997-12-16,16.750000,17.500000,16.750000,17.500000,16.960239,450150
1997-12-17,17.625000,18.541668,17.583332,18.541668,17.969780,417150
1997-12-18,18.500000,19.333332,18.458332,19.333332,18.737028,86250
1997-12-19,19.416668,19.708332,19.333332,19.708332,19.100462,93450
1997-12-22,19.625000,19.625000,18.916668,19.333332,18.737028,117300
1997-12-23,20.083332,20.125000,19.916668,19.916668,19.302372,207150
1997-12-24,19.750000,19.750000,19.000000,19.250000,18.656265,32250
1997-12-26,19.166668,19.500000,19.083332,19.416668,18.817793,8250
1997-12-29,19.333332,19.333332,18.416668,18.416668,17.848635,22950
1997-12-30,18.416668,19.166668,18.416668,19.166668,18.575508,120600
1997-12-31,19.166668,19.416668,19.166668,19.333332,18.737028,75450
1998-01-02,19.083332,19.208332,18.875000,19.208332,18.615881,34050
1998-01-05,19.291668,19.541668,18.916668,19.291668,18.696651,99750
1998-01-06,19.166668,19.541668,19.000000,19.291668,18.696651,35100
1998-01-07,19.208332,19.208332,18.166668,18.166668,17.606348,35700
1998-01-08,18.166668,18.916668,18.166668,18.375000,17.808254,41250
1998-01-09,18.333332,18.333332,18.083332,18.291668,17.727493,35100
1998-01-12,18.125000,18.416668,18.083332,18.416668,17.848635,19350
1998-01-13,18.416668,18.958332,18.416668,18.875000,18.292831,78900
1998-01-14,18.958332,19.250000,18.791668,19.250000,18.656265,92850
1998-01-15,19.250000,19.666668,19.125000,19.666668,19.060085,82950
1998-01-16,19.625000,19.958332,19.583332,19.666668,19.060085,29400
1998-01-20,19.750000,20.166668,19.750000,20.166668,19.544659,9300
1998-01-21,20.166668,20.250000,19.958332,20.166668,19.544659,60450
1998-01-22,20.041668,20.083332,20.000000,20.041668,19.423521,25950
1998-01-23,20.041668,20.083332,20.041668,20.041668,19.423521,210600
1998-01-26,20.208332,20.208332,20.000000,20.083332,19.463902,94050
