Date,Open,High,Low,Close,Adj Close,Volume
2000-09-28,15.250000,15.375000,15.000000,15.187500,7.528778,5731600
2000-09-29,15.125000,15.187500,15.125000,15.187500,7.528778,1314100
2000-10-02,15.125000,15.250000,15.125000,15.187500,7.528778,426000
2000-10-03,15.125000,15.125000,12.562500,14.000000,6.940108,1112000
2000-10-04,14.000000,14.125000,13.875000,14.000000,6.940108,151900
2000-10-05,13.937500,14.000000,13.625000,14.000000,6.940108,118300
2000-10-06,13.875000,13.875000,12.625000,12.875000,6.382421,363800
2000-10-09,12.812500,14.250000,12.812500,12.812500,6.351439,99700
2000-10-10,12.812500,12.937500,12.812500,12.812500,6.351439,85500
2000-10-11,12.875000,13.000000,12.812500,12.937500,6.413404,91400
2000-10-12,12.937500,13.875000,12.937500,13.687500,6.785196,84800
2000-10-13,13.562500,13.562500,13.062500,13.125000,6.506352,105400
2000-10-16,13.062500,13.312500,13.062500,13.250000,6.568316,59700
2000-10-17,13.250000,13.500000,13.250000,13.500000,6.692248,100600
2000-10-18,13.500000,13.625000,13.500000,13.625000,6.754214,127900
2000-10-19,13.562500,13.750000,13.562500,13.750000,6.816178,38600
2000-10-20,13.687500,13.875000,13.687500,13.875000,6.878143,56600
2000-10-23,13.750000,13.937500,13.750000,13.937500,6.909125,18800
2000-10-24,13.937500,14.625000,13.937500,14.500000,7.187969,257500
2000-10-25,14.625000,14.625000,14.500000,14.500000,7.187969,69200
2000-10-26,14.500000,14.625000,14.500000,14.562500,7.218951,24600
2000-10-27,14.562500,14.625000,14.500000,14.625000,7.249936,60900
2000-10-30,14.500000,14.500000,14.375000,14.375000,7.126004,27000
2000-10-31,14.500000,14.875000,14.437500,14.875000,7.373865,42300
2000-11-01,15.000000,15.375000,14.937500,15.375000,7.621726,60900
2000-11-02,15.375000,16.000000,15.375000,15.562500,7.714674,103800
2000-11-03,15.812500,15.812500,15.125000,15.500000,7.683691,141300
2000-11-06,15.375000,15.500000,15.187500,15.250000,7.559761,33300
2000-11-07,15.000000,15.250000,15.000000,15.250000,7.559761,31600
2000-11-08,15.187500,15.250000,15.187500,15.250000,7.559761,20100
2000-11-09,15.187500,15.250000,15.125000,15.250000,7.559761,56900
2000-11-10,15.125000,15.187500,15.062500,15.062500,7.466814,13400
2000-11-13,15.062500,15.125000,15.000000,15.000000,7.435832,25400
2000-11-14,15.000000,15.250000,15.000000,15.125000,7.497796,74300
2000-11-15,15.000000,15.250000,15.000000,15.187500,7.528778,28600
2000-11-16,15.187500,15.375000,15.187500,15.187500,7.528778,33100
2000-11-17,15.062500,15.250000,15.000000,15.125000,7.497796,28700
2000-11-20,15.125000,15.125000,15.000000,15.062500,7.466814,26000
2000-11-21,15.062500,15.875000,15.062500,15.375000,7.621726,30600
2000-11-22,15.312500,15.375000,15.125000,15.125000,7.497796,46200
2000-11-24,15.187500,15.187500,15.187500,15.187500,7.528778,13100
2000-11-27,15.312500,15.312500,14.937500,15.125000,7.497796,115800
2000-11-28,15.062500,15.187500,15.062500,15.187500,7.528778,39000
2000-11-29,15.125000,15.125000,14.625000,14.750000,7.311899,87500
2000-11-30,14.687500,14.687500,14.250000,14.375000,7.126004,44200
2000-12-01,14.250000,14.250000,14.062500,14.062500,6.971092,9000
2000-12-04,14.000000,14.125000,13.875000,13.875000,6.878143,103600
2000-12-05,14.000000,14.625000,13.875000,14.625000,7.249936,82600
2000-12-06,14.625000,15.062500,14.625000,15.062500,7.466814,90800
2000-12-07,15.062500,15.062500,14.937500,14.937500,7.404847,84900
2000-12-08,14.937500,15.125000,14.937500,15.062500,7.466814,85200
2000-12-11,15.062500,15.187500,15.062500,15.062500,7.466814,39400
2000-12-12,15.062500,15.125000,15.000000,15.000000,7.435832,229700
2000-12-13,15.250000,15.375000,15.187500,15.375000,7.621726,27300
2000-12-14,15.500000,15.562500,15.437500,15.437500,7.652709,22700
2000-12-15,15.437500,15.437500,15.375000,15.375000,7.621726,3000
2000-12-18,15.250000,16.000000,15.250000,15.750000,7.807622,36900
2000-12-19,15.625000,15.750000,15.500000,15.750000,7.807622,67400
2000-12-20,15.750000,15.750000,15.562500,15.562500,7.714674,38000
2000-12-21,15.562500,16.000000,15.562500,15.875000,7.869587,49300
2000-12-22,15.875000,15.875000,15.875000,15.875000,7.869587,1800
2000-12-26,15.875000,16.125000,15.875000,16.125000,7.993517,14300
2000-12-27,16.125000,16.687500,16.125000,16.562500,8.210395,60700
2000-12-28,16.500000,16.500000,16.312500,16.312500,8.086465,41800
2000-12-29,16.312500,16.625000,16.312500,16.625000,8.241379,39800
2001-01-02,16.625000,16.625000,16.437500,16.500000,8.179414,13400
2001-01-03,16.375000,16.375000,16.062500,16.062500,7.962534,31000
2001-01-04,16.187500,16.375000,15.875000,16.250000,8.055484,47900
2001-01-05,16.500000,17.125000,16.500000,17.000000,8.427275,13500
2001-01-08,17.000000,17.000000,16.000000,16.000000,7.931552,43600
2001-01-09,16.000000,16.000000,15.187500,15.250000,7.559761,180800
2001-01-10,15.375000,15.375000,15.312500,15.375000,7.621726,20600
2001-01-11,15.375000,15.625000,15.375000,15.625000,7.745656,3500
2001-01-12,15.625000,17.000000,15.625000,17.000000,8.427275,71800
2001-01-16,17.000000,18.500000,16.750000,16.750000,8.303344,71100
2001-01-17,16.750000,16.750000,16.437500,16.437500,8.148431,118800
2001-01-18,16.437500,19.187500,16.437500,17.500000,8.675136,163800
2001-01-19,17.687500,18.062500,17.687500,17.875000,8.861032,124200
2001-01-22,18.000000,18.250000,17.687500,17.875000,8.861032,85500
2001-01-23,17.875000,18.000000,17.750000,18.000000,8.922997,18000
2001-01-24,17.937500,18.062500,17.937500,18.062500,8.953980,75900
2001-01-25,18.000000,18.000000,17.500000,17.625000,8.737100,86700
2001-01-26,17.625000,18.062500,17.000000,17.000000,8.427275,67700
2001-01-29,17.000000,17.000000,16.400000,16.400000,8.129842,7300
2001-01-30,16.650000,17.959999,16.450001,17.780001,8.813938,90100
2001-01-31,18.000000,18.250000,18.000000,18.000000,8.922997,95200
2001-02-01,18.000000,18.150000,18.000000,18.000000,8.922997,30200
2001-02-02,18.200001,18.200001,17.799999,18.000000,8.922997,58200
2001-02-05,17.900000,18.000000,17.850000,18.000000,8.922997,17200
2001-02-06,17.900000,18.299999,17.809999,18.049999,8.947783,39200
2001-02-07,18.000000,18.299999,17.900000,17.900000,8.873424,20600
2001-02-08,17.850000,17.900000,17.700001,17.700001,8.774282,1100
2001-02-09,17.700001,18.500000,17.700001,18.500000,9.170858,102200
2001-02-12,18.700001,19.240000,18.700001,19.200001,9.517861,60100
2001-02-13,19.200001,19.200001,19.049999,19.100000,9.468290,92200
2001-02-14,19.000000,19.100000,18.920000,19.000000,9.418720,230300
2001-02-15,18.850000,19.000000,18.850000,18.980000,9.408803,106900
2001-02-16,18.879999,19.000000,18.780001,19.000000,9.418720,37800
2001-02-20,19.000000,19.100000,18.900000,19.000000,9.418720,36100
2001-02-21,18.900000,19.000000,18.799999,18.799999,9.319574,23700
2001-02-22,19.000000,19.000000,18.549999,18.549999,9.195645,114500
2001-02-23,18.750000,18.850000,18.500000,18.850000,9.344360,27000
2001-02-26,18.850000,18.950001,18.750000,18.950001,9.393932,10800
