Date,Open,High,Low,Close,Adj Close,Volume
2020-07-24,28.666668,30.000000,28.433332,28.559999,27.605291,25350
2020-07-27,27.666668,28.666668,27.586666,28.386667,27.437756,134400
2020-07-28,28.993334,28.993334,26.893333,27.786667,26.857813,1073250
2020-07-29,28.180000,29.653334,27.866667,29.186666,28.211014,550350
2020-07-30,29.933332,30.146667,27.146667,27.146667,26.239208,8435250
2020-07-31,27.666668,30.153334,27.573334,29.959999,28.958492,3094350
2020-08-03,30.166668,31.966667,30.100000,31.333332,30.285919,5355150
2020-08-04,31.000000,31.360001,30.080000,30.113333,29.106701,2120550
2020-08-05,30.953333,32.160000,30.299999,31.160000,30.118382,1235850
2020-08-06,30.799999,31.146667,30.533333,31.026667,29.989506,786900
2020-08-07,30.713333,32.320000,30.639999,32.013332,30.943188,1095900
2020-08-10,32.446667,32.446667,31.646667,32.146667,31.072065,655200
2020-08-11,32.520000,32.586666,31.313334,31.433332,30.382576,602250
2020-08-12,31.559999,32.186668,31.453333,31.546667,30.492119,901950
2020-08-13,31.353333,31.573334,30.993334,31.186666,30.144154,561150
2020-08-14,31.126667,31.413334,30.980000,31.400000,30.350357,733950
2020-08-17,31.600000,31.660000,31.053333,31.246668,30.202150,931350
2020-08-18,31.333332,31.606667,30.886667,31.040001,30.002394,357150
2020-08-19,31.320000,32.610001,31.033333,32.546665,31.458689,1303950
2020-08-20,32.366669,33.726665,32.193333,33.700001,32.573479,776850
2020-08-21,33.873333,34.200001,33.400002,34.066666,32.927887,1009650
2020-08-24,34.480000,35.546665,34.273335,35.513332,34.326191,1483050
2020-08-25,35.779999,36.459999,35.380001,35.700001,34.506618,1142100
2020-08-26,35.653332,36.113335,35.133331,36.033333,34.828808,454950
2020-08-27,36.286667,36.333332,35.919998,36.106667,34.899685,613650
2020-08-28,35.953335,36.000000,34.986668,35.146667,34.246208,381000
2020-08-31,35.113335,35.206669,33.906666,33.946667,33.076954,517950
2020-09-01,33.633331,33.919998,32.299999,33.439999,32.583267,709050
2020-09-02,33.466667,34.673332,33.373333,34.646667,33.759014,531000
2020-09-03,34.513332,34.513332,33.446667,34.106667,33.232849,566250
2020-09-04,34.333332,34.466667,33.419998,33.926666,33.057461,517200
2020-09-08,33.459999,33.866669,33.080002,33.580002,32.719677,987600
2020-09-09,33.500000,34.446667,33.500000,34.113335,33.239346,636150
2020-09-10,34.166668,34.366669,33.666668,33.680000,32.817116,429750
2020-09-11,33.593334,34.006668,33.500000,33.720001,32.856091,482700
2020-09-14,34.033333,34.033333,32.786667,33.439999,32.583267,610650
2020-09-15,33.753334,34.860001,33.619999,34.400002,33.518669,709200
2020-09-16,34.666668,35.293331,34.439999,35.133331,34.233215,564600
2020-09-17,34.793331,35.200001,34.546665,35.099998,34.200729,532200
2020-09-18,35.373333,35.540001,34.099998,34.673332,33.785000,1366350
2020-09-21,34.259998,34.599998,33.680000,34.459999,33.577129,441600
2020-09-22,34.466667,34.466667,33.520000,34.106667,33.232849,448050
2020-09-23,33.939999,34.743332,33.880001,33.939999,33.070454,426300
2020-09-24,33.919998,34.146667,33.493332,34.106667,33.232849,392550
2020-09-25,34.013332,35.880001,34.006668,35.820000,34.902290,401400
2020-09-28,36.073334,37.246666,35.959999,37.000000,36.052059,730950
2020-09-29,37.180000,37.880001,36.799999,37.793331,36.825062,311850
2020-09-30,37.793331,39.173332,37.793331,39.066666,38.065777,755250
2020-10-01,39.446667,39.986668,39.086666,39.806667,38.786812,938850
2020-10-02,39.086666,39.926666,38.926666,39.759998,38.741341,645750
2020-10-05,40.226665,42.740002,40.130001,42.706669,41.612522,677400
2020-10-06,40.980000,41.653332,40.646667,40.959999,39.910599,1261200
2020-10-07,41.333332,43.459999,41.146667,43.320000,42.210136,1185900
2020-10-08,43.306667,43.533333,42.000000,42.286667,41.203278,697350
2020-10-09,42.453335,42.936668,41.873333,42.486668,41.398155,373950
2020-10-12,42.906666,44.653332,42.798000,44.413334,43.275463,681750
2020-10-13,43.666668,43.939999,42.993332,43.299999,42.190647,980550
2020-10-14,43.520000,43.820000,42.950001,43.633331,42.515442,754050
2020-10-15,42.980000,43.840000,42.493332,43.753334,42.632366,362100
2020-10-16,43.599998,44.513332,43.520000,44.353333,43.216995,549000
2020-10-19,44.646667,45.546665,44.406666,45.186668,44.028980,446400
2020-10-20,45.473331,46.000000,45.033333,45.706669,44.535660,610650
2020-10-21,46.000000,46.473331,45.213333,45.386665,44.223854,503400
2020-10-22,45.266666,45.546665,44.173332,44.533333,43.392384,536700
2020-10-23,44.513332,44.533333,42.533333,43.020000,41.917824,927600
2020-10-26,43.113335,43.286667,41.779999,42.500000,41.411144,624600
2020-10-27,42.500000,44.126667,42.473331,43.893333,42.768780,683100
2020-10-28,42.880001,43.860001,42.779999,43.113335,42.008766,733500
2020-10-29,43.139999,44.740002,42.693333,44.553333,43.411873,508200
2020-10-30,44.660000,44.926666,43.773335,44.513332,43.372898,770550
2020-11-02,44.666668,46.536667,44.386665,46.493332,45.302170,720450
2020-11-03,47.133331,47.973331,46.066666,46.366669,45.178753,785250
2020-11-04,45.880001,46.653332,44.880001,46.279999,45.094299,595200
2020-11-05,46.666668,48.893333,46.666668,48.580002,47.335377,689850
2020-11-06,48.893333,49.660000,48.093334,49.160000,47.900517,434550
2020-11-09,51.540001,52.446667,48.386665,48.553333,47.309391,1038450
2020-11-10,49.033333,49.040001,46.847332,47.126667,45.919277,1202700
2020-11-11,47.906666,50.046665,47.750000,49.360001,48.095390,710400
2020-11-12,49.680000,49.966667,48.226665,49.093334,47.835556,1062900
2020-11-13,49.286667,49.419998,48.366669,48.939999,47.686153,711900
2020-11-16,49.240002,49.626667,47.426666,47.573334,46.354500,723750
2020-11-17,47.626667,48.400002,47.293331,48.233334,46.997589,588600
2020-11-18,48.480000,48.826668,47.813332,47.840000,46.614334,640950
