Date,Open,High,Low,Close,Adj Close,Volume
1986-09-24,0.000000,5.625000,5.312500,5.312500,4.526545,426600
1986-09-25,0.000000,5.416667,5.000000,5.208333,4.437787,539040
1986-09-26,0.000000,5.416667,5.000000,5.416667,4.615299,233520
1986-09-29,0.000000,5.416667,5.208333,5.416667,4.615299,29760
1986-09-30,0.000000,5.520833,5.208333,5.416667,4.615299,108960
1986-10-01,0.000000,5.520833,5.416667,5.416667,4.615299,16680
1986-10-02,0.000000,5.520833,5.416667,5.416667,4.615299,8040
1986-10-03,0.000000,5.520833,5.416667,5.416667,4.615299,36000
1986-10-06,0.000000,5.520833,5.416667,5.520833,4.704055,40320
1986-10-07,0.000000,5.520833,5.416667,5.520833,4.704055,20160
1986-10-08,0.000000,5.729167,5.416667,5.729167,4.881566,19680
1986-10-09,0.000000,6.250000,5.833333,5.937500,5.059077,22320
1986-10-10,0.000000,6.562500,6.041667,6.354167,5.414102,57600
1986-10-13,0.000000,6.458333,6.354167,6.354167,5.414102,10320
1986-10-14,0.000000,6.562500,6.354167,6.354167,5.414102,114600
1986-10-15,0.000000,6.354167,6.041667,6.250000,5.325346,47160
1986-10-16,0.000000,6.250000,6.145833,6.250000,5.325346,4200
1986-10-17,0.000000,6.354167,6.145833,6.354167,5.414102,39360
1986-10-20,0.000000,6.458333,6.250000,6.458333,5.502858,8280
1986-10-21,0.000000,6.458333,6.458333,6.458333,5.502858,7320
1986-10-22,0.000000,6.458333,6.250000,6.250000,5.325346,4440
1986-10-23,0.000000,6.458333,6.250000,6.458333,5.502858,107880
1986-10-24,0.000000,6.458333,6.354167,6.458333,5.502858,21000
1986-10-27,0.000000,6.458333,6.458333,6.458333,5.502858,31800
1986-10-28,0.000000,6.770833,6.458333,6.770833,5.769124,20640
1986-10-29,0.000000,6.979167,6.666667,6.979167,5.946636,55440
1986-10-30,0.000000,7.187500,6.979167,7.187500,6.124148,15000
1986-10-31,0.000000,7.291667,6.979167,7.291667,6.212903,6840
1986-11-03,0.000000,7.500000,7.291667,7.500000,6.390416,7800
1986-11-04,0.000000,7.604167,7.291667,7.604167,6.479170,21720
1986-11-05,0.000000,7.812500,7.395833,7.604167,6.479170,88800
1986-11-06,0.000000,7.916667,7.708333,7.812500,6.656682,42960
1986-11-07,0.000000,7.916667,7.708333,7.916667,6.745438,13800
1986-11-10,0.000000,7.916667,7.812500,7.812500,6.656682,5760
1986-11-11,0.000000,8.020833,7.812500,8.020833,6.834195,38040
1986-11-12,0.000000,8.229167,7.812500,8.229167,7.011704,26760
1986-11-13,0.000000,8.437500,8.229167,8.229167,7.011704,18360
1986-11-14,0.000000,8.437500,8.125000,8.229167,7.011704,37200
1986-11-17,0.000000,8.125000,7.812500,7.812500,6.656682,18960
1986-11-18,0.000000,7.916667,7.708333,7.708333,6.567925,6360
1986-11-19,0.000000,7.708333,7.500000,7.708333,6.567925,36120
1986-11-20,0.000000,7.812500,7.500000,7.708333,6.567925,16920
1986-11-21,7.708333,7.708333,7.708333,7.708333,6.567925,0
1986-11-24,0.000000,7.812500,7.604167,7.812500,6.656682,3360
1986-11-25,0.000000,7.812500,7.604167,7.604167,6.479170,2640
1986-11-26,0.000000,7.916667,7.604167,7.708333,6.567925,3600
1986-11-28,7.708333,7.708333,7.708333,7.708333,6.567925,0
1986-12-01,0.000000,7.916667,7.708333,7.916667,6.745438,840
1986-12-02,0.000000,7.916667,7.708333,7.916667,6.745438,9600
1986-12-03,0.000000,7.916667,7.916667,7.916667,6.745438,13320
1986-12-04,0.000000,7.916667,7.708333,7.916667,6.745438,3960
1986-12-05,0.000000,7.916667,7.708333,7.812500,6.656682,14880
1986-12-08,0.000000,7.916667,7.812500,7.916667,6.745438,6000
1986-12-09,0.000000,7.916667,7.812500,7.812500,6.656682,24120
1986-12-10,7.812500,7.812500,7.812500,7.812500,6.656682,0
1986-12-11,0.000000,7.812500,7.812500,7.812500,6.656682,600
1986-12-12,0.000000,7.708333,7.708333,7.708333,6.567925,2400
1986-12-15,0.000000,7.708333,7.708333,7.708333,6.567925,3000
1986-12-16,0.000000,7.812500,7.604167,7.708333,6.567925,62760
1986-12-17,0.000000,7.916667,7.604167,7.604167,6.479170,2040
1986-12-18,0.000000,7.812500,7.500000,7.500000,6.390416,16080
1986-12-19,0.000000,7.708333,7.500000,7.500000,6.390416,1800
1986-12-22,0.000000,7.500000,7.500000,7.500000,6.390416,4080
1986-12-23,0.000000,7.708333,7.291667,7.291667,6.212903,23400
1986-12-24,0.000000,7.187500,6.979167,7.083333,6.035390,125400
1986-12-26,0.000000,7.187500,7.083333,7.187500,6.124148,1440
1986-12-29,7.187500,7.187500,7.187500,7.187500,6.124148,0
1986-12-30,0.000000,7.187500,6.979167,7.187500,6.124148,37920
1986-12-31,0.000000,7.187500,6.979167,6.979167,5.946636,14160
1987-01-02,0.000000,7.604167,7.187500,7.604167,6.479170,34560
1987-01-05,0.000000,7.812500,7.604167,7.812500,6.656682,129240
1987-01-06,0.000000,7.812500,7.708333,7.708333,6.567925,18600
1987-01-07,0.000000,7.812500,7.604167,7.708333,6.567925,39840
1987-01-08,0.000000,7.916667,7.812500,7.812500,6.656682,9000
1987-01-09,7.812500,7.812500,7.812500,7.812500,6.656682,0
1987-01-12,0.000000,8.125000,7.916667,8.125000,6.922952,12840
1987-01-13,0.000000,8.437500,8.125000,8.333333,7.100461,24600
1987-01-14,0.000000,8.437500,8.333333,8.437500,7.189219,7680
1987-01-15,0.000000,8.541667,8.333333,8.333333,7.100461,71520
1987-01-16,0.000000,8.541667,8.229167,8.437500,7.189219,74640
1987-01-19,0.000000,8.541667,8.333333,8.333333,7.100461,48600
1987-01-20,0.000000,8.541667,8.333333,8.333333,7.100461,12960
1987-01-21,0.000000,8.541667,8.333333,8.541667,7.277973,3000
1987-01-22,0.000000,8.541667,8.333333,8.541667,7.277973,34680
1987-01-23,0.000000,8.541667,8.437500,8.541667,7.277973,61920
1987-01-26,0.000000,8.541667,8.333333,8.541667,7.277973,23400
1987-01-27,0.000000,8.541667,8.437500,8.541667,7.277973,4680
1987-01-28,0.000000,8.541667,8.437500,8.437500,7.189219,2040
1987-01-29,0.000000,8.645833,8.437500,8.541667,7.277973,17160
