Date,Open,High,Low,Close,Adj Close,Volume
2001-06-18,7.480000,7.500000,7.470000,7.470000,3.081728,7189500
2001-06-19,7.550000,7.730000,7.550000,7.620000,3.143610,1410700
2001-06-20,7.680000,7.690000,7.610000,7.640000,3.151861,550400
2001-06-21,7.570000,7.600000,7.550000,7.570000,3.122983,643600
2001-06-22,7.520000,7.550000,7.480000,7.510000,3.098230,822600
2001-06-25,7.510000,7.550000,7.500000,7.500000,3.094105,488500
2001-06-26,7.500000,7.510000,7.490000,7.500000,3.094105,202200
2001-06-27,7.500000,7.500000,7.430000,7.440000,3.069352,1558800
2001-06-28,7.240000,7.240000,7.110000,7.120000,2.937337,259000
2001-06-29,7.260000,7.470000,7.260000,7.370000,3.040474,100600
2001-07-02,7.150000,7.250000,7.140000,7.200000,2.970340,114300
2001-07-03,7.110000,7.190000,7.050000,7.190000,2.966215,128000
2001-07-05,7.190000,7.190000,7.040000,7.050000,2.908459,144300
2001-07-06,7.050000,7.280000,7.050000,7.270000,2.999219,113100
2001-07-09,7.050000,7.140000,7.030000,7.050000,2.908459,134000
2001-07-10,7.040000,7.040000,6.750000,6.860000,2.830074,205600
2001-07-11,6.760000,6.840000,6.720000,6.790000,2.801196,93500
2001-07-12,6.720000,6.820000,6.700000,6.800000,2.805322,256200
2001-07-13,6.750000,6.850000,6.720000,6.790000,2.801196,86600
2001-07-16,6.800000,6.870000,6.800000,6.860000,2.830074,83000
2001-07-17,6.730000,6.730000,6.400000,6.550000,2.702185,127200
2001-07-18,6.530000,6.600000,6.500000,6.580000,2.714560,176000
2001-07-19,6.700000,6.870000,6.700000,6.870000,2.834199,155300
2001-07-20,6.970000,7.000000,6.800000,6.900000,2.846576,105400
2001-07-23,7.000000,7.130000,7.000000,7.050000,2.908459,170200
2001-07-24,7.050000,7.050000,6.900000,6.990000,2.883705,73600
2001-07-25,6.920000,7.090000,6.920000,7.050000,2.908459,64100
2001-07-26,7.090000,7.090000,6.870000,6.950000,2.867203,43800
2001-07-27,6.750000,7.400000,6.750000,7.200000,2.970340,188500
2001-07-30,7.130000,7.130000,7.050000,7.050000,2.908459,19500
2001-07-31,7.020000,7.180000,7.010000,7.050000,2.908459,69900
2001-08-01,7.250000,7.300000,7.200000,7.200000,2.970340,138600
2001-08-02,7.150000,7.300000,7.100000,7.300000,3.011595,90900
2001-08-03,7.150000,7.150000,6.820000,7.050000,2.908459,182200
2001-08-06,7.070000,7.150000,7.060000,7.070000,2.916709,23800
2001-08-07,7.050000,7.200000,6.900000,6.900000,2.846576,60200
2001-08-08,6.970000,6.970000,6.710000,6.750000,2.784694,72100
2001-08-09,6.900000,6.980000,6.900000,6.910000,2.850703,76700
2001-08-10,6.980000,7.000000,6.850000,6.850000,2.825949,29100
2001-08-13,6.910000,7.000000,6.860000,6.950000,2.867203,64500
2001-08-14,6.850000,7.000000,6.820000,6.900000,2.846576,152100
2001-08-15,6.970000,7.100000,6.850000,7.020000,2.896082,93500
2001-08-16,6.970000,7.070000,6.920000,6.960000,2.871329,63500
2001-08-17,6.910000,7.060000,6.910000,6.950000,2.867203,25800
