Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,0.000000,2.283738,2.253610,2.271687,0.372679,82978
1972-06-02,2.265661,2.265661,2.241558,2.247584,0.368725,120318
1972-06-05,2.235533,2.235533,2.199378,2.205404,0.361805,107871
1972-06-06,2.205404,2.217456,2.181301,2.193353,0.359828,327763
1972-06-07,2.187327,2.187327,2.175276,2.175276,0.356862,43563
1972-06-08,2.175276,2.187327,2.175276,2.175276,0.356862,87127
1972-06-09,2.175276,2.175276,2.157199,2.157199,0.353897,497868
1972-06-12,2.157199,2.163224,2.133096,2.133096,0.349942,109946
1972-06-13,2.133096,2.169250,2.108993,2.169250,0.355874,103722
1972-06-14,2.169250,2.181301,2.157199,2.181301,0.357850,35266
1972-06-15,2.193353,2.205404,2.193353,2.205404,0.361805,62233
1972-06-16,2.217456,2.253610,2.217456,2.247584,0.368725,51861
1972-06-19,2.235533,2.235533,2.229507,2.229507,0.365759,47712
1972-06-20,2.229507,2.265661,2.217456,2.253610,0.369713,190849
1972-06-21,2.277713,2.313867,2.277713,2.283738,0.374656,136914
1972-06-22,2.283738,2.283738,2.283738,2.283738,0.374656,53936
1972-06-23,2.283738,2.301815,2.283738,2.283738,0.374656,95425
1972-06-26,2.283738,2.283738,2.223481,2.223481,0.364771,701164
1972-06-27,2.229507,2.259635,2.229507,2.235533,0.366747,350582
1972-06-28,2.223481,2.223481,2.199378,2.199378,0.360816,85052
1972-06-29,2.199378,2.205404,2.157199,2.169250,0.355874,105797
1972-06-30,2.169250,2.199378,2.157199,2.187327,0.358839,109946
1972-07-03,2.187327,2.199378,2.181301,2.193353,0.359828,47712
1972-07-05,2.193353,2.217456,2.193353,2.199378,0.360816,43563
1972-07-06,2.217456,2.253610,2.217456,2.247584,0.368725,141063
1972-07-07,2.235533,2.235533,2.193353,2.211430,0.362793,134839
1972-07-10,2.211430,2.217456,2.193353,2.211430,0.362793,85052
1972-07-11,2.193353,2.193353,2.175276,2.175276,0.356862,20744
1972-07-12,2.175276,2.205404,2.163224,2.205404,0.361805,47712
1972-07-13,2.193353,2.193353,2.169250,2.169250,0.355874,514464
1972-07-14,2.169250,2.193353,2.169250,2.193353,0.359828,49787
1972-07-17,2.193353,2.205404,2.187327,2.187327,0.358839,138988
1972-07-18,2.187327,2.187327,2.169250,2.169250,0.355874,132765
1972-07-19,2.169250,2.205404,2.169250,2.205404,0.361805,99574
1972-07-20,2.199378,2.199378,2.175276,2.175276,0.356862,91276
1972-07-21,2.169250,2.169250,2.157199,2.169250,0.355874,62233
1972-07-24,2.181301,2.211430,2.181301,2.193353,0.359828,369252
1972-07-25,2.193353,2.205404,2.169250,2.169250,0.355874,400369
1972-07-26,2.175276,2.199378,2.175276,2.175276,0.356862,163882
1972-07-27,2.175276,2.181301,2.127070,2.151173,0.352908,213668
1972-07-28,2.133096,2.133096,2.096942,2.096942,0.344011,163882
1972-07-31,2.084890,2.084890,2.042710,2.054762,0.337091,182552
1972-08-01,2.030659,2.030659,1.976428,2.030659,0.335895,369252
1972-08-02,2.036685,2.078865,2.036685,2.078865,0.343869,205371
1972-08-03,2.090916,2.115019,2.090916,2.096942,0.346859,116169
1972-08-04,2.084890,2.084890,2.054762,2.072839,0.342873,89201
1972-08-07,2.084890,2.115019,2.084890,2.090916,0.345863,87127
1972-08-08,2.090916,2.108993,2.078865,2.108993,0.348853,182552
1972-08-09,2.108993,2.108993,2.072839,2.084890,0.344866,143137
1972-08-10,2.084890,2.102967,2.030659,2.030659,0.335895,78829
1972-08-11,2.030659,2.048736,2.000531,2.048736,0.338885,356805
1972-08-14,2.048736,2.066813,2.036685,2.066813,0.341876,138988
1972-08-15,2.066813,2.078865,2.054762,2.054762,0.339882,1568284
1972-08-16,2.054762,2.066813,2.048736,2.054762,0.339882,122393
1972-08-17,2.054762,2.066813,2.024633,2.024633,0.334898,49787
1972-08-18,2.024633,2.066813,2.012582,2.060788,0.340879,180477
1972-08-21,2.060788,2.102967,2.060788,2.084890,0.344866,271753
1972-08-22,2.084890,2.108993,2.084890,2.108993,0.348853,74680
1972-08-23,2.108993,2.133096,2.096942,2.133096,0.352840,122393
1972-08-24,2.133096,2.169250,2.127070,2.157199,0.356827,207445
1972-08-25,2.157199,2.169250,2.151173,2.151173,0.355830,78829
1972-08-28,2.151173,2.163224,2.151173,2.151173,0.355830,74680
1972-08-29,2.151173,2.181301,2.151173,2.169250,0.358820,263455
1972-08-30,2.169250,2.193353,2.169250,2.169250,0.358820,207445
1972-08-31,2.169250,2.181301,2.163224,2.169250,0.358820,265530
1972-09-01,2.169250,2.169250,2.157199,2.169250,0.358820,66382
1972-09-05,2.169250,2.181301,2.169250,2.169250,0.358820,105797
1972-09-06,2.169250,2.187327,2.169250,2.169250,0.358820,255157
1972-09-07,2.169250,2.187327,2.169250,2.175276,0.359816,68457
1972-09-08,2.175276,2.193353,2.169250,2.181301,0.360813,352656
1972-09-11,2.181301,2.187327,2.175276,2.175276,0.359816,58085
1972-09-12,2.175276,2.181301,2.163224,2.169250,0.358820,149360
