Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,1.629630,1.530864,1.530864,0.918751,95175
1980-03-18,0.000000,1.629630,1.530864,1.530864,0.918751,90113
1980-03-19,0.000000,1.629630,1.530864,1.530864,0.918751,26325
1980-03-20,0.000000,1.604938,1.506173,1.506173,0.903932,42525
1980-03-21,0.000000,1.530864,1.432099,1.432099,0.859476,77963
1980-03-24,0.000000,1.530864,1.432099,1.432099,0.859476,72900
1980-03-25,0.000000,1.530864,1.432099,1.432099,0.859476,63788
1980-03-26,0.000000,1.530864,1.432099,1.432099,0.859476,78975
1980-03-27,0.000000,1.456790,1.358025,1.358025,0.815021,253125
1980-03-28,0.000000,1.530864,1.432099,1.432099,0.859476,39488
1980-03-31,0.000000,1.555556,1.456790,1.456790,0.874295,67838
1980-04-01,0.000000,1.530864,1.432099,1.432099,0.859476,149850
1980-04-02,0.000000,1.530864,1.432099,1.432099,0.859476,30375
1980-04-03,0.000000,1.530864,1.432099,1.432099,0.859476,65813
1980-04-07,0.000000,1.506173,1.407407,1.407407,0.844657,113400
1980-04-08,0.000000,1.604938,1.506173,1.506173,0.903932,238950
1980-04-09,0.000000,1.580247,1.481481,1.481481,0.889113,63788
1980-04-10,0.000000,1.555556,1.456790,1.456790,0.874295,35438
1980-04-11,0.000000,1.555556,1.456790,1.456790,0.874295,52650
1980-04-14,0.000000,1.530864,1.432099,1.432099,0.859476,29363
1980-04-15,0.000000,1.481481,1.382716,1.382716,0.829839,63788
1980-04-16,0.000000,1.506173,1.407407,1.407407,0.844657,83025
1980-04-17,0.000000,1.481481,1.382716,1.382716,0.829839,65813
1980-04-18,0.000000,1.481481,1.382716,1.382716,0.829839,142763
1980-04-21,0.000000,1.481481,1.382716,1.382716,0.829839,79988
1980-04-22,0.000000,1.506173,1.407407,1.407407,0.844657,97200
1980-04-23,0.000000,1.530864,1.432099,1.432099,0.859476,130613
1980-04-24,0.000000,1.580247,1.481481,1.481481,0.889113,94163
1980-04-25,0.000000,1.580247,1.481481,1.481481,0.889113,151875
1980-04-28,0.000000,1.580247,1.481481,1.481481,0.889113,88088
1980-04-29,0.000000,1.555556,1.456790,1.456790,0.874295,115425
1980-04-30,0.000000,1.580247,1.481481,1.481481,0.889113,94163
1980-05-01,0.000000,1.580247,1.481481,1.481481,0.889113,117450
1980-05-02,0.000000,1.580247,1.481481,1.481481,0.889113,13163
1980-05-05,0.000000,1.604938,1.506173,1.506173,0.903932,26325
1980-05-06,0.000000,1.629630,1.530864,1.530864,0.918751,49613
1980-05-07,0.000000,1.629630,1.530864,1.530864,0.918751,32400
1980-05-08,0.000000,1.629630,1.530864,1.530864,0.918751,25313
1980-05-09,0.000000,1.604938,1.506173,1.506173,0.903932,85050
1980-05-12,0.000000,1.604938,1.506173,1.506173,0.903932,32400
1980-05-13,0.000000,1.604938,1.506173,1.506173,0.903932,16200
1980-05-14,0.000000,1.604938,1.506173,1.506173,0.903932,55688
1980-05-15,0.000000,1.604938,1.506173,1.506173,0.903932,18225
1980-05-16,0.000000,1.604938,1.506173,1.506173,0.903932,13163
1980-05-19,0.000000,1.604938,1.506173,1.506173,0.903932,129600
1980-05-20,0.000000,1.604938,1.506173,1.506173,0.903932,23288
1980-05-21,0.000000,1.629630,1.530864,1.530864,0.918751,67838
1980-05-22,0.000000,1.679012,1.580247,1.580247,0.948388,106313
1980-05-23,0.000000,1.679012,1.580247,1.580247,0.948388,35438
1980-05-27,0.000000,1.703704,1.604938,1.604938,0.963206,108338
1980-05-28,0.000000,1.679012,1.580247,1.580247,0.948388,64800
