Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,4.546875,4.546875,4.546875,4.546875,2.483774,20000
1973-02-22,4.578125,4.578125,4.578125,4.578125,2.500845,6400
1973-02-23,4.734375,4.734375,4.734375,4.734375,2.586197,43200
1973-02-26,4.734375,4.734375,4.734375,4.734375,2.586197,4800
1973-02-27,4.671875,4.671875,4.671875,4.671875,2.552056,1600
1973-02-28,4.625000,4.625000,4.625000,4.625000,2.526452,65600
1973-03-01,4.640625,4.640625,4.640625,4.640625,2.534987,3200
1973-03-02,4.625000,4.625000,4.625000,4.625000,2.526452,1600
1973-03-05,4.593750,4.593750,4.593750,4.593750,2.509377,14400
1973-03-06,4.609375,4.609375,4.609375,4.609375,2.517914,108000
1973-03-07,4.500000,4.500000,4.500000,4.500000,2.458168,36000
1973-03-08,4.500000,4.500000,4.500000,4.500000,2.458168,8000
1973-03-09,4.375000,4.375000,4.375000,4.375000,2.389886,16800
1973-03-12,4.250000,4.250000,4.250000,4.250000,2.321604,17600
1973-03-13,4.312500,4.312500,4.312500,4.312500,2.355746,14400
1973-03-14,4.265625,4.265625,4.265625,4.265625,2.330138,13600
1973-03-15,4.250000,4.250000,4.250000,4.250000,2.321604,28000
1973-03-16,4.250000,4.250000,4.250000,4.250000,2.321604,121600
1973-03-19,4.265625,4.265625,4.265625,4.265625,2.330138,16800
1973-03-20,4.218750,4.218750,4.218750,4.218750,2.304531,20000
1973-03-21,4.156250,4.156250,4.156250,4.156250,2.270391,16800
1973-03-22,3.890625,3.890625,3.890625,3.890625,2.125291,16000
1973-03-23,3.812500,3.812500,3.812500,3.812500,2.082613,44000
1973-03-26,3.781250,3.781250,3.781250,3.781250,2.065543,25600
1973-03-27,4.000000,4.000000,4.000000,4.000000,2.185038,25600
1973-03-28,4.234375,4.234375,4.234375,4.234375,2.313067,12800
1973-03-29,4.375000,4.375000,4.375000,4.375000,2.389886,25600
1973-03-30,4.375000,4.375000,4.375000,4.375000,2.389886,35200
1973-04-02,4.343750,4.343750,4.343750,4.343750,2.372815,16000
1973-04-03,4.203125,4.203125,4.203125,4.203125,2.295998,127200
1973-04-04,4.093750,4.093750,4.093750,4.093750,2.236250,32800
1973-04-05,4.000000,4.000000,4.000000,4.000000,2.185038,29600
1973-04-06,3.906250,3.906250,3.906250,3.906250,2.133827,55200
1973-04-09,4.031250,4.031250,4.031250,4.031250,2.202109,36000
1973-04-10,4.125000,4.125000,4.125000,4.125000,2.253321,12000
1973-04-11,4.125000,4.125000,4.125000,4.125000,2.253321,53600
1973-04-12,4.125000,4.125000,4.125000,4.125000,2.253321,16000
1973-04-13,4.093750,4.093750,4.093750,4.093750,2.236250,12000
1973-04-16,3.968750,3.968750,3.968750,3.968750,2.167968,24000
1973-04-17,4.031250,4.031250,4.031250,4.031250,2.202109,12800
1973-04-18,4.031250,4.031250,4.031250,4.031250,2.202109,2400
1973-04-19,4.062500,4.062500,4.062500,4.062500,2.219178,25600
1973-04-23,4.125000,4.125000,4.125000,4.125000,2.253321,10400
1973-04-24,4.062500,4.062500,4.062500,4.062500,2.219178,3200
1973-04-25,4.062500,4.062500,4.062500,4.062500,2.219178,12800
1973-04-26,4.093750,4.093750,4.093750,4.093750,2.236250,25600
1973-04-27,4.078125,4.078125,4.078125,4.078125,2.227715,4000
1973-04-30,4.015625,4.015625,4.015625,4.015625,2.193574,20000
1973-05-01,3.812500,3.812500,3.812500,3.812500,2.082613,41600
1973-05-02,3.875000,3.875000,3.875000,3.875000,2.116756,38400
1973-05-03,0.000000,4.000000,3.906250,4.000000,2.185038,13600
1973-05-04,0.000000,4.171875,4.031250,4.125000,2.253321,13600
1973-05-07,0.000000,4.093750,4.062500,4.062500,2.219178,4800
1973-05-08,0.000000,4.093750,3.968750,4.000000,2.185038,7200
1973-05-09,0.000000,3.968750,3.875000,3.921875,2.142362,283200
1973-05-10,0.000000,3.984375,3.921875,3.984375,2.176505,4000
1973-05-11,0.000000,3.984375,3.953125,3.953125,2.159432,24800
1973-05-14,0.000000,3.921875,3.875000,3.875000,2.116756,10400
1973-05-15,0.000000,3.875000,3.843750,3.843750,2.099686,57600
1973-05-16,0.000000,3.812500,3.796875,3.796875,2.074079,121600
1973-05-17,0.000000,3.812500,3.734375,3.734375,2.039938,23200
1973-05-18,0.000000,3.734375,3.468750,3.468750,1.894838,49600
1973-05-21,0.000000,3.468750,3.375000,3.406250,1.860696,60000
1973-05-22,0.000000,3.500000,3.406250,3.484375,1.903373,39200
1973-05-23,0.000000,3.625000,3.500000,3.625000,1.980192,9600
1973-05-24,0.000000,3.703125,3.625000,3.703125,2.022866,9600
1973-05-25,0.000000,3.921875,3.812500,3.828125,2.091150,50400
1973-05-29,0.000000,3.890625,3.812500,3.812500,2.082613,35200
1973-05-30,0.000000,3.781250,3.656250,3.656250,1.997262,18400
1973-05-31,0.000000,3.625000,3.546875,3.546875,1.937514,10400
1973-06-01,0.000000,3.531250,3.500000,3.531250,1.928979,38400
1973-06-04,0.000000,3.531250,3.468750,3.500000,1.911907,30400
1973-06-05,0.000000,3.687500,3.500000,3.625000,1.980192,22400
1973-06-06,0.000000,3.593750,3.500000,3.515625,1.920444,16800
1973-06-07,0.000000,3.562500,3.500000,3.562500,1.946050,11200
1973-06-08,0.000000,3.609375,3.578125,3.578125,1.954586,11200
1973-06-11,0.000000,3.640625,3.609375,3.625000,1.980192,4800
1973-06-12,0.000000,3.734375,3.671875,3.734375,2.039938,4000
1973-06-13,0.000000,3.781250,3.750000,3.750000,2.048472,15200
1973-06-14,0.000000,3.890625,3.703125,3.875000,2.116756,19200
1973-06-15,0.000000,3.843750,3.750000,3.750000,2.048472,70400
1973-06-18,0.000000,3.718750,3.687500,3.687500,2.014332,27200
1973-06-19,0.000000,3.750000,3.718750,3.750000,2.048472,1600
1973-06-20,0.000000,3.718750,3.687500,3.687500,2.014332,47200
1973-06-21,0.000000,3.671875,3.500000,3.500000,1.911907,392000
1973-06-22,0.000000,3.500000,3.500000,3.500000,1.911907,14400
1973-06-25,0.000000,3.468750,3.453125,3.453125,1.886302,6400
1973-06-26,0.000000,3.531250,3.437500,3.500000,1.911907,11200
1973-06-27,0.000000,3.531250,3.531250,3.531250,1.928979,800
1973-06-28,0.000000,3.625000,3.515625,3.625000,1.980192,8000
1973-06-29,0.000000,3.593750,3.562500,3.562500,1.946050,3200
1973-07-02,0.000000,3.531250,3.500000,3.500000,1.911907,40800
1973-07-03,0.000000,3.546875,3.515625,3.546875,1.937514,9600
1973-07-05,0.000000,3.531250,3.515625,3.531250,1.928979,3200
1973-07-06,0.000000,3.531250,3.484375,3.484375,1.903373,176800
1973-07-09,0.000000,3.546875,3.500000,3.546875,1.937514,16000
1973-07-10,0.000000,3.625000,3.562500,3.625000,1.980192,10400
1973-07-11,0.000000,3.671875,3.640625,3.640625,1.988726,13600
1973-07-12,0.000000,3.750000,3.687500,3.750000,2.048472,10400
1973-07-13,0.000000,3.750000,3.718750,3.718750,2.031404,11200
1973-07-16,0.000000,3.718750,3.718750,3.718750,2.031404,7200
1973-07-17,0.000000,3.875000,3.750000,3.875000,2.116756,9600
1973-07-18,3.875000,3.875000,3.875000,3.875000,2.116756,0
1973-07-19,0.000000,4.031250,3.906250,4.031250,2.202109,8000
1973-07-20,0.000000,4.093750,4.062500,4.093750,2.236250,4000
1973-07-23,0.000000,4.484375,4.281250,4.484375,2.449632,36800
1973-07-24,0.000000,4.515625,4.484375,4.484375,2.449632,20800
1973-07-25,0.000000,4.562500,4.500000,4.562500,2.492309,9600
1973-07-26,0.000000,4.687500,4.562500,4.687500,2.560592,28000
1973-07-27,0.000000,4.750000,4.718750,4.750000,2.594734,47200
1973-07-30,0.000000,4.750000,4.671875,4.750000,2.594734,17600
1973-07-31,0.000000,4.718750,4.718750,4.718750,2.577663,800
1973-08-01,0.000000,4.687500,4.500000,4.500000,2.458168,24000
1973-08-02,0.000000,4.468750,4.406250,4.406250,2.406955,16800
1973-08-03,4.406250,4.406250,4.406250,4.406250,2.406955,0
1973-08-06,0.000000,4.484375,4.406250,4.484375,2.449632,16000
1973-08-07,0.000000,4.562500,4.500000,4.562500,2.492309,10400
1973-08-08,0.000000,4.562500,4.546875,4.546875,2.483774,15200
1973-08-09,0.000000,4.546875,4.500000,4.546875,2.483774,212800
1973-08-10,0.000000,4.546875,4.500000,4.500000,2.458168,24000
1973-08-13,0.000000,4.484375,4.468750,4.468750,2.441097,12800
1973-08-14,0.000000,4.500000,4.453125,4.453125,2.432563,13600
1973-08-15,0.000000,4.484375,4.406250,4.406250,2.406955,20000
1973-08-16,0.000000,4.468750,4.437500,4.468750,2.441097,8800
1973-08-17,4.468750,4.468750,4.468750,4.468750,2.441097,0
1973-08-20,0.000000,4.500000,4.468750,4.468750,2.441097,10400
1973-08-21,0.000000,4.468750,4.328125,4.328125,2.364280,28000
1973-08-22,0.000000,4.375000,4.312500,4.312500,2.355746,27200
1973-08-23,0.000000,4.375000,4.359375,4.375000,2.389886,70400
1973-08-24,0.000000,4.375000,4.375000,4.375000,2.389886,164000
1973-08-27,0.000000,4.406250,4.375000,4.406250,2.406955,7200
1973-08-28,0.000000,4.406250,4.375000,4.375000,2.389886,16800
1973-08-29,0.000000,4.421875,4.375000,4.421875,2.415492,35200
1973-08-30,0.000000,4.437500,4.375000,4.421875,2.415492,26400
1973-08-31,0.000000,4.421875,4.421875,4.421875,2.415492,800
1973-09-04,0.000000,4.468750,4.437500,4.468750,2.441097,10400
1973-09-05,0.000000,4.500000,4.484375,4.500000,2.458168,15200
1973-09-06,0.000000,4.546875,4.484375,4.546875,2.483774,40000
1973-09-07,0.000000,4.625000,4.546875,4.625000,2.526452,6400
1973-09-10,0.000000,4.687500,4.656250,4.687500,2.560592,3200
1973-09-11,0.000000,4.656250,4.625000,4.625000,2.526452,41600
1973-09-12,0.000000,4.625000,4.531250,4.531250,2.475240,15200
1973-09-13,0.000000,4.500000,4.500000,4.500000,2.458168,8000
1973-09-14,0.000000,4.531250,4.500000,4.500000,2.458168,9600
1973-09-17,0.000000,4.500000,4.468750,4.484375,2.449632,10400
1973-09-18,0.000000,4.531250,4.515625,4.531250,2.475240,8800
1973-09-19,0.000000,4.562500,4.500000,4.531250,2.475240,8800
1973-09-20,0.000000,4.718750,4.625000,4.718750,2.577663,20000
1973-09-21,0.000000,4.812500,4.750000,4.796875,2.620338,68800
1973-09-24,0.000000,4.937500,4.796875,4.937500,2.697156,88800
1973-09-25,0.000000,4.906250,4.812500,4.812500,2.628873,78400
1973-09-26,0.000000,4.781250,4.718750,4.750000,2.594734,16800
1973-09-27,0.000000,4.750000,4.718750,4.750000,2.594734,10400
1973-09-28,0.000000,4.734375,4.703125,4.703125,2.569126,7200
1973-10-01,0.000000,4.781250,4.687500,4.781250,2.611803,56800
1973-10-02,0.000000,4.796875,4.765625,4.765625,2.603268,8000
1973-10-03,0.000000,4.812500,4.750000,4.812500,2.628873,48800
1973-10-04,0.000000,4.859375,4.843750,4.859375,2.654480,8800
1973-10-05,0.000000,5.000000,4.859375,5.000000,2.731297,78400
1973-10-08,0.000000,4.984375,4.921875,4.921875,2.688622,7200
1973-10-09,0.000000,5.000000,4.890625,4.968750,2.714227,20800
1973-10-10,0.000000,4.968750,4.875000,4.968750,2.714227,11200
1973-10-11,0.000000,5.062500,5.000000,5.062500,2.765439,32800
1973-10-12,0.000000,5.109375,5.000000,5.000000,2.731297,13600
1973-10-15,0.000000,5.000000,4.968750,4.968750,2.714227,20800
1973-10-16,0.000000,4.937500,4.875000,4.875000,2.663014,13600
1973-10-17,0.000000,4.906250,4.875000,4.875000,2.663014,1600
1973-10-18,0.000000,5.000000,4.906250,5.000000,2.731297,10400
1973-10-19,0.000000,5.125000,4.968750,5.125000,2.799580,23200
1973-10-22,0.000000,5.031250,5.031250,5.031250,2.748368,9600
1973-10-23,0.000000,5.062500,4.968750,5.000000,2.731297,50400
1973-10-24,0.000000,5.000000,4.968750,4.968750,2.714227,24000
1973-10-25,0.000000,5.062500,4.937500,5.062500,2.765439,13600
1973-10-26,0.000000,5.156250,5.031250,5.156250,2.816652,8800
1973-10-29,0.000000,5.265625,5.156250,5.218750,2.850792,36800
1973-10-30,0.000000,5.218750,5.187500,5.187500,2.833721,10400
1973-10-31,0.000000,5.421875,5.312500,5.421875,2.961753,23200
1973-11-01,0.000000,5.593750,5.468750,5.593750,3.055640,28000
1973-11-02,0.000000,5.625000,5.562500,5.593750,3.055640,47200
1973-11-05,0.000000,5.609375,5.406250,5.406250,2.953214,136800
1973-11-06,0.000000,5.343750,5.218750,5.218750,2.850792,27200
1973-11-07,0.000000,5.281250,5.218750,5.281250,2.884932,4800
1973-11-08,0.000000,5.375000,5.312500,5.375000,2.936146,16000
1973-11-09,0.000000,5.437500,5.406250,5.406250,2.953214,10400
1973-11-12,0.000000,5.406250,5.250000,5.250000,2.867864,24800
1973-11-13,0.000000,5.250000,5.218750,5.218750,2.850792,24000
1973-11-14,0.000000,5.250000,5.218750,5.218750,2.850792,88800
1973-11-15,0.000000,5.218750,5.156250,5.156250,2.816652,26400
1973-11-16,0.000000,5.125000,4.968750,5.031250,2.748368,21600
1973-11-19,0.000000,5.062500,4.906250,4.906250,2.680085,45600
1973-11-20,0.000000,4.875000,4.562500,4.562500,2.492309,66400
1973-11-21,0.000000,4.656250,4.593750,4.609375,2.517914,37600
1973-11-23,0.000000,4.578125,4.578125,4.578125,2.500845,800
1973-11-26,0.000000,4.546875,4.421875,4.421875,2.415492,31200
1973-11-27,0.000000,4.390625,4.328125,4.343750,2.372815,19200
1973-11-28,0.000000,4.406250,4.343750,4.406250,2.406955,34400
1973-11-29,0.000000,4.437500,4.375000,4.437500,2.424026,4800
1973-11-30,0.000000,4.500000,4.406250,4.468750,2.441097,89600
1973-12-03,0.000000,4.437500,3.953125,3.953125,2.159432,144000
1973-12-04,0.000000,4.000000,3.937500,4.000000,2.185038,8800
1973-12-05,0.000000,3.968750,3.906250,3.937500,2.150896,34400
1973-12-06,0.000000,4.125000,3.921875,4.125000,2.253321,52000
1973-12-07,0.000000,4.609375,4.187500,4.468750,2.441097,24000
1973-12-10,0.000000,4.437500,4.281250,4.312500,2.355746,84800
1973-12-11,0.000000,4.437500,4.281250,4.312500,2.355746,129600
1973-12-12,0.000000,4.312500,4.187500,4.187500,2.287462,66400
1973-12-13,0.000000,4.187500,4.062500,4.062500,2.219178,32000
1973-12-14,0.000000,4.203125,4.093750,4.156250,2.270391,32800
1973-12-17,0.000000,4.250000,4.125000,4.140625,2.261856,24800
1973-12-18,0.000000,4.250000,4.125000,4.250000,2.321604,11200
1973-12-19,0.000000,4.281250,4.281250,4.281250,2.338674,1600
1973-12-20,0.000000,4.250000,4.218750,4.218750,2.304531,5600
1973-12-21,0.000000,4.546875,4.125000,4.546875,2.483774,15200
1973-12-24,0.000000,4.578125,4.500000,4.500000,2.458168,4800
1973-12-26,0.000000,4.593750,4.531250,4.531250,2.475240,9600
1973-12-27,0.000000,4.562500,4.500000,4.500000,2.458168,10400
1973-12-28,0.000000,4.500000,4.312500,4.328125,2.364280,72800
1973-12-31,4.328125,4.328125,4.328125,4.328125,2.364280,0
1974-01-02,0.000000,4.296875,4.296875,4.296875,2.347209,4800
1974-01-03,0.000000,4.312500,4.296875,4.312500,2.355746,56000
1974-01-04,0.000000,4.375000,4.250000,4.296875,2.347209,246400
1974-01-07,0.000000,4.328125,4.250000,4.250000,2.321604,57600
1974-01-08,0.000000,4.406250,4.281250,4.281250,2.338674,52800
1974-01-09,0.000000,4.312500,4.062500,4.078125,2.227715,177600
1974-01-10,0.000000,4.078125,4.031250,4.062500,2.219178,31200
1974-01-11,0.000000,4.062500,4.000000,4.062500,2.219178,83200
1974-01-14,0.000000,4.093750,4.062500,4.093750,2.236250,3200
1974-01-15,0.000000,4.343750,4.187500,4.343750,2.372815,11200
1974-01-16,0.000000,4.375000,4.312500,4.375000,2.389886,7200
1974-01-17,0.000000,4.359375,4.281250,4.296875,2.347209,74400
1974-01-18,0.000000,4.281250,4.125000,4.125000,2.253321,182400
1974-01-21,0.000000,4.093750,3.937500,3.968750,2.167968,54400
1974-01-22,0.000000,3.937500,3.937500,3.937500,2.150896,7200
1974-01-23,0.000000,4.078125,3.968750,4.078125,2.227715,22400
1974-01-24,0.000000,4.093750,4.093750,4.093750,2.236250,5600
1974-01-25,0.000000,4.109375,4.031250,4.109375,2.244786,16800
1974-01-28,0.000000,4.125000,4.093750,4.093750,2.236250,44800
1974-01-29,0.000000,4.078125,3.937500,3.937500,2.150896,18400
1974-01-30,0.000000,3.968750,3.937500,3.968750,2.167968,12800
1974-01-31,0.000000,4.000000,3.968750,3.968750,2.167968,13600
1974-02-01,0.000000,4.000000,3.984375,4.000000,2.185038,2400
1974-02-04,0.000000,4.031250,4.000000,4.031250,2.202109,7200
1974-02-05,0.000000,4.156250,4.062500,4.156250,2.270391,4000
1974-02-06,0.000000,4.125000,4.125000,4.125000,2.253321,800
1974-02-07,0.000000,4.156250,4.093750,4.156250,2.270391,55200
1974-02-08,0.000000,4.234375,4.093750,4.234375,2.313067,18400
1974-02-11,0.000000,4.203125,4.125000,4.125000,2.253321,58400
1974-02-12,0.000000,4.062500,4.000000,4.000000,2.185038,5600
1974-02-13,0.000000,4.000000,4.000000,4.000000,2.185038,5600
1974-02-14,0.000000,4.000000,4.000000,4.000000,2.185038,76800
1974-02-15,0.000000,4.062500,4.000000,4.062500,2.219178,12800
1974-02-19,0.000000,4.218750,4.093750,4.218750,2.304531,12800
1974-02-20,0.000000,4.421875,4.234375,4.421875,2.415492,12000
1974-02-21,0.000000,4.484375,4.468750,4.484375,2.449632,15200
1974-02-22,0.000000,4.531250,4.500000,4.531250,2.475240,6400
1974-02-25,0.000000,4.500000,4.500000,4.500000,2.458168,4000
1974-02-26,0.000000,4.593750,4.531250,4.578125,2.500845,19200
1974-02-27,0.000000,4.609375,4.562500,4.578125,2.500845,12000
1974-02-28,0.000000,4.562500,4.562500,4.562500,2.492309,2400
1974-03-01,0.000000,4.531250,4.406250,4.406250,2.406955,9600
1974-03-04,0.000000,4.375000,4.281250,4.281250,2.338674,7200
1974-03-05,0.000000,4.343750,4.312500,4.343750,2.372815,3200
1974-03-06,0.000000,4.281250,4.250000,4.250000,2.321604,18400
1974-03-07,0.000000,4.312500,4.250000,4.250000,2.321604,20000
1974-03-08,0.000000,4.250000,4.250000,4.250000,2.321604,3200
1974-03-11,0.000000,4.281250,4.281250,4.281250,2.338674,800
1974-03-12,0.000000,4.312500,4.281250,4.312500,2.355746,6400
1974-03-13,0.000000,4.437500,4.343750,4.375000,2.389886,108000
1974-03-14,0.000000,4.406250,4.375000,4.406250,2.406955,49600
1974-03-15,0.000000,4.453125,4.453125,4.453125,2.432563,1600
1974-03-18,0.000000,4.484375,4.484375,4.484375,2.449632,2400
1974-03-19,0.000000,4.484375,4.437500,4.437500,2.424026,16000
1974-03-20,0.000000,4.406250,4.375000,4.375000,2.389886,34400
1974-03-21,0.000000,4.343750,4.343750,4.343750,2.372815,2400
1974-03-22,0.000000,4.343750,4.312500,4.312500,2.355746,11200
1974-03-25,0.000000,4.328125,4.125000,4.140625,2.261856,19200
1974-03-26,0.000000,4.109375,4.000000,4.000000,2.185038,4800
1974-03-27,0.000000,3.984375,3.953125,3.953125,2.159432,6400
1974-03-28,0.000000,3.921875,3.703125,3.703125,2.022866,10400
1974-03-29,0.000000,3.843750,3.625000,3.843750,2.099686,34400
1974-04-01,0.000000,3.921875,3.828125,3.828125,2.091150,10400
1974-04-02,3.828125,3.828125,3.828125,3.828125,2.091150,0
1974-04-03,0.000000,3.828125,3.812500,3.812500,2.082613,12000
1974-04-04,0.000000,3.796875,3.781250,3.781250,2.065543,34400
1974-04-05,0.000000,3.781250,3.781250,3.781250,2.065543,172800
1974-04-08,0.000000,3.781250,3.593750,3.750000,2.048472,115200
1974-04-09,0.000000,3.734375,3.687500,3.734375,2.039938,28000
1974-04-10,0.000000,3.781250,3.750000,3.781250,2.065543,17600
1974-04-11,0.000000,3.921875,3.750000,3.921875,2.142362,16800
1974-04-15,0.000000,3.984375,3.890625,3.937500,2.150896,23200
1974-04-16,0.000000,3.968750,3.937500,3.937500,2.150896,25600
1974-04-17,0.000000,4.046875,3.937500,4.046875,2.210644,60000
1974-04-18,0.000000,4.312500,4.046875,4.250000,2.321604,80000
1974-04-19,0.000000,4.250000,4.203125,4.218750,2.304531,33600
1974-04-22,0.000000,4.250000,4.187500,4.250000,2.321604,55200
1974-04-23,0.000000,4.250000,4.156250,4.156250,2.270391,48000
1974-04-24,0.000000,4.156250,4.156250,4.156250,2.270391,90400
1974-04-25,0.000000,4.203125,4.125000,4.125000,2.253321,15200
1974-04-26,0.000000,4.203125,4.125000,4.140625,2.261856,12800
1974-04-29,0.000000,4.156250,4.140625,4.156250,2.270391,9600
1974-04-30,0.000000,4.187500,4.187500,4.187500,2.287462,800
1974-05-01,0.000000,4.234375,4.171875,4.234375,2.313067,34400
1974-05-02,0.000000,4.312500,4.265625,4.312500,2.355746,11200
1974-05-03,0.000000,4.312500,4.281250,4.281250,2.338674,8800
1974-05-06,0.000000,4.250000,4.187500,4.203125,2.295998,11200
1974-05-07,0.000000,4.187500,4.156250,4.156250,2.270391,41600
1974-05-08,4.156250,4.156250,4.156250,4.156250,2.270391,0
1974-05-09,0.000000,4.281250,4.187500,4.281250,2.338674,22400
1974-05-10,0.000000,4.265625,4.250000,4.265625,2.330138,8800
1974-05-13,0.000000,4.265625,4.265625,4.265625,2.330138,4800
1974-05-14,0.000000,4.328125,4.281250,4.312500,2.355746,9600
1974-05-15,0.000000,4.343750,4.312500,4.312500,2.355746,4800
1974-05-16,0.000000,4.328125,4.328125,4.328125,2.364280,1600
1974-05-17,0.000000,4.359375,4.281250,4.328125,2.364280,19200
1974-05-20,0.000000,4.328125,4.312500,4.328125,2.364280,13600
1974-05-21,0.000000,4.328125,4.328125,4.328125,2.364280,1600
1974-05-22,0.000000,4.328125,4.328125,4.328125,2.364280,800
1974-05-23,0.000000,4.375000,4.328125,4.375000,2.389886,35200
1974-05-24,0.000000,4.484375,4.406250,4.484375,2.449632,7200
1974-05-28,0.000000,4.500000,4.500000,4.500000,2.458168,4000
1974-05-29,0.000000,4.531250,4.531250,4.531250,2.475240,15200
1974-05-30,0.000000,4.500000,4.500000,4.500000,2.458168,8000
1974-05-31,0.000000,4.468750,4.375000,4.437500,2.424026,25600
1974-06-03,0.000000,4.500000,4.437500,4.500000,2.458168,26400
1974-06-04,0.000000,4.531250,4.484375,4.484375,2.449632,4800
1974-06-05,0.000000,4.515625,4.515625,4.515625,2.466702,800
1974-06-06,0.000000,4.500000,4.437500,4.437500,2.424026,12800
1974-06-07,0.000000,4.468750,4.453125,4.453125,2.432563,22400
1974-06-10,0.000000,4.453125,4.437500,4.437500,2.424026,12000
1974-06-11,0.000000,4.531250,4.468750,4.531250,2.475240,6400
1974-06-12,0.000000,4.562500,4.531250,4.562500,2.492309,29600
1974-06-13,0.000000,4.687500,4.593750,4.656250,2.543521,131200
1974-06-14,0.000000,4.625000,4.562500,4.562500,2.492309,20000
1974-06-17,0.000000,4.578125,4.531250,4.578125,2.500845,28800
