Date,Open,High,Low,Close,Adj Close,Volume
2012-06-06,19.799999,20.100000,19.660000,19.840000,12.741476,241800
2012-06-07,19.840000,19.860001,19.520000,19.780001,12.702942,220950
2012-06-08,19.680000,19.700001,19.500000,19.700001,12.651566,162150
2012-06-11,19.700001,20.000000,19.700001,19.900000,12.780008,198050
2012-06-12,19.840000,19.959999,19.700001,19.959999,12.818540,162550
2012-06-13,19.799999,19.920000,19.780001,19.900000,12.780008,136450
2012-06-14,19.820000,19.940001,19.760000,19.940001,12.805697,160850
2012-06-15,19.799999,19.940001,19.760000,19.780001,12.702942,345350
2012-06-18,19.780001,19.900000,19.719999,19.799999,12.715785,163200
2012-06-19,19.799999,19.900000,19.760000,19.900000,12.780008,179650
2012-06-20,19.879999,19.879999,19.760000,19.860001,12.754321,266300
2012-06-21,19.799999,19.840000,19.780001,19.820000,12.728635,160850
2012-06-22,19.820000,19.860001,19.799999,19.860001,12.754321,123250
2012-06-25,19.780001,19.860001,19.780001,19.840000,12.741476,154500
2012-06-26,19.840000,19.860001,19.799999,19.840000,12.741476,156950
2012-06-27,19.740000,19.840000,19.740000,19.840000,12.803429,133100
2012-06-28,19.760000,19.840000,19.760000,19.840000,12.803429,98450
2012-06-29,19.820000,19.840000,19.780001,19.840000,12.803429,143700
2012-07-02,19.799999,19.860001,19.740000,19.860001,12.816335,128150
2012-07-03,19.820000,19.820000,19.740000,19.740000,12.738894,136850
2012-07-05,19.719999,19.780001,19.700001,19.780001,12.764706,102500
2012-07-06,19.719999,19.780001,19.700001,19.760000,12.751800,147200
2012-07-09,19.700001,19.760000,19.700001,19.760000,12.751800,118050
2012-07-10,19.740000,19.740000,19.700001,19.719999,12.725986,133850
2012-07-11,19.700001,19.740000,19.700001,19.719999,12.725986,94100
2012-07-12,19.700001,19.740000,19.700001,19.740000,12.738894,87400
2012-07-13,19.719999,19.780001,19.719999,19.760000,12.751800,119050
2012-07-16,19.780001,19.799999,19.740000,19.780001,12.764706,118400
2012-07-17,19.780001,19.780001,19.600000,19.700001,12.713079,320000
2012-07-18,19.639999,19.780001,19.639999,19.700001,12.713079,84600
2012-07-19,19.639999,19.639999,19.100000,19.219999,12.403321,149250
2012-07-20,19.100000,19.400000,19.020000,19.340000,12.480758,82250
2012-07-23,19.219999,19.299999,19.160000,19.240000,12.416225,63100
2012-07-24,19.180000,19.299999,19.120001,19.139999,12.351695,50550
2012-07-25,19.160000,19.320000,19.139999,19.320000,12.467854,50400
2012-07-26,19.200001,19.200001,18.780001,19.080000,12.312974,92700
2012-07-27,18.820000,18.860001,18.160000,18.820000,12.145186,270400
2012-07-30,18.620001,18.799999,18.520000,18.660000,12.041933,131250
2012-07-31,18.500000,18.660000,18.320000,18.379999,11.861239,123300
2012-08-01,18.299999,18.540001,18.200001,18.540001,11.964493,170600
2012-08-02,18.340000,18.540001,18.240000,18.540001,11.964493,104300
2012-08-03,18.600000,18.680000,18.559999,18.600000,12.003216,80150
2012-08-06,18.580000,18.900000,18.400000,18.500000,11.938682,92650
2012-08-07,18.480000,18.520000,18.240000,18.480000,11.925771,108750
2012-08-08,18.260000,18.639999,18.240000,18.559999,11.977400,77400
2012-08-09,18.520000,18.600000,18.480000,18.520000,11.951586,63100
2012-08-10,18.340000,18.580000,18.340000,18.500000,11.938682,73000
2012-08-13,18.420000,18.600000,18.420000,18.500000,11.938682,72200
2012-08-14,18.480000,18.559999,18.459999,18.480000,11.925771,81700
2012-08-15,18.440001,18.719999,18.440001,18.700001,12.067750,90100
2012-08-16,18.639999,18.639999,18.500000,18.500000,11.938682,85800
2012-08-17,18.520000,18.680000,18.500000,18.500000,11.938682,81550
2012-08-20,18.500000,18.500000,18.360001,18.379999,11.861239,71350
2012-08-21,18.320000,18.400000,18.240000,18.320000,11.822521,75500
2012-08-22,18.260000,18.340000,18.260000,18.299999,11.809611,42300
2012-08-23,18.260000,18.500000,18.260000,18.360001,11.848335,79450
2012-08-24,18.240000,18.379999,18.219999,18.280001,11.796708,73900
2012-08-27,18.180000,18.340000,18.180000,18.299999,11.809611,51900
2012-08-28,18.260000,18.540001,18.139999,18.420000,11.887052,133400
2012-08-29,18.420000,18.680000,18.400000,18.639999,12.029027,90000
2012-08-30,18.600000,18.660000,18.540001,18.559999,11.977400,53100
2012-08-31,18.559999,18.820000,18.540001,18.799999,12.132279,53850
2012-09-04,18.780001,18.920000,18.780001,18.920000,12.209720,57400
2012-09-05,18.900000,19.219999,18.879999,19.200001,12.390414,133800
2012-09-06,19.200001,19.240000,19.059999,19.139999,12.351695,83550
2012-09-07,19.100000,19.240000,19.080000,19.080000,12.312974,69050
2012-09-10,19.180000,19.240000,19.059999,19.059999,12.300065,101950
2012-09-11,19.040001,19.400000,19.020000,19.280001,12.442041,114800
2012-09-12,19.260000,19.620001,19.240000,19.540001,12.609828,128200
2012-09-13,19.540001,19.799999,19.540001,19.719999,12.725986,194400
2012-09-14,19.639999,19.740000,19.600000,19.740000,12.738894,141600
2012-09-17,19.639999,19.700001,19.540001,19.580000,12.635641,69450
2012-09-18,19.500000,19.520000,19.240000,19.400000,12.519485,81100
2012-09-19,19.360001,19.740000,19.360001,19.740000,12.738894,139700
2012-09-20,19.700001,19.799999,19.620001,19.680000,12.700176,172050
2012-09-21,19.799999,19.959999,19.740000,19.959999,12.880867,613650
2012-09-24,19.459999,19.940001,19.260000,19.940001,12.867962,175850
2012-09-25,19.940001,19.959999,19.820000,19.879999,12.829241,170500
2012-09-26,19.600000,19.719999,19.580000,19.620001,12.847576,85600
2012-09-27,19.660000,19.700001,19.559999,19.620001,12.847576,160600
2012-09-28,19.700001,19.700001,19.500000,19.559999,12.808283,83800
2012-10-01,19.559999,19.660000,19.440001,19.600000,12.834481,115550
2012-10-02,19.600000,19.740000,19.520000,19.600000,12.834481,122650
2012-10-03,19.600000,19.740000,19.520000,19.620001,12.847576,151350
2012-10-04,19.620001,19.700001,19.580000,19.680000,12.886868,94050
2012-10-05,19.620001,19.860001,19.600000,19.799999,12.965442,163450
2012-10-08,19.740000,19.840000,19.639999,19.820000,12.978539,137300
2012-10-09,19.760000,19.940001,19.680000,19.879999,13.017829,159750
2012-10-10,19.820000,19.820000,19.680000,19.760000,12.939249,96750
2012-10-11,19.719999,19.920000,19.620001,19.860001,13.004733,125800
2012-10-12,19.820000,19.940001,19.700001,19.879999,13.017829,129850
2012-10-15,19.840000,20.059999,19.700001,19.940001,13.057119,254400
2012-10-16,19.879999,19.980000,19.700001,19.920000,13.044021,142250
2012-10-17,19.860001,20.059999,19.820000,20.059999,13.135695,245050
2012-10-18,19.980000,20.180000,19.900000,20.180000,13.214277,180450
2012-10-19,20.080000,20.180000,19.900000,20.080000,13.148792,136400
2012-10-22,20.080000,20.180000,19.860001,20.160000,13.201181,106750
2012-10-23,20.040001,20.420000,19.840000,20.420000,13.371430,222650
2012-10-24,20.360001,20.360001,19.900000,20.080000,13.148792,198200
2012-10-25,20.059999,20.139999,19.740000,20.020000,13.109506,116300
2012-10-26,19.940001,19.959999,19.660000,19.860001,13.004733,96950
2012-10-31,19.840000,20.000000,19.620001,20.000000,13.096409,137700
2012-11-01,19.980000,20.200001,19.840000,20.180000,13.214277,167450
2012-11-02,20.160000,20.240000,20.120001,20.240000,13.253566,158000
2012-11-05,20.240000,20.240000,19.879999,20.100000,13.161893,100550
2012-11-06,20.139999,20.200001,19.900000,20.180000,13.214277,171750
2012-11-07,20.000000,20.160000,19.900000,20.100000,13.161893,144150
2012-11-08,20.260000,20.260000,19.959999,20.040001,13.122600,80600
2012-11-09,20.020000,20.500000,20.000000,20.500000,13.423819,276600
2012-11-12,20.500000,20.719999,20.360001,20.719999,13.567876,258450
2012-11-13,20.700001,21.000000,20.620001,21.000000,13.751231,266200
2012-11-14,20.840000,21.000000,20.240000,20.340000,13.319050,170050
