Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,9.826389,9.930556,9.722222,9.722222,1.984177,68040
1982-01-04,9.965278,10.104167,9.791667,10.069444,2.055041,106560
1982-01-05,10.000000,10.173611,9.826389,9.861111,2.012523,240840
1982-01-06,9.826389,9.930556,9.687500,9.791667,1.998351,239040
1982-01-07,9.756944,9.791667,9.722222,9.791667,1.998351,162720
1982-01-08,9.826389,9.895833,9.756944,9.861111,2.012523,210960
1982-01-11,9.826389,9.930556,9.687500,9.687500,1.977091,218160
1982-01-12,9.652778,9.687500,9.583333,9.618056,1.962919,198360
1982-01-13,9.618056,9.652778,9.583333,9.618056,1.962919,465120
1982-01-14,9.479167,9.548611,9.375000,9.479167,1.934573,288360
1982-01-15,9.444444,9.479167,9.409722,9.409722,1.920401,408240
1982-01-18,9.340278,9.409722,9.236111,9.270833,1.892055,623520
1982-01-19,9.236111,9.375000,9.097222,9.131944,1.863709,420840
1982-01-20,9.027778,9.131944,8.923611,9.097222,1.856624,345960
1982-01-21,9.062500,9.097222,8.993056,9.027778,1.842451,340200
1982-01-22,8.993056,9.027778,8.958333,8.958333,1.828279,257760
1982-01-25,9.027778,9.097222,8.923611,8.958333,1.828279,269280
1982-01-26,8.854167,8.993056,8.715278,8.750000,1.785759,187200
1982-01-27,8.784722,8.819444,8.715278,8.784722,1.792846,236880
1982-01-28,9.201389,9.513889,8.854167,9.513889,1.941660,448920
1982-01-29,9.861111,9.965278,9.722222,9.895833,2.019609,432360
1982-02-01,9.635417,9.791667,9.427083,9.479167,1.934573,315120
1982-02-02,9.479167,9.531250,9.375000,9.531250,1.945203,206640
1982-02-03,9.635417,9.739583,9.531250,9.739583,1.987721,153600
1982-02-04,9.427083,9.635417,9.166667,9.375000,1.913314,201600
1982-02-05,9.687500,9.843750,9.479167,9.791667,1.998351,310320
1982-02-08,9.947917,10.312500,9.583333,9.843750,2.008981,374400
1982-02-09,9.843750,10.104167,9.583333,9.635417,1.966463,225840
1982-02-10,9.843750,10.000000,9.635417,9.895833,2.019609,233520
1982-02-11,9.895833,10.052083,9.687500,9.843750,2.008981,239520
1982-02-12,10.052083,10.208333,9.843750,10.104167,2.062127,180000
1982-02-16,9.947917,10.052083,9.843750,9.947917,2.030240,340800
1982-02-17,10.156250,10.260417,10.000000,10.156250,2.072757,212880
1982-02-18,10.364583,10.520833,10.208333,10.416667,2.125905,199440
1982-02-19,10.572917,10.833333,10.312500,10.625000,2.168422,434880
1982-02-22,10.572917,10.885417,10.208333,10.208333,2.083386,430320
1982-02-23,10.156250,10.364583,9.947917,10.208333,2.083386,280080
1982-02-24,10.208333,10.416667,10.000000,10.416667,2.125905,235200
1982-02-25,10.520833,10.729167,10.312500,10.416667,2.125905,209040
1982-02-26,10.312500,10.572917,10.000000,10.208333,2.083386,200400
1982-03-01,10.468750,10.625000,10.312500,10.364583,2.115275,157920
1982-03-02,10.364583,10.364583,10.312500,10.312500,2.104645,69600
1982-03-03,10.208333,10.312500,10.052083,10.104167,2.062127,171840
1982-03-04,9.843750,10.000000,9.635417,9.895833,2.019609,269520
1982-03-05,9.635417,9.843750,9.375000,9.635417,1.966463,148560
1982-03-08,9.375000,9.739583,8.958333,9.010417,1.838908,444240
1982-03-09,9.322917,9.791667,8.854167,9.583333,1.955833,366960
1982-03-10,9.531250,9.635417,9.375000,9.375000,1.913314,103200
1982-03-11,9.218750,9.375000,9.010417,9.114583,1.860167,471600
1982-03-12,8.958333,9.270833,8.645833,8.697917,1.775130,321120
1982-03-15,8.750000,8.854167,8.593750,8.802083,1.796390,185280
1982-03-16,8.958333,9.114583,8.802083,8.906250,1.817649,317760
1982-03-17,8.697917,8.958333,8.385417,8.541667,1.743242,852720
1982-03-18,8.697917,8.802083,8.541667,8.802083,1.796390,355680
1982-03-19,9.166667,9.270833,9.010417,9.062500,1.849537,191280
1982-03-22,9.322917,9.479167,9.114583,9.479167,1.934573,245520
1982-03-23,9.635417,9.739583,9.479167,9.687500,1.977091,362160
1982-03-24,10.104167,10.312500,9.895833,10.000000,2.040869,270000
1982-03-25,10.000000,10.052083,9.895833,10.000000,2.040869,157440
1982-03-26,9.843750,10.000000,9.687500,9.791667,1.998351,435120
1982-03-29,9.635417,9.687500,9.583333,9.687500,1.989793,49200
1982-03-30,9.791667,9.895833,9.635417,9.791667,2.011189,134160
1982-03-31,9.895833,9.947917,9.791667,9.843750,2.021886,150000
1982-04-01,9.791667,9.947917,9.583333,9.791667,2.011189,690000
1982-04-02,10.104167,10.416667,9.791667,10.416667,2.139560,615840
1982-04-05,10.468750,10.572917,10.312500,10.312500,2.118167,354000
1982-04-06,10.364583,10.468750,10.208333,10.364583,2.128863,213600
