Date,Open,High,Low,Close,Adj Close,Volume
1995-12-15,4.020650,4.020650,3.689050,3.730500,2.622531,8791918
1995-12-18,3.813400,3.813400,3.585425,3.647600,2.564253,7816043
1995-12-19,3.647600,3.689050,3.564700,3.689050,2.593392,8774427
1995-12-20,3.689050,3.730500,3.626875,3.626875,2.549683,6898673
1995-12-21,3.668325,3.771950,3.523250,3.730500,2.622531,16778046
1995-12-22,3.730500,3.854850,3.730500,3.813400,2.680810,7408323
1995-12-26,3.834125,3.979200,3.834125,3.958475,2.782797,4896261
1995-12-27,3.958475,3.958475,3.896300,3.896300,2.739087,3909530
1995-12-28,3.896300,3.958475,3.854850,3.937750,2.768229,7847407
1995-12-29,3.917025,3.979200,3.896300,3.979200,2.797367,1720145
1996-01-02,3.937750,4.020650,3.917025,3.999925,2.811935,2626055
1996-01-03,3.979200,4.062100,3.917025,3.917025,2.753658,8343185
1996-01-04,3.917025,3.958475,3.854850,3.875575,2.724518,6117612
1996-01-05,3.854850,3.854850,3.771950,3.813400,2.680810,5831725
1996-01-08,3.813400,3.875575,3.813400,3.834125,2.695380,1671291
1996-01-09,3.854850,3.937750,3.854850,3.888528,2.733624,26002413
1996-01-10,3.834125,3.875575,3.771950,3.813400,2.680810,9727382
1996-01-11,3.813400,3.834125,3.689050,3.751225,2.637102,11088058
1996-01-12,3.751225,3.813400,3.730500,3.813400,2.680810,4414958
1996-01-15,3.792675,3.834125,3.730500,3.834125,2.695380,3862485
1996-01-16,3.834125,3.854850,3.792675,3.854850,2.709949,5360676
1996-01-17,3.834125,3.896300,3.813400,3.875575,2.724518,4931242
1996-01-18,3.854850,3.896300,3.834125,3.834125,2.695380,3949337
1996-01-19,3.771950,3.813400,3.730500,3.730500,2.622531,2862485
1996-01-22,3.751225,3.896300,3.730500,3.896300,2.739087,5034982
1996-01-23,3.896300,4.103550,3.896300,4.082825,2.870215,5908323
1996-01-24,4.124275,4.290075,4.124275,4.269350,3.001343,6697829
1996-01-25,4.227900,4.248625,4.124275,4.124275,2.899355,4896261
1996-01-26,4.103550,4.165725,4.062100,4.165725,2.928493,2434258
1996-01-29,4.165725,4.290075,4.165725,4.290075,3.015912,2364897
1996-01-30,4.248625,4.310800,4.227900,4.310800,3.030482,3633293
1996-01-31,4.269350,4.331525,4.269350,4.310800,3.030482,3998191
1996-02-01,4.290075,4.393700,4.290075,4.372975,3.074189,2623643
1996-02-02,4.372975,4.393700,4.227900,4.290075,3.015912,2685766
1996-02-05,4.269350,4.352250,4.269350,4.290075,3.015912,2491556
1996-02-06,4.269350,4.290075,4.145000,4.186450,2.943063,3089264
1996-02-07,4.186450,4.227900,4.165725,4.207175,2.957633,4788299
1996-02-08,4.227900,4.269350,4.186450,4.269350,3.001343,3190591
1996-02-09,4.290075,4.372975,4.269350,4.331525,3.045050,2262364
1996-02-12,4.310800,4.372975,4.248625,4.352250,3.059619,1882388
1996-02-13,4.269350,4.393700,4.269350,4.352250,3.059619,1096502
1996-02-14,4.352250,4.393700,4.290075,4.290075,3.015912,1649578
1996-02-15,4.269350,4.310800,4.186450,4.186450,2.943063,3411339
1996-02-16,4.145000,4.227900,4.082825,4.207175,2.957633,4370326
1996-02-20,4.145000,4.290075,4.145000,4.269350,3.001343,1724970
1996-02-21,4.186450,4.476600,4.186450,4.435150,3.136168,1904704
1996-02-22,4.476600,4.600950,4.414425,4.414425,3.121511,3142340
1996-02-23,4.372975,4.435150,4.372975,4.393700,3.106858,1761158
1996-02-26,4.393700,4.414425,4.331525,4.393700,3.106858,2301568
1996-02-27,4.393700,4.435150,4.372975,4.393700,3.106858,4607358
1996-02-28,4.393700,4.455875,4.393700,4.393700,3.106858,1781665
1996-02-29,4.372975,4.393700,4.352250,4.352250,3.077548,1224970
1996-03-01,4.393700,4.393700,4.248625,4.393700,3.106858,1351025
1996-03-04,4.414425,4.414425,4.352250,4.414425,3.121511,1699638
1996-03-05,4.393700,4.435150,4.352250,4.414425,3.121511,753920
1996-03-06,4.414425,4.435150,4.290075,4.310800,3.048239,829916
