Date,Open,High,Low,Close,Adj Close,Volume
1994-02-17,25.500000,25.875000,24.500000,24.625000,16.742273,4478600
1994-02-18,24.750000,25.000000,24.250000,24.625000,16.742273,777900
1994-02-22,24.250000,24.500000,24.000000,24.375000,16.572302,361900
1994-02-23,24.375000,24.500000,23.250000,23.250000,15.807432,284500
1994-02-24,23.125000,23.250000,22.750000,23.000000,15.637464,494600
1994-02-25,23.000000,23.875000,23.000000,23.750000,16.147381,102000
1994-02-28,23.875000,24.000000,23.750000,23.875000,16.232365,115200
1994-03-01,23.750000,24.000000,23.125000,23.250000,15.807432,246600
1994-03-02,22.750000,22.875000,22.625000,22.750000,15.467484,355900
1994-03-03,22.750000,23.000000,22.750000,22.875000,15.552472,51500
1994-03-04,23.000000,23.375000,22.750000,23.125000,15.722440,145500
1994-03-07,23.125000,23.250000,23.000000,23.000000,15.637464,102200
1994-03-08,23.000000,23.125000,22.875000,23.000000,15.637464,34700
1994-03-09,23.125000,23.125000,22.875000,22.875000,15.552472,101100
1994-03-10,22.875000,23.000000,22.125000,22.250000,15.127543,220400
1994-03-11,22.125000,22.375000,22.000000,22.375000,15.212529,42100
1994-03-14,22.250000,22.500000,22.125000,22.250000,15.127543,11900
1994-03-15,22.750000,23.000000,22.500000,22.750000,15.467484,128500
1994-03-16,22.750000,22.875000,22.500000,22.750000,15.467484,93800
1994-03-17,22.875000,22.875000,22.500000,22.625000,15.382507,43700
1994-03-18,22.500000,22.875000,22.500000,22.875000,15.552472,125000
1994-03-21,22.750000,23.125000,22.750000,23.125000,15.722440,81100
1994-03-22,23.000000,23.625000,23.000000,23.500000,15.977402,91800
1994-03-23,24.250000,24.875000,24.250000,24.250000,16.487316,332700
1994-03-24,24.375000,24.375000,24.000000,24.000000,16.317350,113300
1994-03-25,24.000000,24.250000,24.000000,24.000000,16.317350,54700
1994-03-28,24.250000,24.250000,23.750000,24.000000,16.317350,67900
1994-03-29,23.875000,24.000000,22.500000,22.500000,15.297514,174400
1994-03-30,22.250000,22.250000,22.000000,22.125000,15.042560,198000
1994-03-31,22.250000,22.375000,21.500000,22.000000,14.957567,201000
1994-04-04,21.625000,21.625000,21.000000,21.500000,14.617627,206600
1994-04-05,21.500000,22.750000,21.500000,22.750000,15.467484,40500
1994-04-06,22.750000,22.875000,22.500000,22.875000,15.552472,31700
1994-04-07,22.875000,22.875000,22.625000,22.875000,15.552472,14500
