Date,Open,High,Low,Close,Adj Close,Volume
1997-06-13,4.812500,4.937500,4.500000,4.500000,3.890341,16082400
1997-06-16,4.562500,4.593750,4.500000,4.500000,3.890341,1424000
1997-06-17,4.500000,4.531250,4.406250,4.531250,3.917356,1881600
1997-06-18,4.500000,4.531250,4.406250,4.500000,3.890341,636800
1997-06-19,4.437500,4.437500,4.312500,4.343750,3.755258,927600
1997-06-20,4.406250,4.531250,4.375000,4.531250,3.917356,598000
1997-06-23,4.500000,4.500000,4.406250,4.406250,3.809293,293600
1997-06-24,4.437500,4.437500,4.343750,4.343750,3.755258,184000
1997-06-25,4.375000,4.468750,4.343750,4.437500,3.836307,531200
1997-06-26,4.437500,4.468750,4.375000,4.406250,3.809293,118400
1997-06-27,4.406250,4.468750,4.375000,4.468750,3.863324,388400
1997-06-30,4.406250,4.500000,4.250000,4.468750,3.863324,455600
1997-07-01,4.468750,4.640625,4.468750,4.593750,3.971390,117600
1997-07-02,4.656250,4.812500,4.656250,4.812500,4.160502,576800
1997-07-03,4.781250,4.781250,4.750000,4.781250,4.133489,500000
1997-07-07,4.781250,4.812500,4.765625,4.781250,4.133489,174400
1997-07-08,4.875000,4.937500,4.875000,4.906250,4.241551,392000
1997-07-09,4.968750,5.156250,4.968750,5.156250,4.457681,470000
1997-07-10,5.187500,5.812500,5.187500,5.500000,4.754860,925600
1997-07-11,5.500000,5.500000,5.375000,5.375000,4.646797,140800
1997-07-14,5.437500,5.500000,5.406250,5.500000,4.754860,589600
1997-07-15,5.500000,5.625000,5.500000,5.593750,4.835909,124400
1997-07-16,5.640625,5.656250,5.562500,5.625000,4.862925,773600
1997-07-17,5.656250,5.937500,5.625000,5.875000,5.079055,556800
1997-07-18,5.812500,5.812500,5.718750,5.781250,4.998007,180400
1997-07-21,5.781250,5.812500,5.750000,5.781250,4.998007,132800
1997-07-22,5.765625,5.765625,5.703125,5.734375,4.957481,262400
1997-07-23,5.718750,6.125000,5.703125,6.000000,5.187122,252000
1997-07-24,6.062500,6.093750,6.015625,6.015625,5.200628,96000
1997-07-25,6.015625,6.046875,5.937500,6.046875,5.227648,49600
1997-07-28,6.062500,6.062500,5.937500,5.937500,5.133089,14400
1997-07-29,5.906250,5.906250,5.843750,5.843750,5.052039,8400
1997-07-30,5.812500,5.828125,5.734375,5.734375,4.957481,27200
1997-07-31,5.718750,5.781250,5.656250,5.781250,4.998007,432400
1997-08-01,5.812500,5.812500,5.687500,5.781250,4.998007,160000
1997-08-04,5.750000,5.843750,5.750000,5.843750,5.052039,78800
1997-08-05,5.859375,5.906250,5.843750,5.906250,5.106072,22000
1997-08-06,5.937500,6.062500,5.937500,6.062500,5.241153,277600
1997-08-07,6.000000,6.000000,5.859375,5.937500,5.133089,281600
1997-08-08,5.906250,5.906250,5.687500,5.812500,5.025023,116800
1997-08-11,5.796875,5.812500,5.781250,5.781250,4.998007,12400
1997-08-12,5.812500,5.812500,5.750000,5.750000,4.970991,29200
1997-08-13,5.750000,5.750000,5.656250,5.656250,4.889944,15600
1997-08-14,5.640625,5.640625,5.593750,5.593750,4.835909,87200
1997-08-15,5.578125,5.578125,5.375000,5.375000,4.646797,59600
1997-08-18,5.437500,5.500000,5.062500,5.250000,4.538732,210000
1997-08-19,5.218750,5.218750,5.156250,5.187500,4.484697,136400
1997-08-20,5.187500,5.218750,5.187500,5.187500,4.484697,32800
1997-08-21,5.187500,5.375000,5.171875,5.375000,4.646797,152000
1997-08-22,5.375000,5.531250,5.375000,5.468750,4.727844,339600
1997-08-25,5.500000,5.593750,5.500000,5.593750,4.835909,46000
1997-08-26,5.562500,5.750000,5.562500,5.734375,4.957481,70800
1997-08-27,5.750000,5.781250,5.718750,5.781250,4.998007,47200
1997-08-28,5.750000,5.750000,5.687500,5.734375,4.957481,20000
1997-08-29,5.750000,5.750000,5.718750,5.718750,4.943974,17600
1997-09-02,5.750000,5.750000,5.750000,5.750000,4.970991,2800
1997-09-03,5.718750,5.875000,5.718750,5.875000,5.079055,32800
1997-09-04,5.843750,5.890625,5.843750,5.890625,5.092563,11200
1997-09-05,5.921875,5.937500,5.890625,5.921875,5.119580,16800
1997-09-08,6.000000,6.375000,6.000000,6.312500,5.457285,133600
