Date,Open,High,Low,Close,Adj Close,Volume
2004-11-19,9.060000,9.930000,8.500000,9.840000,8.695046,3906200
2004-11-22,9.900000,11.000000,9.510000,9.620000,8.500643,728000
2004-11-23,9.500000,9.750000,8.760000,9.380000,8.288570,505800
2004-11-24,9.500000,10.000000,9.500000,9.780000,8.642028,319500
2004-11-26,9.300000,9.950000,9.250000,9.800000,8.659704,65600
2004-11-29,10.000000,10.100000,9.460000,9.800000,8.659704,130700
2004-11-30,9.800000,9.990000,9.310000,9.880000,8.730394,194900
2004-12-01,9.500000,10.220000,9.500000,9.990000,8.827592,209800
2004-12-02,10.030000,11.000000,9.970000,10.850000,9.587523,337400
2004-12-03,10.990000,11.350000,10.580000,11.140000,9.843781,288100
2004-12-06,11.390000,11.680000,11.000000,11.130000,9.834945,192600
2004-12-07,11.380000,11.380000,10.640000,10.910000,9.640544,195900
2004-12-08,10.960000,11.200000,10.510000,10.900000,9.631708,78500
2004-12-09,10.800000,10.960000,10.530000,10.810000,9.552177,40900
2004-12-10,10.710000,10.710000,10.150000,10.410000,9.198723,86100
2004-12-13,10.100000,10.970000,9.880000,10.330000,9.128033,77500
2004-12-14,10.850000,10.850000,10.100000,10.230000,9.039667,29800
2004-12-15,10.000000,10.450000,9.900000,10.050000,8.880614,191400
2004-12-16,9.850000,10.180000,9.850000,10.010000,8.845268,108800
2004-12-17,9.900000,10.150000,9.320000,9.500000,8.394608,418100
2004-12-20,9.900000,9.900000,9.040000,9.300000,8.217877,173700
2004-12-21,9.000000,9.760000,9.000000,9.470000,8.368099,81400
2004-12-22,9.370000,9.690000,9.000000,9.610000,8.491809,50000
2004-12-23,9.600000,9.900000,9.590000,9.770000,8.633190,29900
2004-12-27,9.720000,9.790000,9.460000,9.720000,8.589009,72000
2004-12-28,9.630000,9.730000,9.220000,9.500000,8.394608,58200
2004-12-29,9.400000,9.650000,9.400000,9.500000,8.394608,80100
2004-12-30,9.330000,9.610000,9.300000,9.390000,8.297406,33300
2004-12-31,9.390000,9.550000,9.250000,9.300000,8.217877,53000
2005-01-03,9.310000,9.450000,8.800000,8.870000,7.837912,91300
2005-01-04,8.730000,9.050000,8.590000,8.650000,7.643511,105900
2005-01-05,8.620000,8.640000,8.100000,8.300000,7.334236,76500
2005-01-06,8.250000,8.690000,8.150000,8.240000,7.281217,29700
2005-01-07,8.150000,8.580000,8.100000,8.250000,7.290054,17500
2005-01-10,8.160000,8.160000,7.600000,7.800000,6.892413,75600
2005-01-11,7.640000,7.960000,7.150000,7.220000,6.379902,52400
2005-01-12,7.300000,7.300000,6.400000,6.600000,5.832043,113000
2005-01-13,6.770000,6.770000,6.120000,6.230000,5.505095,346100
2005-01-14,6.100000,6.420000,6.060000,6.280000,5.549279,109600
2005-01-18,6.430000,6.430000,6.210000,6.290000,5.558114,102100
2005-01-19,6.420000,6.430000,6.250000,6.340000,5.602295,61000
2005-01-20,6.190000,6.890000,6.190000,6.850000,6.052954,112300
2005-01-21,6.990000,7.790000,6.820000,7.660000,6.768705,197500
2005-01-24,7.490000,8.060000,7.490000,7.920000,6.998451,126400
2005-01-25,8.050000,8.270000,7.500000,7.840000,6.927761,124700
2005-01-26,7.850000,8.000000,7.300000,7.770000,6.865905,42200
2005-01-27,7.580000,8.040000,7.340000,7.660000,6.768705,42200
2005-01-28,7.240000,8.370000,7.240000,7.620000,6.733360,68000
2005-01-31,7.700000,7.750000,7.250000,7.380000,6.521286,69000
