Date,Open,High,Low,Close,Adj Close,Volume
2012-02-02,11.750000,11.900000,11.500000,11.750000,11.717257,4574600
2012-02-03,12.000000,12.000000,11.610000,12.000000,11.966561,742300
2012-02-06,11.970000,11.980000,11.650000,11.940000,11.906728,251300
2012-02-07,11.940000,12.040000,11.880000,12.000000,11.966561,209200
2012-02-08,12.000000,12.000000,11.850000,11.910000,11.876812,144700
2012-02-09,11.940000,12.000000,11.800000,11.860000,11.826952,102900
2012-02-10,11.750000,11.890000,11.690000,11.750000,11.717257,92500
2012-02-13,11.770000,11.900000,11.750000,11.840000,11.807007,126200
2012-02-14,11.850000,11.880000,11.700000,11.750000,11.717257,147600
2012-02-15,11.900000,11.900000,11.700000,11.730000,11.697314,123200
2012-02-16,11.950000,11.950000,11.700000,11.750000,11.717257,137400
2012-02-17,11.700000,11.860000,11.650000,11.700000,11.667397,420800
2012-02-21,11.790000,11.920000,11.720000,11.820000,11.787063,248600
2012-02-22,11.860000,11.950000,11.850000,11.920000,11.886785,382200
2012-02-23,11.950000,12.130000,11.930000,12.070000,12.036366,502400
2012-02-24,12.130000,12.130000,11.930000,12.000000,11.966561,236700
2012-02-27,12.000000,12.100000,11.930000,12.000000,11.966561,174500
2012-02-28,11.980000,12.020000,11.900000,11.920000,11.886785,108000
2012-02-29,11.940000,12.330000,11.860000,11.860000,11.826952,148100
2012-03-01,11.930000,12.060000,11.850000,11.960000,11.926673,132000
2012-03-02,11.960000,11.960000,11.600000,11.740000,11.707286,166300
2012-03-05,11.530000,11.660000,11.450000,11.500000,11.467955,149000
2012-03-06,11.250000,11.390000,11.000000,11.100000,11.069069,225600
2012-03-07,11.100000,11.140000,10.850000,11.140000,11.108958,373900
2012-03-08,10.990000,11.370000,10.990000,11.140000,11.108958,198900
2012-03-09,11.160000,11.610000,11.100000,11.530000,11.497870,242500
2012-03-12,11.640000,11.710000,11.430000,11.490000,11.457982,186100
2012-03-13,11.640000,11.640000,11.360000,11.570000,11.537759,385900
2012-03-14,11.590000,11.970000,11.570000,11.730000,11.697314,357100
2012-03-15,11.790000,11.980000,11.730000,11.900000,11.866839,273200
2012-03-16,11.920000,11.970000,11.750000,11.830000,11.797034,214200
2012-03-19,11.870000,12.050000,11.850000,11.920000,11.886785,128600
2012-03-20,11.840000,11.910000,11.730000,11.840000,11.807007,139000
2012-03-21,11.910000,11.920000,11.560000,11.610000,11.577647,264300
2012-03-22,11.610000,11.640000,11.000000,11.300000,11.268513,590700
2012-03-23,11.300000,11.510000,11.100000,11.280000,11.248568,144800
2012-03-26,11.300000,11.300000,11.050000,11.250000,11.218651,123800
2012-03-27,11.270000,11.390000,11.060000,11.230000,11.198707,73900
2012-03-28,11.230000,11.300000,11.050000,11.140000,11.108958,111600
2012-03-29,11.080000,11.110000,10.870000,10.990000,10.959375,200900
2012-03-30,11.050000,11.150000,10.880000,10.950000,10.919487,1033200
2012-04-02,10.900000,11.520000,10.610000,11.330000,11.298429,293200
2012-04-03,11.300000,11.740000,11.280000,11.510000,11.477927,191200
2012-04-04,11.330000,11.670000,11.180000,11.470000,11.438039,237700
2012-04-05,11.440000,11.450000,11.300000,11.390000,11.358261,108200
2012-04-09,11.250000,11.300000,11.040000,11.140000,11.108958,100000
2012-04-10,11.100000,11.280000,11.000000,11.100000,11.069069,113300
2012-04-11,11.210000,11.290000,10.960000,11.020000,10.989293,105600
2012-04-12,11.050000,11.130000,10.900000,11.020000,10.989293,366700
2012-04-13,11.050000,11.050000,10.740000,10.750000,10.720045,127000
2012-04-16,10.780000,11.000000,10.470000,10.490000,10.460770,108200
2012-04-17,10.590000,10.600000,10.320000,10.380000,10.351075,334300
2012-04-18,10.260000,10.720000,10.060000,10.620000,10.590407,702500
2012-04-19,10.680000,11.100000,10.610000,10.920000,10.889571,88600
