Date,Open,High,Low,Close,Adj Close,Volume
1997-01-29,5.187500,5.750000,5.187500,5.500000,3.766003,9702000
1997-01-30,5.531250,5.750000,5.531250,5.656250,3.872993,1916000
1997-01-31,5.593750,5.625000,5.375000,5.437500,3.723206,554400
1997-02-03,5.437500,5.500000,5.437500,5.468750,3.744606,298000
1997-02-04,5.562500,5.562500,5.406250,5.437500,3.723206,162000
1997-02-05,5.468750,5.531250,5.406250,5.468750,3.744606,272400
1997-02-06,5.500000,5.718750,5.500000,5.687500,3.894389,112400
1997-02-07,5.750000,5.937500,5.750000,5.937500,4.065570,208400
1997-02-10,5.937500,5.937500,5.593750,5.625000,3.851594,361600
1997-02-11,5.562500,5.687500,5.500000,5.625000,3.851594,176000
1997-02-12,5.625000,5.687500,5.562500,5.656250,3.872993,45600
1997-02-13,5.656250,5.718750,5.656250,5.687500,3.894389,172000
1997-02-14,5.718750,5.843750,5.718750,5.750000,3.937184,213600
1997-02-18,5.750000,5.781250,5.718750,5.718750,3.915787,191200
1997-02-19,5.750000,5.781250,5.750000,5.750000,3.937184,28800
1997-02-20,5.750000,5.812500,5.750000,5.750000,3.937184,132800
1997-02-21,5.750000,5.781250,5.718750,5.750000,3.937184,95600
1997-02-24,5.937500,6.156250,5.937500,6.093750,4.172559,281200
1997-02-25,6.062500,6.375000,6.031250,6.375000,4.365140,251600
1997-02-26,6.437500,6.625000,6.250000,6.250000,4.279549,366800
1997-02-27,6.250000,6.281250,6.125000,6.125000,4.193959,70400
1997-02-28,6.125000,6.125000,5.968750,5.968750,4.086966,96000
1997-03-03,5.968750,5.968750,5.781250,5.781250,3.958581,15200
1997-03-04,5.750000,5.750000,5.500000,5.500000,3.766003,170800
1997-03-05,5.468750,5.500000,5.437500,5.500000,3.766003,100400
1997-03-06,5.500000,5.500000,5.375000,5.375000,3.680412,156000
1997-03-07,5.437500,5.468750,5.375000,5.406250,3.701809,54400
1997-03-10,5.437500,5.531250,5.375000,5.375000,3.680412,252800
1997-03-11,5.312500,5.312500,5.125000,5.125000,3.509230,59600
1997-03-12,5.093750,5.093750,4.937500,5.000000,3.423639,227600
1997-03-13,4.968750,4.968750,4.906250,4.906250,3.359445,278400
1997-03-14,5.000000,5.125000,5.000000,5.125000,3.509230,289600
1997-03-17,5.156250,5.187500,5.156250,5.187500,3.552025,7600
1997-03-18,5.218750,5.375000,5.187500,5.312500,3.637617,39600
1997-03-19,5.343750,5.343750,5.062500,5.062500,3.466434,296800
1997-03-20,5.093750,5.093750,5.062500,5.062500,3.466434,108800
1997-03-21,5.093750,5.093750,5.000000,5.000000,3.423639,72400
1997-03-24,4.937500,4.937500,4.593750,4.593750,3.145468,145600
1997-03-25,4.531250,4.531250,4.125000,4.250000,2.910094,482800
1997-03-26,4.312500,4.406250,4.218750,4.218750,2.888696,282800
1997-03-27,4.250000,4.250000,4.156250,4.218750,2.888696,61200
1997-03-31,4.250000,4.250000,4.156250,4.156250,2.845900,143200
1997-04-01,4.156250,4.156250,4.062500,4.093750,2.803105,19200
1997-04-02,4.062500,4.062500,3.937500,3.937500,2.696117,19200
1997-04-03,3.843750,3.843750,3.718750,3.718750,2.546331,37200
1997-04-04,3.687500,3.875000,3.437500,3.875000,2.653320,764000
1997-04-07,3.937500,4.343750,3.937500,4.343750,2.974287,92000
1997-04-08,4.375000,4.531250,4.375000,4.531250,3.102673,56000
1997-04-09,4.875000,4.968750,4.875000,4.968750,3.402242,132000
1997-04-10,4.906250,4.937500,4.812500,4.812500,3.295254,220000
1997-04-11,4.750000,4.812500,4.687500,4.750000,3.252457,56000
1997-04-14,4.718750,4.718750,4.656250,4.656250,3.188263,9200
1997-04-15,4.687500,4.687500,4.531250,4.531250,3.102673,15200
1997-04-16,4.500000,4.500000,4.500000,4.500000,3.081276,2000
1997-04-17,4.250000,4.250000,4.187500,4.187500,2.867297,620400
1997-04-18,4.250000,4.437500,4.250000,4.437500,3.038480,41200
1997-04-21,4.437500,4.437500,4.312500,4.312500,2.952889,49200
1997-04-22,4.375000,4.375000,4.093750,4.218750,2.888696,106800
1997-04-23,4.187500,4.250000,4.062500,4.250000,2.910094,227200
1997-04-24,4.281250,4.375000,4.281250,4.375000,2.995683,363600
1997-04-25,4.375000,4.437500,4.343750,4.406250,3.017082,67600
1997-04-28,4.437500,4.625000,4.375000,4.625000,3.166867,72800
1997-04-29,4.718750,4.718750,4.687500,4.718750,3.231060,126400
1997-04-30,4.687500,4.718750,4.625000,4.656250,3.188263,24800
1997-05-01,4.656250,4.687500,4.656250,4.687500,3.209662,58400
1997-05-02,4.625000,4.625000,4.562500,4.593750,3.145468,10400
1997-05-05,4.656250,4.718750,4.625000,4.625000,3.166867,195600
1997-05-06,4.656250,4.687500,4.656250,4.687500,3.209662,97600
1997-05-07,4.656250,4.750000,4.625000,4.750000,3.252457,38800
1997-05-08,4.750000,4.750000,4.750000,4.750000,3.252457,0
1997-05-09,4.687500,4.718750,4.625000,4.656250,3.188263,27600
1997-05-12,4.718750,4.718750,4.625000,4.656250,3.188263,168800
1997-05-13,4.687500,4.687500,4.593750,4.625000,3.166867,76800
1997-05-14,4.687500,4.687500,4.625000,4.625000,3.166867,6000
1997-05-15,4.656250,4.718750,4.562500,4.593750,3.145468,88000
1997-05-16,4.593750,4.625000,4.593750,4.625000,3.166867,19200
1997-05-19,4.625000,4.625000,4.468750,4.500000,3.081276,14000
1997-05-20,4.468750,4.531250,4.468750,4.531250,3.102673,27600
1997-05-21,4.437500,4.593750,4.437500,4.593750,3.145468,16400
1997-05-22,4.500000,4.656250,4.500000,4.656250,3.188263,462800
1997-05-23,4.656250,4.656250,4.625000,4.656250,3.188263,300000
1997-05-27,4.625000,4.625000,4.437500,4.562500,3.124070,113200
1997-05-28,4.562500,4.593750,4.562500,4.593750,3.145468,246800
1997-05-29,4.593750,4.937500,4.593750,4.937500,3.380842,863200
1997-05-30,4.875000,4.968750,4.812500,4.968750,3.402242,40000
1997-06-02,4.968750,5.062500,4.968750,5.031250,3.445037,47200
1997-06-03,5.000000,5.250000,5.000000,5.218750,3.573424,175200
1997-06-04,5.250000,5.281250,5.218750,5.281250,3.616218,44800
1997-06-05,5.250000,5.468750,5.250000,5.468750,3.744606,76400
1997-06-06,5.500000,5.718750,5.500000,5.687500,3.894389,50800
1997-06-09,5.656250,5.656250,5.500000,5.531250,3.787402,74800
1997-06-10,5.531250,5.531250,5.343750,5.343750,3.659015,11200
