Date,Open,High,Low,Close,Adj Close,Volume
2017-09-13,24.700001,24.820000,24.629999,24.790001,20.045319,5426564
2017-09-14,24.850000,25.000000,24.750000,24.820000,20.069576,1062721
2017-09-15,24.900000,25.000000,24.799999,24.900000,20.134268,281514
2017-09-18,25.000000,25.000000,24.750000,24.879999,20.118092,298143
2017-09-19,24.910000,25.000000,24.870001,24.950001,20.174696,491046
2017-09-20,24.969999,25.040001,24.900000,24.969999,20.190866,143743
2017-09-21,24.969999,25.250000,24.900000,25.250000,20.417278,129552
2017-09-22,25.049999,25.150000,25.000000,25.120001,20.312157,217138
2017-09-25,25.100000,25.139999,25.049999,25.120001,20.312157,934220
2017-09-26,25.090000,25.110001,25.059999,25.100000,20.295986,352639
2017-09-27,25.070000,25.100000,25.010000,25.090000,20.287899,282914
2017-09-28,25.090000,25.170000,25.020000,25.129999,20.320244,119443
2017-09-29,25.170000,25.309999,25.120001,25.260000,20.425360,196022
2017-10-02,25.240000,25.240000,25.100000,25.180000,20.360674,122376
2017-10-03,25.160000,25.200001,25.110001,25.200001,20.376844,69347
2017-10-04,25.200001,25.450001,25.129999,25.350000,20.498138,129589
2017-10-05,25.340000,25.440001,25.280001,25.389999,20.530483,89860
2017-10-06,25.320000,25.340000,25.120001,25.260000,20.425360,108567
2017-10-09,25.320000,25.320000,25.100000,25.219999,20.393021,95286
2017-10-10,25.219999,25.299999,25.160000,25.270000,20.433451,193496
2017-10-11,25.260000,25.370001,25.230000,25.370001,20.514309,86059
2017-10-12,25.270000,25.400000,25.209999,25.270000,20.433451,330464
2017-10-13,25.250000,25.290001,25.190001,25.219999,20.393021,120438
2017-10-16,25.209999,25.240000,25.129999,25.180000,20.360674,172263
2017-10-17,25.170000,25.250000,25.139999,25.209999,20.384930,118350
2017-10-18,25.219999,25.290001,25.170000,25.250000,20.417278,274129
2017-10-19,25.253401,25.286400,25.129999,25.129999,20.320244,214591
2017-10-20,25.120001,25.200001,24.950001,25.100000,20.295986,975177
2017-10-23,25.100000,25.100000,25.020000,25.049999,20.255552,67606
2017-10-24,25.010000,25.059999,24.959999,24.959999,20.182781,152867
2017-10-25,24.930000,24.930000,24.700001,24.750000,20.012976,173706
2017-10-26,24.830000,24.920000,24.760000,24.850000,20.093834,130175
2017-10-27,24.910000,24.990000,24.855301,24.959999,20.182781,25496
2017-10-30,24.990000,25.040001,24.940001,25.040001,20.247471,54453
2017-10-31,25.070000,25.150000,25.000000,25.150000,20.336418,124700
2017-11-01,25.150000,25.180000,25.074699,25.180000,20.360674,22881
2017-11-02,25.190001,25.219999,25.020000,25.030001,20.239382,92591
2017-11-03,25.100000,25.100000,24.950001,25.030001,20.239382,37499
2017-11-06,25.080000,25.080000,24.930000,24.980000,20.198948,52349
2017-11-07,25.000000,25.020000,24.974300,24.990000,20.207039,50070
2017-11-08,25.000000,25.129999,24.959900,25.000000,20.215122,51975
2017-11-09,25.100000,25.150000,25.010000,25.139999,20.328327,34490
2017-11-10,25.120001,25.222799,25.080400,25.200001,20.376844,59828
2017-11-13,25.250000,25.250000,25.059999,25.059999,20.263645,27547
2017-11-14,25.070000,25.120001,24.980000,25.049999,20.255552,96066
2017-11-15,25.120001,25.129999,25.030001,25.030001,20.239382,30722
2017-11-16,25.110001,25.110001,25.040001,25.110001,20.304071,38327
2017-11-17,25.139999,25.139999,25.070000,25.139999,20.328327,130419
2017-11-20,25.150000,25.200001,25.110001,25.190001,20.368763,65807
2017-11-21,25.200001,25.309999,25.160000,25.230000,20.401104,26274
2017-11-22,25.299999,25.450001,25.270000,25.400000,20.538565,24642
2017-11-24,25.450001,25.450001,25.271500,25.399900,20.538486,4789
2017-11-27,25.490000,25.490000,25.280001,25.400000,20.538565,29263
2017-11-28,25.400000,25.400101,25.240000,25.400000,20.538565,21168
2017-11-29,25.389999,25.450001,25.320000,25.420000,20.554737,24118
2017-11-30,25.500000,25.500000,25.170200,25.200001,20.376844,92906
2017-12-01,25.240000,25.282900,25.150000,25.219999,20.393021,40108
2017-12-04,25.250000,25.290001,25.206800,25.240000,20.409191,77897
2017-12-05,25.280001,25.290001,25.219999,25.280001,20.441536,25759
2017-12-06,25.290001,25.340000,25.261000,25.340000,20.490051,24375
2017-12-07,25.360001,25.420000,25.290001,25.420000,20.554737,38430
2017-12-08,25.420000,25.449900,25.351999,25.379999,20.522392,25567
2017-12-11,25.420000,25.450001,25.379999,25.450001,20.578997,14171
2017-12-12,25.129999,25.150000,25.045500,25.139999,20.623774,30524
2017-12-13,25.139999,25.150000,24.870001,24.889999,20.418684,66076
2017-12-14,24.990000,25.080000,24.860001,25.020000,20.525331,35481
2017-12-15,25.080000,25.080000,25.027599,25.059999,20.558147,26191
2017-12-18,25.090000,25.090000,25.042700,25.059999,20.558147,21624
2017-12-19,25.090000,25.090000,25.010000,25.070000,20.566347,38683
2017-12-20,25.090000,25.219999,25.030001,25.030001,20.533535,36281
2017-12-21,25.230000,25.360001,25.059999,25.059999,20.558147,18502
2017-12-22,25.230000,25.309999,25.100000,25.160000,20.640179,14742
2017-12-26,25.260000,25.290001,25.080000,25.080000,20.574554,14032
2017-12-27,25.160000,25.219999,25.060101,25.200001,20.672993,22587
2017-12-28,25.230000,25.240000,25.100000,25.230000,20.697605,18253
2017-12-29,25.230000,25.330000,25.126699,25.260000,20.722218,38215
2018-01-02,25.320000,25.320000,24.879999,24.940001,20.459703,27287
2018-01-03,25.090000,25.129999,24.830000,25.129999,20.615570,18589
2018-01-04,25.180000,25.320000,25.030001,25.070000,20.566347,17935
2018-01-05,25.080000,25.320000,25.040001,25.090000,20.582756,37237
2018-01-08,25.170000,25.180000,25.004400,25.100000,20.590960,36118
2018-01-09,25.100000,25.340000,25.010000,25.340000,20.787846,36606
2018-01-10,25.290001,25.290001,25.021000,25.200001,20.672993,31846
2018-01-11,25.260000,25.260000,25.030001,25.240000,20.705812,44960
2018-01-12,25.230000,25.230000,25.070000,25.200001,20.672993,29917
2018-01-16,25.200001,25.240000,25.080000,25.090000,20.582756,42837
2018-01-17,25.160000,25.198999,25.068899,25.160000,20.640179,23584
2018-01-18,25.100000,25.100000,24.830099,25.000000,20.508923,39199
2018-01-19,25.000000,25.015499,24.590000,24.959999,20.476110,261668
2018-01-22,24.799999,24.850000,24.520000,24.600000,20.180786,45768
2018-01-23,24.740000,24.740000,24.510000,24.670000,20.238207,31810
2018-01-24,24.559999,24.680000,24.320000,24.386200,20.005394,32881
2018-01-25,24.469999,24.559999,24.070000,24.530001,20.123358,32860
2018-01-26,24.490000,24.490000,24.059999,24.129999,19.795214,23645
2018-01-29,24.170000,24.270000,23.620001,23.900000,19.606531,83212
2018-01-30,24.090000,24.250000,23.511000,23.809999,19.532701,47003
2018-01-31,24.059999,24.417801,23.870001,23.950001,19.647551,34931
2018-02-01,23.799999,23.969999,23.540001,23.549999,19.319408,31612
2018-02-02,23.850000,23.850000,22.850000,23.000000,18.868212,74346
2018-02-05,22.809999,23.494699,22.809999,23.450001,19.237370,85346
2018-02-06,23.469999,23.740000,23.132999,23.650000,19.401442,54844
2018-02-07,23.680000,23.840000,23.586000,23.631500,19.386267,21921
2018-02-08,23.730000,23.730000,23.330000,23.330000,19.138927,37924
2018-02-09,23.510000,23.590000,22.921000,23.580000,19.344017,23802
2018-02-12,23.600000,23.809999,23.010000,23.010000,18.876413,74869
2018-02-13,23.139999,23.180000,23.010000,23.150000,18.991266,30051
2018-02-14,23.219999,23.219999,22.820000,22.820000,18.720549,25933
