Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,8.000000,8.125000,8.000000,8.083333,2.250321,23400
1980-01-03,7.875000,7.875000,7.583333,7.791667,2.169124,131400
1980-01-04,7.791667,7.875000,7.708333,7.833333,2.180724,85500
1980-01-07,7.666667,7.666667,7.666667,7.666667,2.134326,34200
1980-01-08,7.666667,7.666667,7.416667,7.500000,2.087928,797100
1980-01-09,7.750000,7.916667,7.750000,7.833333,2.180724,227700
1980-01-10,7.833333,8.041667,7.791667,8.041667,2.238722,46200
1980-01-11,8.083333,8.416667,8.083333,8.291667,2.308320,207300
1980-01-14,8.333333,8.458333,8.333333,8.458333,2.354718,221700
1980-01-15,8.458333,8.458333,8.375000,8.416667,2.343119,60600
1980-01-16,8.416667,8.416667,8.375000,8.416667,2.343119,40800
1980-01-17,8.416667,8.458333,8.375000,8.416667,2.343119,30900
1980-01-18,8.416667,8.458333,8.375000,8.416667,2.343119,21300
1980-01-21,8.416667,8.583333,8.375000,8.541667,2.377917,96300
1980-01-22,8.541667,8.666667,8.500000,8.541667,2.377917,46200
1980-01-23,8.541667,8.666667,8.416667,8.541667,2.377917,242400
1980-01-24,8.583333,8.791667,8.583333,8.708333,2.424316,61200
1980-01-25,8.708333,8.708333,8.625000,8.708333,2.424316,12900
1980-01-28,8.708333,8.708333,8.625000,8.666667,2.412715,63000
1980-01-29,8.666667,8.750000,8.625000,8.666667,2.412715,258000
1980-01-30,8.666667,8.708333,8.583333,8.583333,2.389515,45600
1980-01-31,8.583333,8.666667,8.583333,8.583333,2.389515,98400
1980-02-01,8.583333,8.666667,8.583333,8.583333,2.389515,32400
1980-02-04,8.666667,8.666667,8.666667,8.666667,2.412715,33000
1980-02-05,8.666667,8.750000,8.666667,8.708333,2.424316,23100
1980-02-06,8.708333,8.750000,8.666667,8.666667,2.412715,44400
1980-02-07,8.708333,8.791667,8.708333,8.708333,2.424316,192300
1980-02-08,8.750000,8.750000,8.750000,8.750000,2.435916,276600
1980-02-11,8.750000,8.791667,8.666667,8.666667,2.412715,121200
1980-02-12,8.583333,8.583333,8.208333,8.291667,2.308320,67500
1980-02-13,8.291667,8.375000,8.250000,8.250000,2.296720,199500
1980-02-14,8.250000,8.416667,8.250000,8.250000,2.296720,100200
1980-02-15,8.125000,8.125000,7.958333,8.000000,2.227121,54900
1980-02-19,8.000000,8.041667,7.916667,8.000000,2.227121,39300
1980-02-20,8.000000,8.083333,7.916667,7.916667,2.203923,38700
1980-02-21,7.916667,7.958333,7.750000,7.750000,2.157524,116100
1980-02-22,7.750000,7.750000,7.583333,7.583333,2.111126,18300
1980-02-25,7.541667,7.541667,7.250000,7.416667,2.064728,24300
1980-02-26,7.416667,7.583333,7.416667,7.583333,2.111126,233100
1980-02-27,7.583333,7.708333,7.500000,7.500000,2.087928,45600
