Date,Open,High,Low,Close,Adj Close,Volume
1998-03-10,3.510417,3.583333,3.458333,3.520833,2.502402,12507000
1998-03-11,3.520833,3.645833,3.520833,3.593750,2.554227,1713600
1998-03-12,3.625000,3.729167,3.583333,3.729167,2.650474,1165800
1998-03-13,3.708333,3.770833,3.604167,3.625000,2.576438,1145400
1998-03-16,3.625000,3.812500,3.572917,3.802083,2.702297,424200
1998-03-17,3.802083,4.000000,3.791667,3.916667,2.783738,751200
1998-03-18,3.916667,4.000000,3.875000,4.000000,2.842967,315000
1998-03-19,4.031250,4.270833,4.031250,4.104167,2.917002,547200
1998-03-20,4.104167,4.145833,4.000000,4.000000,2.842967,286800
1998-03-23,3.958333,4.020833,3.916667,3.989583,2.835562,307800
1998-03-24,3.916667,3.947917,3.854167,3.854167,2.739316,412200
1998-03-25,3.854167,3.916667,3.854167,3.885417,2.761527,647400
1998-03-26,3.916667,4.083333,3.916667,4.083333,2.902194,181800
1998-03-27,4.104167,4.125000,4.000000,4.062500,2.887387,364800
1998-03-30,4.062500,4.083333,3.937500,3.937500,2.798545,202800
1998-03-31,3.927083,4.031250,3.927083,4.010417,2.850370,332400
1998-04-01,4.031250,4.093750,4.000000,4.052083,2.879984,130200
1998-04-02,4.083333,4.083333,4.041667,4.052083,2.879984,138600
1998-04-03,4.052083,4.104167,4.031250,4.104167,2.917002,178200
1998-04-06,4.093750,4.166667,4.020833,4.083333,2.902194,66000
1998-04-07,4.062500,4.062500,3.895833,3.968750,2.820755,267600
1998-04-08,3.989583,4.083333,3.979167,4.083333,2.902194,95400
1998-04-09,4.083333,4.437500,4.083333,4.364583,3.102091,522000
1998-04-13,4.395833,4.541667,4.385417,4.531250,3.220548,69600
1998-04-14,4.552083,4.666667,4.510417,4.666667,3.316795,220200
1998-04-15,4.666667,4.666667,4.531250,4.552083,3.235355,175200
1998-04-16,4.593750,4.625000,4.583333,4.604167,3.272371,130800
1998-04-17,4.604167,4.635417,4.583333,4.593750,3.264969,91200
1998-04-20,4.552083,4.583333,4.333333,4.416667,3.139109,316200
1998-04-21,4.416667,4.427083,4.375000,4.385417,3.116898,232200
1998-04-22,4.364583,4.489583,4.333333,4.458333,3.168723,195600
1998-04-23,4.489583,4.572917,4.489583,4.531250,3.220548,147000
1998-04-24,4.500000,4.604167,4.500000,4.552083,3.235355,396000
1998-04-27,4.593750,4.593750,4.479167,4.531250,3.220548,130800
1998-04-28,4.510417,4.562500,4.458333,4.500000,3.198337,24000
1998-04-29,4.520833,4.531250,4.489583,4.489583,3.190933,82200
1998-04-30,4.489583,4.520833,4.468750,4.489583,3.190933,84000
1998-05-01,4.468750,4.520833,4.468750,4.520833,3.213144,268800
1998-05-04,4.500000,4.510417,4.479167,4.500000,3.198337,72600
1998-05-05,4.500000,4.510417,4.489583,4.500000,3.198337,48000
1998-05-06,4.500000,4.500000,4.479167,4.489583,3.190933,52800
1998-05-07,4.500000,4.500000,4.333333,4.333333,3.079880,62400
1998-05-08,4.333333,4.333333,4.166667,4.166667,2.961423,211800
1998-05-11,4.166667,4.416667,4.156250,4.416667,3.139109,292800
1998-05-12,4.395833,4.447917,4.375000,4.406250,3.131705,66600
1998-05-13,4.416667,4.416667,4.312500,4.333333,3.079880,36600
1998-05-14,4.322917,4.354167,4.291667,4.333333,3.079880,25200
1998-05-15,4.322917,4.354167,4.302083,4.302083,3.057670,25800
1998-05-18,4.291667,4.333333,4.239583,4.333333,3.079880,143400
1998-05-19,4.333333,4.333333,4.291667,4.291667,3.050266,36600
1998-05-20,4.281250,4.291667,4.250000,4.281250,3.042862,39600
1998-05-21,4.291667,4.375000,4.250000,4.354167,3.094687,415800
1998-05-22,4.385417,4.427083,4.354167,4.354167,3.094687,17400
1998-05-26,4.385417,4.395833,4.375000,4.375000,3.109493,99600
