Date,Open,High,Low,Close,Adj Close,Volume
1994-02-17,6.245105,6.245105,5.848960,5.848960,2.049693,4757510
1994-02-18,5.802355,5.802355,5.685842,5.732447,2.008863,3774789
1994-02-22,5.779052,6.035381,5.779052,6.035381,2.115022,1794862
1994-02-23,6.058684,6.198500,6.058684,6.151894,2.155853,1646810
1994-02-24,6.151894,6.151894,6.012079,6.151894,2.155853,1068012
1994-02-25,6.128592,6.151894,6.105289,6.151894,2.155853,406070
1994-02-28,6.198500,6.268407,6.198500,6.198500,2.172185,1512705
1994-03-01,6.221802,6.245105,5.965473,6.198500,2.172185,3150395
1994-03-02,6.058684,6.058684,5.895565,5.965473,2.090524,3826285
1994-03-03,5.965473,6.408223,5.965473,6.315013,2.213016,4849238
1994-03-04,6.245105,6.524736,6.128592,6.315013,2.224838,4437804
1994-03-07,6.315013,6.315013,6.151894,6.151894,2.167370,1893563
1994-03-08,6.151894,6.151894,6.035381,6.058684,2.134531,3716855
1994-03-09,6.105289,6.221802,6.105289,6.198500,2.183789,2747544
1994-03-10,6.175197,6.245105,6.105289,6.175197,2.175580,2282468
1994-03-11,6.151894,6.175197,6.081986,6.128592,2.159159,2184839
1994-03-14,6.128592,6.128592,5.965473,5.988776,2.109902,1758922
1994-03-15,5.965473,6.035381,5.895565,6.035381,2.126321,2941728
1994-03-16,5.825658,6.105289,5.802355,5.942171,2.093482,3139131
1994-03-17,5.965473,5.965473,5.848960,5.895565,2.077062,1449407
1994-03-18,5.895565,5.895565,5.825658,5.848960,2.060642,1084105
1994-03-21,5.802355,5.872263,5.732447,5.825658,2.052434,1678995
1994-03-22,5.802355,5.872263,5.685842,5.779052,2.036014,1490712
1994-03-23,5.755750,5.848960,5.755750,5.802355,2.044223,3307567
1994-03-24,5.779052,5.802355,5.685842,5.732447,2.019594,3066178
1994-03-25,5.709144,5.732447,5.615934,5.615934,1.978546,2418718
1994-03-28,5.639236,5.662539,5.406210,5.476118,1.929287,1859232
1994-03-29,5.499421,5.499421,5.173184,5.196486,1.830771,3182044
1994-03-30,5.196486,5.313000,5.173184,5.243092,1.847190,3118210
1994-03-31,5.289697,5.313000,5.126579,5.219789,1.838981,2733061
1994-04-04,5.126579,5.149881,5.010065,5.149881,1.814351,1802908
1994-04-05,5.243092,5.243092,5.149881,5.243092,1.847190,1961688
1994-04-06,5.243092,5.452815,5.196486,5.429513,1.912867,3883682
1994-04-07,5.429513,5.522723,5.382908,5.476118,1.929287,1214455
1994-04-08,5.476118,5.476118,5.406210,5.406210,1.904658,1376454
1994-04-11,5.452815,5.546026,5.429513,5.546026,1.953916,771909
1994-04-12,5.546026,5.639236,5.522723,5.522723,1.945707,712902
1994-04-13,5.499421,5.546026,5.382908,5.406210,1.904658,1611406
1994-04-14,5.359605,5.406210,5.313000,5.359605,1.888239,836815
1994-04-15,5.289697,5.359605,5.289697,5.336302,1.880028,270356
1994-04-18,5.336302,5.359605,5.289697,5.313000,1.871819,969848
1994-04-19,5.289697,5.313000,5.243092,5.266394,1.855399,211886
1994-04-20,5.336302,5.382908,5.126579,5.266394,1.855399,912451
1994-04-21,5.313000,5.313000,5.219789,5.219789,1.838981,580407
1994-04-22,5.173184,5.219789,5.149881,5.173184,1.822562,313269
1994-04-25,5.219789,5.243092,5.079973,5.243092,1.847190,406070
1994-04-26,5.219789,5.243092,5.196486,5.219789,1.838981,278938
1994-04-28,5.243092,5.266394,5.173184,5.219789,1.838981,857736
1994-04-29,5.219789,5.313000,5.219789,5.266394,1.855399,622247
1994-05-02,5.243092,5.243092,5.196486,5.219789,1.838981,367984
1994-05-03,5.173184,5.219789,5.056671,5.219789,1.838981,677499
1994-05-04,5.219789,5.243092,5.079973,5.079973,1.789722,1283117
1994-05-05,5.126579,5.149881,5.079973,5.103276,1.797932,494043
1994-05-06,5.079973,5.126579,5.033368,5.103276,1.797932,1136674
1994-05-09,5.079973,5.079973,5.033368,5.056671,1.781512,196330
1994-05-10,5.103276,5.126579,5.056671,5.126579,1.806141,401779
1994-05-11,5.103276,5.103276,5.033368,5.033368,1.773302,263382
1994-05-12,5.010065,5.079973,5.010065,5.010065,1.765092,249435
1994-05-13,5.056671,5.103276,5.010065,5.079973,1.789722,328826
1994-05-16,5.056671,5.079973,4.986763,5.010065,1.765092,275184
1994-05-17,5.056671,5.079973,5.010065,5.010065,1.765092,453811
1994-05-18,5.033368,5.056671,5.010065,5.056671,1.781512,576115
1994-05-19,5.033368,5.219789,5.033368,5.196486,1.830771,771372
1994-05-20,5.289697,5.406210,5.266394,5.382908,1.896449,667843
1994-05-23,5.382908,5.452815,5.243092,5.266394,1.855399,333117
1994-05-24,5.266394,5.289697,5.219789,5.266394,1.855399,1266488
1994-05-25,5.219789,5.266394,5.173184,5.219789,1.838981,601327
1994-05-26,5.266394,5.359605,5.266394,5.289697,1.863610,251581
1994-05-27,5.243092,5.289697,5.149881,5.266394,1.855399,1080350
1994-05-31,5.196486,5.289697,5.173184,5.243092,1.847190,385150
1994-06-01,5.196486,5.243092,5.126579,5.149881,1.814351,1365189
1994-06-02,5.149881,5.289697,5.149881,5.219789,1.838981,263919
1994-06-03,5.196486,5.452815,5.196486,5.406210,1.904658,624393
1994-06-06,5.359605,5.452815,5.359605,5.382908,1.908293,645850
1994-06-07,5.382908,5.429513,5.382908,5.406210,1.916554,320779
1994-06-08,5.452815,5.452815,5.359605,5.359605,1.900033,120158
1994-06-09,5.382908,5.476118,5.382908,5.406210,1.916554,470440
1994-06-10,5.476118,5.685842,5.476118,5.592631,1.982643,983795
1994-06-13,5.592631,5.639236,5.569329,5.592631,1.982643,616347
1994-06-14,5.592631,5.685842,5.592631,5.615934,1.990904,594890
1994-06-15,5.569329,5.592631,5.522723,5.522723,1.957860,289130
1994-06-16,5.499421,5.639236,5.499421,5.592631,1.982643,196866
1994-06-17,5.592631,5.639236,5.592631,5.615934,1.990904,505844
1994-06-20,5.569329,5.569329,5.429513,5.476118,1.941337,462931
1994-06-21,5.429513,5.452815,5.173184,5.219789,1.850466,821796
1994-06-22,5.219789,5.289697,5.196486,5.243092,1.858727,450056
1994-06-23,5.149881,5.219789,5.149881,5.196486,1.842205,384613
1994-06-24,5.173184,5.196486,5.103276,5.149881,1.825682,266064
1994-06-27,5.126579,5.196486,5.103276,5.173184,1.833944,273038
1994-06-28,5.126579,5.219789,5.103276,5.219789,1.850466,422163
1994-06-29,5.313000,5.336302,5.313000,5.336302,1.891770,229588
1994-06-30,5.313000,5.382908,5.266394,5.382908,1.908293,343845
1994-07-01,5.359605,5.429513,5.313000,5.336302,1.891770,173264
1994-07-05,5.313000,5.382908,5.313000,5.382908,1.908293,238171
1994-07-06,5.336302,5.359605,5.313000,5.359605,1.900033,291276
1994-07-07,5.336302,5.359605,5.289697,5.313000,1.883511,235488
1994-07-08,5.313000,5.359605,5.313000,5.313000,1.883511,403924
1994-07-11,5.313000,5.382908,5.313000,5.359605,1.900033,278402
1994-07-12,5.336302,5.429513,5.336302,5.406210,1.916554,490288
1994-07-13,5.406210,5.546026,5.406210,5.546026,1.966120,310051
1994-07-14,5.522723,5.615934,5.522723,5.546026,1.966120,237098
1994-07-15,5.522723,5.592631,5.516898,5.516898,1.955794,100311
1994-07-18,5.639236,5.639236,5.522723,5.615934,1.990904,209740
1994-07-19,5.662539,5.779052,5.662539,5.685842,2.015686,439865
1994-07-20,5.685842,5.779052,5.685842,5.779052,2.048731,234952
1994-07-21,5.779052,5.918868,5.779052,5.895565,2.090035,276793
1994-07-22,5.918868,5.942171,5.895565,5.895565,2.090035,98165
1994-07-25,5.895565,5.895565,5.779052,5.802355,2.056991,329898
1994-07-26,5.802355,5.825658,5.755750,5.802355,2.056991,191502
1994-07-27,5.779052,5.825658,5.732447,5.779052,2.048731,829306
1994-07-28,5.779052,5.779052,5.709144,5.709144,2.023947,140006
1994-07-29,5.685842,5.755750,5.639236,5.755750,2.040469,253727
1994-08-01,5.732447,5.872263,5.732447,5.872263,2.081774,360474
1994-08-02,5.918868,5.988776,5.872263,5.965473,2.114818,534811
1994-08-03,5.965473,6.012079,5.918868,5.942171,2.106557,557341
1994-08-04,5.965473,5.965473,5.779052,5.872263,2.081774,259627
1994-08-05,5.872263,5.918868,5.848960,5.895565,2.090035,195257
1994-08-08,5.942171,5.988776,5.918868,5.988776,2.123080,233343
1994-08-09,5.988776,6.035381,5.918868,5.918868,2.098296,641558
1994-08-10,5.895565,5.918868,5.825658,5.848960,2.073512,124449
1994-08-11,5.802355,5.802355,5.499421,5.615934,1.990904,666770
1994-08-12,5.615934,5.685842,5.615934,5.615934,1.990904,374958
1994-08-15,5.662539,5.685842,5.639236,5.685842,2.015686,129814
1994-08-16,5.732447,5.755750,5.732447,5.755750,2.040469,247290
1994-08-17,5.755750,5.755750,5.615934,5.685842,2.015686,163072
1994-08-18,5.639236,5.709144,5.639236,5.709144,2.023947,233879
1994-08-19,5.685842,5.732447,5.685842,5.709144,2.023947,335799
1994-08-22,5.685842,5.732447,5.662539,5.662539,2.007426,68125
1994-08-23,5.662539,5.709144,5.662539,5.662539,2.007426,134641
1994-08-24,5.662539,5.732447,5.662539,5.732447,2.032209,86900
1994-08-25,5.755750,5.848960,5.685842,5.779052,2.048731,141078
1994-08-26,6.058684,6.058684,5.965473,5.988776,2.123080,332580
1994-08-29,5.988776,6.012079,5.942171,5.942171,2.106557,166290
1994-08-30,5.918868,6.012079,5.895565,6.012079,2.131339,370130
