Date,Open,High,Low,Close,Adj Close,Volume
2009-09-25,9.750000,10.150000,9.350000,10.090000,8.038781,11964900
2009-09-28,10.230000,10.550000,9.900000,10.450000,8.325596,1653300
2009-09-29,10.490000,10.500000,10.030000,10.090000,8.038781,677900
2009-09-30,10.180000,10.190000,10.000000,10.070000,8.022847,384300
2009-10-01,9.960000,10.070000,9.800000,10.000000,7.967079,535400
2009-10-02,9.970000,10.010000,9.850000,9.990000,7.959109,323200
2009-10-05,9.910000,10.030000,9.630000,9.990000,7.959109,247800
2009-10-06,10.030000,10.050000,9.750000,9.800000,7.807735,349600
2009-10-07,9.680000,9.850000,9.050000,9.750000,7.767900,383400
2009-10-08,9.700000,9.850000,9.600000,9.780000,7.791802,662300
2009-10-09,9.750000,9.840000,9.600000,9.750000,7.767900,288000
2009-10-12,9.940000,9.940000,9.710000,9.750000,7.767900,230100
2009-10-13,9.750000,9.780000,9.690000,9.750000,7.767900,321800
2009-10-14,9.560000,9.800000,9.460000,9.780000,7.791802,655500
2009-10-15,9.800000,9.820000,9.700000,9.770000,7.783836,288700
2009-10-16,9.480000,9.780000,9.480000,9.760000,7.775867,271200
2009-10-19,9.720000,9.750000,9.700000,9.730000,7.751966,217000
2009-10-20,9.630000,9.750000,9.600000,9.750000,7.767900,116600
2009-10-21,9.700000,9.720000,9.680000,9.700000,7.728064,133900
2009-10-22,9.700000,9.750000,9.650000,9.730000,7.751966,154200
2009-10-23,9.700000,10.000000,9.630000,9.670000,7.704165,399900
2009-10-26,9.650000,9.680000,9.210000,9.600000,7.648395,316200
2009-10-27,9.590000,9.700000,9.500000,9.620000,7.664328,273100
2009-10-28,9.590000,9.590000,9.410000,9.480000,7.552789,298600
2009-10-29,9.440000,9.680000,9.180000,9.630000,7.672296,357300
2009-10-30,9.550000,9.740000,9.120000,9.700000,7.728064,61900
2009-11-02,9.590000,9.800000,9.420000,9.740000,7.759934,152000
2009-11-03,9.560000,9.690000,9.470000,9.650000,7.688229,101500
2009-11-04,9.850000,10.100000,9.810000,9.890000,7.879440,346700
