Date,Open,High,Low,Close,Adj Close,Volume
1983-07-19,2.132044,2.151785,2.132044,2.132044,1.802433,2705643
1983-07-20,2.132044,2.132044,2.112303,2.112303,1.785744,710445
1983-07-21,2.013597,2.013597,1.993856,1.993856,1.685609,607867
1983-07-22,2.033338,2.072821,2.033338,2.033338,1.718988,322930
1983-07-25,2.132044,2.151785,2.132044,2.132044,1.802433,158932
1983-07-26,2.132044,2.151785,2.112303,2.112303,1.785744,212754
1983-07-27,2.112303,2.132044,2.092562,2.092562,1.769055,413476
1983-07-28,2.092562,2.092562,2.053079,2.053079,1.735676,174762
1983-07-29,2.033338,2.033338,2.013597,2.013597,1.702298,70918
1983-08-01,1.974115,1.974115,1.954374,1.954374,1.652230,87381
1983-08-02,1.796444,1.796444,1.776703,1.776703,1.502027,82315
1983-08-03,1.756962,1.756962,1.737221,1.737221,1.468649,215920
1983-08-04,1.737221,1.756962,1.737221,1.737221,1.468649,44324
1983-08-05,1.737221,1.737221,1.717480,1.717480,1.451960,23428
1983-08-08,1.717480,1.737221,1.697739,1.697739,1.435271,115875
1983-08-09,1.697739,1.717480,1.677998,1.677998,1.418581,49389
1983-08-10,1.717480,1.737221,1.717480,1.717480,1.451960,124739
1983-08-11,1.776703,1.816186,1.776703,1.776703,1.502027,160832
1983-08-12,1.816186,1.855668,1.816186,1.816186,1.535406,107010
1983-08-15,1.875409,1.895150,1.875409,1.875409,1.585473,136137
1983-08-16,1.875409,1.875409,1.835927,1.835927,1.552095,146268
1983-08-17,1.835927,1.835927,1.816186,1.816186,1.535406,126639
1983-08-18,1.816186,1.835927,1.796444,1.796444,1.518716,69018
1983-08-19,1.816186,1.855668,1.816186,1.816186,1.535406,46856
1983-08-22,1.855668,1.895150,1.855668,1.855668,1.568784,72184
1983-08-23,1.875409,1.914891,1.875409,1.875409,1.585473,63320
1983-08-24,1.875409,1.895150,1.875409,1.875409,1.585473,40524
1983-08-25,1.875409,1.895150,1.875409,1.875409,1.585473,24061
1983-08-26,1.875409,1.895150,1.855668,1.855668,1.568784,137403
1983-08-29,1.855668,1.895150,1.855668,1.855668,1.568784,52555
1983-08-30,1.855668,1.855668,1.835927,1.835927,1.552095,107010
1983-08-31,1.835927,1.835927,1.796444,1.796444,1.518716,36725
1983-09-01,1.796444,1.816186,1.776703,1.776703,1.502027,15197
1983-09-02,1.776703,1.816186,1.776703,1.776703,1.502027,32926
1983-09-06,1.776703,1.796444,1.776703,1.776703,1.502027,50022
1983-09-07,1.717480,1.717480,1.658256,1.658256,1.401892,72184
1983-09-08,1.697739,1.737221,1.697739,1.697739,1.435271,20895
1983-09-09,1.697739,1.697739,1.677998,1.677998,1.418581,52555
1983-09-12,1.579292,1.579292,1.559551,1.559551,1.318446,82315
1983-09-13,1.520068,1.520068,1.500327,1.500327,1.268378,13930
1983-09-14,1.500327,1.520068,1.480586,1.480586,1.251689,140569
1983-09-15,1.480586,1.500327,1.480586,1.480586,1.251689,121573
1983-09-16,1.500327,1.539810,1.500327,1.500327,1.268378,39891
1983-09-19,1.520068,1.539810,1.520068,1.520068,1.285068,32293
1983-09-20,1.559551,1.579292,1.559551,1.559551,1.318446,14563
1983-09-21,1.677998,1.697739,1.677998,1.677998,1.418581,92446
1983-09-22,1.677998,1.677998,1.658256,1.658256,1.401892,124739
1983-09-23,1.658256,1.677998,1.658256,1.658256,1.401892,70918
1983-09-26,1.658256,1.677998,1.658256,1.658256,1.401892,13930
1983-09-27,1.658256,1.658256,1.618774,1.618774,1.368514,34193
1983-09-28,1.618774,1.658256,1.618774,1.618774,1.368514,8232
1983-09-29,1.618774,1.658256,1.618774,1.618774,1.368514,146268
1983-09-30,1.658256,1.677998,1.658256,1.658256,1.401892,399546
1983-10-03,1.658256,1.658256,1.638515,1.638515,1.385203,8865
1983-10-04,1.618774,1.618774,1.579292,1.579292,1.335135,90547
1983-10-05,1.579292,1.599033,1.579292,1.579292,1.335135,9498
1983-10-06,1.579292,1.599033,1.579292,1.579292,1.335135,18996
1983-10-07,1.579292,1.599033,1.579292,1.579292,1.335135,13930
1983-10-10,1.579292,1.599033,1.579292,1.579292,1.335135,2533
1983-10-11,1.579292,1.599033,1.559551,1.559551,1.318446,29127
1983-10-12,1.539810,1.539810,1.500327,1.500327,1.268378,33559
1983-10-13,1.539810,1.559551,1.539810,1.539810,1.301757,306466
1983-10-14,1.539810,1.559551,1.539810,1.539810,1.301757,198190
1983-10-17,1.539810,1.559551,1.539810,1.539810,1.301757,70918
1983-10-18,1.500327,1.500327,1.480586,1.480586,1.251689,61420
1983-10-19,1.480586,1.500327,1.441104,1.441104,1.218311,32293
1983-10-20,1.441104,1.480586,1.441104,1.441104,1.218311,22795
1983-10-21,1.441104,1.480586,1.441104,1.441104,1.218311,20262
1983-10-24,1.401622,1.401622,1.381880,1.381880,1.168244,49389
1983-10-25,1.381880,1.381880,1.342398,1.342398,1.134865,13930
1983-10-26,1.342398,1.401622,1.342398,1.342398,1.134865,12664
1983-10-27,1.342398,1.381880,1.322657,1.322657,1.118176,22162
1983-10-28,1.342398,1.362139,1.342398,1.342398,1.134865,10764
1983-10-31,1.362139,1.381880,1.362139,1.362139,1.151554,86115
1983-11-01,1.362139,1.381880,1.362139,1.362139,1.151554,174762
1983-11-02,1.362139,1.381880,1.362139,1.362139,1.151554,17729
1983-11-03,1.362139,1.381880,1.362139,1.362139,1.151554,50022
1983-11-04,1.362139,1.381880,1.362139,1.362139,1.151554,74084
1983-11-07,1.362139,1.381880,1.362139,1.362139,1.151554,174762
1983-11-08,1.362139,1.381880,1.362139,1.362139,1.151554,24695
1983-11-09,1.362139,1.381880,1.362139,1.362139,1.151554,34193
1983-11-10,1.362139,1.381880,1.362139,1.362139,1.151554,18996
1983-11-11,1.381880,1.401622,1.381880,1.381880,1.168244,185526
1983-11-14,1.401622,1.441104,1.401622,1.401622,1.184933,136770
1983-11-15,1.401622,1.441104,1.401622,1.401622,1.184933,32926
1983-11-16,1.401622,1.441104,1.401622,1.401622,1.184933,8232
1983-11-17,1.401622,1.441104,1.381880,1.381880,1.168244,535050
1983-11-18,1.401622,1.441104,1.401622,1.401622,1.184933,122840
1983-11-21,1.441104,1.460845,1.441104,1.441104,1.218311,9498
1983-11-22,1.460845,1.480586,1.460845,1.460845,1.235000,50022
1983-11-23,1.460845,1.480586,1.460845,1.460845,1.235000,55088
1983-11-25,1.460845,1.480586,1.460845,1.460845,1.235000,13930
1983-11-28,1.460845,1.480586,1.460845,1.460845,1.235000,23428
1983-11-29,1.460845,1.480586,1.460845,1.460845,1.235000,92446
1983-11-30,1.460845,1.480586,1.441104,1.441104,1.218311,40524
