Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.000000,7.927273,7.672727,7.763636,5.828178,378125
1973-02-22,0.000000,7.763636,7.581818,7.581818,5.691687,225500
1973-02-23,0.000000,7.563636,7.400000,7.436364,5.582496,173250
1973-02-26,0.000000,7.454545,7.181818,7.327273,5.500599,422125
1973-02-27,0.000000,7.327273,7.163636,7.163636,5.377755,250937
1973-02-28,0.000000,7.345455,7.000000,7.309091,5.486949,387062
1973-03-01,0.000000,7.290909,7.145455,7.145455,5.364110,191812
1973-03-02,0.000000,7.072727,6.890909,7.036364,5.282214,390500
1973-03-05,0.000000,7.000000,6.472727,6.636364,4.981932,859375
1973-03-06,0.000000,6.727273,6.563636,6.727273,5.050179,332750
1973-03-07,0.000000,7.054545,6.872727,6.981818,5.241267,877250
1973-03-08,0.000000,7.054545,6.545455,6.909091,5.186670,260562
1973-03-09,0.000000,6.909091,6.618182,6.654545,4.995581,1184562
1973-03-12,0.000000,6.600000,6.327273,6.363636,4.777197,453062
1973-03-13,0.000000,6.690909,6.254545,6.436364,4.831793,426250
1973-03-14,0.000000,6.690909,6.454545,6.690909,5.022879,268812
1973-03-15,0.000000,6.672727,6.600000,6.618182,4.968282,79062
1973-03-16,0.000000,6.654545,6.509091,6.600000,4.954633,288062
1973-03-19,0.000000,6.545455,6.454545,6.527273,4.900038,444812
1973-03-20,0.000000,6.545455,6.436364,6.509091,4.886388,225500
1973-03-21,0.000000,6.581818,6.200000,6.218182,4.668002,243375
1973-03-22,0.000000,6.181818,5.981818,6.072727,4.558810,326562
1973-03-23,0.000000,6.254545,6.018182,6.254545,4.695299,255750
1973-03-26,0.000000,6.527273,6.127273,6.436364,4.831793,292187
1973-03-27,0.000000,6.781818,6.400000,6.745455,5.063828,401500
1973-03-28,0.000000,6.981818,6.690909,6.818182,5.118424,426250
1973-03-29,0.000000,7.145455,6.800000,6.981818,5.241267,325875
1973-03-30,0.000000,7.018182,6.781818,6.872727,5.159372,218625
1973-04-02,0.000000,6.909091,6.745455,6.836364,5.132075,114125
1973-04-03,0.000000,7.000000,6.800000,6.818182,5.118424,207625
1973-04-04,0.000000,6.890909,6.727273,6.727273,5.050179,134750
1973-04-05,0.000000,6.745455,6.509091,6.727273,5.050179,116875
1973-04-06,0.000000,6.945455,6.690909,6.945455,5.213968,178062
1973-04-09,0.000000,7.145455,6.818182,7.109091,5.336809,158812
1973-04-10,0.000000,7.254545,7.145455,7.236364,5.432354,182187
1973-04-11,0.000000,7.236364,7.036364,7.127273,5.350459,108625
1973-04-12,0.000000,7.236364,7.090909,7.200000,5.405055,101062
1973-04-13,0.000000,7.236364,7.109091,7.127273,5.350459,140937
1973-04-16,0.000000,7.181818,6.836364,6.854545,5.145724,213812
1973-04-17,0.000000,6.818182,6.563636,6.763636,5.077477,374000
1973-04-18,0.000000,6.781818,6.654545,6.763636,5.077477,152625
1973-04-19,0.000000,6.854545,6.545455,6.636364,4.981932,388437
1973-04-23,0.000000,6.636364,6.400000,6.472727,4.864101,173250
1973-04-24,0.000000,6.400000,6.145455,6.200000,4.659153,356812
1973-04-25,0.000000,6.127273,5.945455,6.018182,4.522521,931562
1973-04-26,0.000000,6.218182,5.945455,6.109091,4.590836,603625
1973-04-27,0.000000,6.254545,6.090909,6.090909,4.577174,171187
1973-04-30,0.000000,6.127273,5.909091,6.000000,4.508858,220000
1973-05-01,0.000000,6.163636,5.981818,6.090909,4.577174,279125
1973-05-02,0.000000,6.218182,6.109091,6.163636,4.631826,256437
1973-05-03,0.000000,6.563636,6.072727,6.563636,4.932418,305250
1973-05-04,0.000000,6.818182,6.654545,6.709091,5.041723,235812
1973-05-07,0.000000,6.745455,6.563636,6.672727,5.014395,90750
1973-05-08,0.000000,6.836364,6.654545,6.836364,5.137364,329312
1973-05-09,0.000000,7.090909,6.818182,6.836364,5.137364,242687
1973-05-10,0.000000,6.945455,6.690909,6.727273,5.055386,237875
1973-05-11,0.000000,6.727273,6.636364,6.672727,5.014395,125125
1973-05-14,0.000000,6.545455,6.345455,6.363636,4.782121,353375
1973-05-15,0.000000,6.436364,6.218182,6.400000,4.809450,238562
1973-05-16,0.000000,6.581818,6.400000,6.527273,4.905091,134062
1973-05-17,0.000000,6.472727,6.309091,6.327273,4.754796,264000
1973-05-18,0.000000,6.218182,5.963636,6.127273,4.604501,329312
1973-05-21,0.000000,6.181818,5.800000,6.163636,4.631826,452375
1973-05-22,0.000000,6.472727,6.254545,6.418182,4.823112,318312
1973-05-23,0.000000,6.527273,6.309091,6.400000,4.809450,82500
1973-05-24,0.000000,6.581818,6.363636,6.581818,4.946080,195937
1973-05-25,0.000000,6.745455,6.636364,6.709091,5.041723,95562
1973-05-29,0.000000,6.800000,6.636364,6.654545,5.000732,57750
1973-05-30,0.000000,6.636364,6.472727,6.472727,4.864101,86625
1973-05-31,0.000000,6.490909,6.272727,6.381818,4.795784,290812
1973-06-01,0.000000,6.363636,6.163636,6.181818,4.645490,410437
1973-06-04,0.000000,6.181818,6.109091,6.145455,4.618163,293562
1973-06-05,0.000000,6.290909,6.109091,6.272727,4.713805,158125
1973-06-06,0.000000,6.472727,6.254545,6.363636,4.782121,484687
1973-06-07,0.000000,6.509091,6.363636,6.490909,4.877764,88687
1973-06-08,0.000000,6.763636,6.472727,6.690909,5.028060,222750
1973-06-11,0.000000,6.836364,6.727273,6.800000,5.110040,160187
1973-06-12,0.000000,7.109091,6.781818,6.981818,5.246672,141625
1973-06-13,0.000000,7.218182,6.872727,6.872727,5.164691,266750
1973-06-14,0.000000,6.945455,6.563636,6.563636,4.932418,167062
1973-06-15,0.000000,6.545455,6.381818,6.381818,4.795784,125812
1973-06-18,0.000000,6.381818,6.290909,6.309091,4.741133,60500
1973-06-19,0.000000,6.309091,6.145455,6.163636,4.631826,228250
