Date,Open,High,Low,Close,Adj Close,Volume
1994-05-26,3.031250,3.062500,2.906250,3.031250,2.367654,6171600
1994-05-27,3.062500,3.187500,3.000000,3.156250,2.465289,1580800
1994-05-31,3.187500,3.187500,3.093750,3.125000,2.440881,149600
1994-06-01,3.187500,3.187500,3.000000,3.000000,2.343245,198400
1994-06-02,3.125000,3.125000,3.031250,3.031250,2.367654,132400
1994-06-03,3.062500,3.062500,3.000000,3.031250,2.367654,58000
1994-06-06,3.000000,3.093750,3.000000,3.093750,2.416471,10400
1994-06-07,3.062500,3.062500,3.000000,3.000000,2.343245,79200
1994-06-08,3.062500,3.062500,3.000000,3.062500,2.392062,78800
1994-06-09,3.062500,3.062500,3.000000,3.062500,2.392062,14800
1994-06-10,3.062500,3.125000,3.031250,3.125000,2.440881,32000
1994-06-13,3.125000,3.125000,3.031250,3.062500,2.392062,36000
1994-06-14,3.125000,3.125000,3.031250,3.031250,2.367654,22400
1994-06-15,3.093750,3.093750,3.000000,3.000000,2.343245,112800
1994-06-16,3.093750,3.125000,3.062500,3.062500,2.392062,100800
1994-06-17,3.125000,3.125000,3.062500,3.062500,2.392062,54000
1994-06-20,3.093750,3.093750,3.062500,3.062500,2.392062,4400
1994-06-21,3.062500,3.062500,3.000000,3.000000,2.343245,152400
1994-06-22,3.000000,3.062500,3.000000,3.062500,2.392062,330000
1994-06-23,3.031250,3.031250,2.968750,2.968750,2.318837,52400
1994-06-24,3.031250,3.031250,2.968750,2.968750,2.318837,80000
1994-06-27,3.031250,3.031250,2.875000,2.875000,2.245610,192400
1994-06-28,2.968750,2.968750,2.968750,2.968750,2.318837,6000
1994-06-29,2.875000,2.875000,2.875000,2.875000,2.245610,4400
1994-06-30,2.968750,2.968750,2.968750,2.968750,2.318837,1600
1994-07-01,2.968750,2.968750,2.968750,2.968750,2.318837,4000
1994-07-05,2.968750,2.968750,2.875000,2.968750,2.318837,5200
1994-07-06,2.875000,2.968750,2.875000,2.875000,2.245610,190800
1994-07-07,2.875000,2.875000,2.875000,2.875000,2.245610,0
1994-07-08,2.968750,2.968750,2.968750,2.968750,2.318837,3200
1994-07-11,2.968750,2.968750,2.906250,2.968750,2.318837,20400
1994-07-12,2.968750,2.968750,2.968750,2.968750,2.318837,16000
1994-07-13,2.968750,2.968750,2.968750,2.968750,2.318837,0
1994-07-14,2.968750,2.968750,2.906250,2.906250,2.270019,12400
1994-07-15,2.875000,2.968750,2.875000,2.968750,2.318837,270800
1994-07-18,2.875000,3.000000,2.875000,3.000000,2.343245,6000
1994-07-19,3.000000,3.015625,2.875000,3.000000,2.343245,41600
1994-07-20,3.062500,3.062500,3.000000,3.062500,2.392062,162400
1994-07-21,3.031250,3.031250,3.031250,3.031250,2.367654,40000
1994-07-22,3.062500,3.062500,3.062500,3.062500,2.392062,400
1994-07-25,3.000000,3.000000,2.968750,2.968750,2.318837,4000
1994-07-26,3.000000,3.062500,3.000000,3.062500,2.392062,79600
1994-07-27,2.968750,3.031250,2.937500,2.937500,2.294427,421200
1994-07-28,3.031250,3.031250,3.031250,3.031250,2.367654,2400
1994-07-29,3.000000,3.031250,3.000000,3.031250,2.367654,5600
1994-08-01,3.031250,3.031250,3.031250,3.031250,2.367654,0
1994-08-02,3.000000,3.015625,2.968750,3.015625,2.355450,300000
1994-08-03,3.000000,3.000000,2.968750,2.968750,2.318837,70000
1994-08-04,2.968750,2.968750,2.968750,2.968750,2.318837,44000
