Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,1.210938,1.210938,1.210938,1.210938,1.134769,14400
1973-02-22,1.203125,1.203125,1.203125,1.203125,1.127447,1600
1973-02-23,1.164063,1.164063,1.164063,1.164063,1.090842,20800
1973-02-26,1.140625,1.140625,1.140625,1.140625,1.068879,4800
1973-02-27,0.960938,0.960938,0.960938,0.960938,0.900494,190400
1973-02-28,0.960938,0.960938,0.960938,0.960938,0.900494,140800
1973-03-01,1.031250,1.031250,1.031250,1.031250,0.966383,40000
1973-03-02,1.078125,1.078125,1.078125,1.078125,1.010310,44800
1973-03-05,1.070313,1.070313,1.070313,1.070313,1.002989,17600
1973-03-06,1.070313,1.070313,1.070313,1.070313,1.002989,0
1973-03-07,1.101563,1.101563,1.101563,1.101563,1.032274,12800
1973-03-08,1.093750,1.093750,1.093750,1.093750,1.024952,1600
1973-03-09,1.093750,1.093750,1.093750,1.093750,1.024952,0
1973-03-12,1.085938,1.085938,1.085938,1.085938,1.017631,4800
1973-03-13,1.062500,1.062500,1.062500,1.062500,0.995667,3200
1973-03-14,1.062500,1.062500,1.062500,1.062500,0.995667,0
1973-03-15,1.062500,1.062500,1.062500,1.062500,0.995667,0
1973-03-16,1.062500,1.062500,1.062500,1.062500,0.995667,3200
1973-03-19,1.062500,1.062500,1.062500,1.062500,0.995667,147200
1973-03-20,1.078125,1.078125,1.078125,1.078125,1.010310,14400
1973-03-21,1.070313,1.070313,1.070313,1.070313,1.002989,25600
1973-03-22,0.953125,0.953125,0.953125,0.953125,0.893173,665600
1973-03-23,0.937500,0.937500,0.937500,0.937500,0.878530,27200
1973-03-26,0.914063,0.914063,0.914063,0.914063,0.856568,14400
1973-03-27,0.937500,0.937500,0.937500,0.937500,0.878530,105600
1973-03-28,0.937500,0.937500,0.937500,0.937500,0.878530,27200
1973-03-29,0.937500,0.937500,0.937500,0.937500,0.878530,102400
1973-03-30,0.929688,0.929688,0.929688,0.929688,0.871210,8000
1973-04-02,0.828125,0.828125,0.828125,0.828125,0.776035,422400
1973-04-03,0.921875,0.921875,0.921875,0.921875,0.863888,200000
1973-04-04,0.937500,0.937500,0.937500,0.937500,0.878530,20800
1973-04-05,0.906250,0.906250,0.906250,0.906250,0.849246,6400
1973-04-06,0.906250,0.906250,0.906250,0.906250,0.849246,14400
1973-04-09,0.914063,0.914063,0.914063,0.914063,0.856568,3200
1973-04-10,0.914063,0.914063,0.914063,0.914063,0.856568,9600
1973-04-11,0.929688,0.929688,0.929688,0.929688,0.871210,41600
1973-04-12,0.937500,0.937500,0.937500,0.937500,0.878530,33600
1973-04-13,0.937500,0.937500,0.937500,0.937500,0.878530,6400
1973-04-16,0.929688,0.929688,0.929688,0.929688,0.871210,1600
1973-04-17,0.945313,0.945313,0.945313,0.945313,0.885852,8000
1973-04-18,0.937500,0.937500,0.937500,0.937500,0.878530,8000
1973-04-19,0.929688,0.929688,0.929688,0.929688,0.871210,12800
1973-04-23,0.968750,0.968750,0.968750,0.968750,0.907815,33600
1973-04-24,0.968750,0.968750,0.968750,0.968750,0.907815,51200
1973-04-25,0.984375,0.984375,0.984375,0.984375,0.922457,40000
1973-04-26,1.007813,1.007813,1.007813,1.007813,0.944420,30400
1973-04-27,1.000000,1.000000,1.000000,1.000000,0.937099,9600
1973-04-30,1.007813,1.007813,1.007813,1.007813,0.944420,16000
1973-05-01,1.007813,1.007813,1.007813,1.007813,0.944420,11200
1973-05-02,1.023438,1.023438,1.023438,1.023438,0.959063,17600
1973-05-03,0.000000,1.031250,1.015625,1.031250,0.966383,19200
1973-05-04,0.000000,1.140625,1.046875,1.140625,1.068879,54400
1973-05-07,0.000000,1.156250,1.109375,1.109375,1.039594,44800
1973-05-08,0.000000,1.109375,1.093750,1.109375,1.039594,9600
1973-05-09,0.000000,1.109375,1.093750,1.093750,1.024952,24000
1973-05-10,0.000000,1.101563,1.070313,1.101563,1.032274,12800
1973-05-11,0.000000,1.085938,1.062500,1.078125,1.010310,24000
1973-05-14,1.078125,1.078125,1.078125,1.078125,1.010310,0
1973-05-15,0.000000,1.078125,1.062500,1.062500,0.995667,3200
1973-05-16,0.000000,1.054688,1.046875,1.054688,0.988347,4800
1973-05-17,0.000000,1.046875,1.031250,1.031250,0.966383,20800
1973-05-18,0.000000,1.015625,0.992188,0.992188,0.929778,19200
1973-05-21,0.000000,0.984375,0.953125,0.953125,0.893173,12800
1973-05-22,0.000000,0.960938,0.945313,0.953125,0.893173,11200
1973-05-23,0.000000,0.953125,0.945313,0.945313,0.885852,6400
1973-05-24,0.000000,0.984375,0.953125,0.984375,0.922457,11200
1973-05-25,0.000000,1.023438,0.992188,1.023438,0.959063,12800
1973-05-29,0.000000,1.039063,1.039063,1.039063,0.973705,1600
1973-05-30,0.000000,1.031250,1.023438,1.023438,0.959063,11200
1973-05-31,0.000000,1.023438,0.937500,0.937500,0.878530,19200
1973-06-01,0.000000,0.929688,0.906250,0.906250,0.849246,16000
1973-06-04,0.000000,0.937500,0.921875,0.937500,0.878530,4800
1973-06-05,0.000000,0.953125,0.914063,0.953125,0.893173,12800
1973-06-06,0.000000,0.945313,0.945313,0.945313,0.885852,1600
1973-06-07,0.000000,0.937500,0.937500,0.937500,0.878530,1600
1973-06-08,0.937500,0.937500,0.937500,0.937500,0.878530,0
1973-06-11,0.000000,0.937500,0.929688,0.929688,0.871210,6400
1973-06-12,0.000000,0.929688,0.921875,0.921875,0.863888,9600
1973-06-13,0.000000,0.937500,0.937500,0.937500,0.878530,1600
1973-06-14,0.000000,0.960938,0.953125,0.960938,0.900494,3200
1973-06-15,0.000000,0.945313,0.945313,0.945313,0.885852,1600
1973-06-18,0.000000,0.937500,0.914063,0.914063,0.856568,8000
1973-06-19,0.914063,0.914063,0.914063,0.914063,0.856568,0
1973-06-20,0.000000,0.937500,0.921875,0.937500,0.878530,3200
1973-06-21,0.937500,0.937500,0.937500,0.937500,0.878530,0
1973-06-22,0.000000,0.937500,0.929688,0.929688,0.871210,6400
1973-06-25,0.000000,0.937500,0.921875,0.937500,0.878530,38400
1973-06-26,0.000000,0.929688,0.921875,0.921875,0.863888,14400
1973-06-27,0.000000,0.937500,0.921875,0.937500,0.878530,11200
1973-06-28,0.000000,0.937500,0.937500,0.937500,0.878530,8000
1973-06-29,0.937500,0.937500,0.937500,0.937500,0.878530,0
1973-07-02,0.000000,0.945313,0.945313,0.945313,0.885852,1600
1973-07-03,0.000000,0.937500,0.937500,0.937500,0.878530,8000
1973-07-05,0.000000,0.937500,0.929688,0.937500,0.878530,4800
1973-07-06,0.000000,0.937500,0.929688,0.937500,0.878530,14400
1973-07-09,0.000000,0.937500,0.937500,0.937500,0.878530,1600
1973-07-10,0.000000,0.937500,0.937500,0.937500,0.878530,6400
1973-07-11,0.000000,0.945313,0.945313,0.945313,0.885852,1600
1973-07-12,0.000000,0.937500,0.914063,0.914063,0.856568,36800
1973-07-13,0.000000,0.929688,0.921875,0.929688,0.871210,6400
1973-07-16,0.929688,0.929688,0.929688,0.929688,0.871210,0
1973-07-17,0.000000,0.953125,0.937500,0.937500,0.878530,22400
1973-07-18,0.937500,0.937500,0.937500,0.937500,0.878530,0
1973-07-19,0.000000,1.085938,0.937500,1.085938,1.017631,41600
1973-07-20,0.000000,1.093750,1.039063,1.039063,0.973705,20800
1973-07-23,0.000000,1.125000,1.070313,1.125000,1.054237,46400
1973-07-24,0.000000,1.125000,1.101563,1.117188,1.046916,27200
1973-07-25,0.000000,1.125000,1.125000,1.125000,1.054237,6400
1973-07-26,0.000000,1.140625,1.109375,1.109375,1.039594,35200
1973-07-27,0.000000,1.148438,1.109375,1.140625,1.068879,89600
1973-07-30,0.000000,1.140625,1.125000,1.125000,1.054237,19200
1973-07-31,0.000000,1.125000,1.109375,1.109375,1.039594,17600
1973-08-01,1.109375,1.109375,1.109375,1.109375,1.039594,0
1973-08-02,0.000000,1.093750,1.093750,1.093750,1.024952,4800
