Date,Open,High,Low,Close,Adj Close,Volume
2005-11-15,13.740000,14.060000,13.400000,13.740000,11.465665,43500
2005-11-16,13.510000,13.770000,13.450000,13.510000,11.273740,30300
2005-11-17,13.510000,13.730000,13.350000,13.510000,11.273740,27800
2005-11-18,13.250000,13.520000,13.150000,13.250000,11.056774,52300
2005-11-21,13.290000,13.350000,12.280000,13.290000,11.090151,34200
2005-11-22,13.230000,13.360000,13.200000,13.230000,11.040087,21400
2005-11-23,13.700000,13.890000,13.190000,13.700000,11.432289,20900
2005-11-25,14.430000,14.480000,14.260000,14.430000,12.041455,9100
2005-11-28,14.600000,14.650000,14.350000,14.600000,12.183317,35100
2005-11-29,14.700000,14.750000,14.580000,14.700000,12.266763,13100
2005-11-30,14.500000,15.000000,14.500000,14.500000,12.099869,10800
2005-12-01,14.840000,14.850000,14.530000,14.840000,12.383592,11300
2005-12-02,14.850000,14.890000,14.740000,14.850000,12.391935,16100
2005-12-05,14.880000,14.960000,14.800000,14.880000,12.416966,19100
2005-12-06,15.230000,15.230000,14.830000,15.230000,12.709033,9700
2005-12-07,15.220000,15.250000,15.080000,15.220000,12.700689,8200
2005-12-08,15.400000,15.400000,15.150000,15.400000,12.850895,7900
2005-12-09,15.500000,15.510000,15.290000,15.500000,12.934342,9500
2005-12-12,15.880000,15.890000,15.500000,15.880000,13.251443,14300
2005-12-13,15.850000,15.910000,15.630000,15.850000,13.226405,23900
2005-12-14,15.750000,15.790000,15.230000,15.750000,13.142960,16700
2005-12-15,15.530000,15.730000,15.530000,15.530000,12.959375,5400
2005-12-16,15.270000,15.420000,15.070000,15.270000,12.742414,6800
2005-12-19,14.940000,15.240000,14.780000,14.940000,12.467036,16800
2005-12-20,14.740000,14.970000,14.740000,14.740000,12.300143,12400
2005-12-21,15.000000,18.420000,14.790000,15.000000,12.517107,6000
2005-12-22,15.050000,15.050000,14.960000,15.050000,12.558829,18700
2005-12-23,14.890000,15.080000,14.800000,14.890000,12.425312,8100
2005-12-27,15.000000,15.000000,15.000000,15.000000,12.517107,200
2005-12-28,14.550000,14.900000,14.500000,14.550000,12.141594,14700
2005-12-29,14.870000,14.920000,14.770000,14.870000,12.408623,7700
2005-12-30,14.700000,14.700000,14.600000,14.700000,12.266763,3800
2006-01-03,15.000000,15.130000,14.810000,15.000000,12.517107,3500
2006-01-04,15.140000,15.270000,14.800000,15.140000,12.633931,9800
2006-01-05,14.720000,15.030000,14.640000,14.720000,12.283451,10000
2006-01-06,14.610000,14.700000,14.540000,14.610000,12.191659,12400
2006-01-09,14.540000,14.710000,14.360000,14.540000,12.133247,13800
2006-01-10,14.830000,14.830000,14.640000,14.830000,12.375242,10400
2006-01-11,15.350000,15.350000,14.810000,15.350000,12.809170,25500
2006-01-12,15.390000,15.390000,15.250000,15.390000,12.842549,23300
2006-01-13,15.260000,15.260000,15.090000,15.260000,12.734069,18400
2006-01-17,15.140000,15.240000,15.100000,15.140000,12.633931,7700
2006-01-18,15.170000,15.170000,14.930000,15.170000,12.658965,9100
2006-01-19,15.190000,15.350000,15.030000,15.190000,12.675653,5500
2006-01-20,15.820000,15.880000,15.370000,15.820000,13.201371,42500
2006-01-23,16.100000,16.100000,15.950000,16.100000,13.435023,4100
2006-01-24,16.180000,16.180000,15.990000,16.180000,13.501782,8400
2006-01-25,16.100000,16.299999,16.040001,16.100000,13.435023,4600
2006-01-26,16.820000,16.820000,16.139999,16.820000,14.035845,15600
2006-01-27,16.330000,16.930000,16.330000,16.330000,13.626955,3200
2006-01-30,16.100000,16.540001,16.100000,16.100000,13.435023,8400
