Date,Open,High,Low,Close,Adj Close,Volume
2000-09-19,14.211776,14.942288,13.813315,14.875877,7.933462,10133896
2000-09-20,14.875877,15.938440,14.610237,15.805620,8.429304,4005034
2000-09-21,15.805620,16.137671,15.473569,15.805620,8.429304,3352367
2000-09-22,14.610237,15.008698,14.278186,14.942288,7.968880,2335015
2000-09-25,14.942288,14.942288,14.543827,14.743057,7.862628,1958002
2000-09-26,14.809467,14.942288,13.946135,14.012545,7.473038,2667984
2000-09-27,14.278186,14.610237,13.879725,14.012545,7.473038,2592600
2000-09-28,13.547674,13.879725,13.149213,13.547674,7.225118,1319169
2000-09-29,12.949983,13.016393,12.551522,12.617932,6.729277,1431069
2000-10-02,12.617932,12.617932,11.156908,11.289728,6.020932,1962143
2000-10-03,11.953830,12.153061,10.957678,11.223318,5.985514,2275442
2000-10-04,11.024088,12.086650,10.359986,11.621779,6.198017,1574589
2000-10-05,12.418701,13.016393,12.153061,13.016393,6.941779,2514487
2000-10-06,13.680494,14.543827,13.614084,13.813315,7.366787,2584789
2000-10-09,13.348444,13.547674,12.949983,13.282033,7.083447,1422034
2000-10-10,13.149213,13.215623,12.153061,12.219471,6.516773,1871607
2000-10-11,11.821010,12.219471,11.621779,11.887420,6.339686,1970896
2000-10-12,11.953830,12.020240,11.688189,11.821010,6.304269,871478
2000-10-13,11.688189,12.617932,11.555369,12.551522,6.693860,1607905
2000-10-16,11.887420,11.887420,10.094345,10.492806,5.595925,1005776
2000-10-17,10.625627,10.625627,10.027935,10.492806,5.595925,865172
2000-10-18,9.629474,10.492806,9.231013,10.160756,5.418838,926439
2000-10-19,11.156908,12.352291,10.758447,11.754600,6.268853,2698947
2000-10-20,11.555369,12.352291,11.555369,12.153061,6.481356,3152379
2000-10-23,12.418701,12.485111,11.754600,12.485111,6.658442,1072125
2000-10-24,13.082803,13.614084,13.016393,13.547674,7.225118,1664937
2000-10-25,13.348444,13.614084,12.883572,13.016393,6.941779,1153250
2000-10-26,12.883572,13.215623,12.485111,13.082803,6.977196,783201
2000-10-27,12.352291,12.485111,11.621779,11.754600,6.268853,1043609
2000-10-30,10.957678,11.488959,10.692037,11.356139,6.056349,856044
2000-10-31,11.223318,12.219471,11.156908,12.086650,6.445938,1051044
2000-11-01,11.621779,11.953830,11.555369,11.953830,6.375103,1201059
2000-11-02,12.485111,13.149213,12.485111,13.149213,7.012614,920887
2000-11-03,13.680494,13.879725,13.414854,13.481264,7.189700,1345050
2000-11-06,13.680494,14.344596,13.680494,14.278186,7.614708,1682630
2000-11-07,14.942288,14.942288,14.344596,14.610237,7.791794,1473701
2000-11-08,14.743057,14.743057,13.879725,14.078955,7.508454,1493653
2000-11-09,13.414854,13.614084,13.348444,13.614084,7.260535,2018328
2000-11-10,13.414854,13.414854,12.418701,12.551522,6.693860,1157579
2000-11-13,11.688189,12.086650,11.289728,11.953830,6.375103,1373190
2000-11-14,12.617932,12.883572,12.551522,12.617932,6.729277,1160214
2000-11-15,12.418701,12.617932,12.086650,12.352291,6.587607,596859
2000-11-16,10.492806,11.156908,10.492806,10.692037,5.702176,1894006
2000-11-17,10.692037,10.957678,10.359986,10.625627,5.666759,726263
2000-11-20,9.430244,9.828705,9.363834,9.629474,5.135499,1414411
2000-11-21,10.094345,10.293576,9.895115,10.293576,5.489673,1436527
2000-11-22,9.895115,9.895115,9.563064,9.695884,5.170917,837221
2000-11-24,10.492806,10.824857,10.492806,10.824857,5.773010,1223175
2000-11-27,10.625627,10.625627,10.293576,10.359986,5.525090,563920
2000-11-28,10.227166,10.227166,9.961525,10.094345,5.383420,894724
2000-11-29,9.961525,10.027935,9.629474,9.762295,5.206335,425198
2000-11-30,9.762295,9.762295,9.031783,9.098193,4.852162,806823
2000-12-01,9.363834,10.160756,9.363834,9.563064,5.100083,922110
2000-12-04,9.164603,9.430244,9.098193,9.164603,4.887580,516299
2000-12-05,9.496654,10.027935,9.430244,9.961525,5.312586,2149520
2000-12-06,9.695884,9.695884,8.832552,9.031783,4.816745,1421375
2000-12-07,9.297423,9.496654,9.098193,9.231013,4.922997,859338
2000-12-08,9.563064,10.359986,9.363834,10.227166,5.454257,3499182
2000-12-11,10.227166,10.426396,9.895115,10.426396,5.560507,1086336
2000-12-12,10.426396,10.426396,10.027935,10.094345,5.383420,543215
2000-12-13,10.160756,10.227166,9.695884,9.828705,5.241753,677137
2000-12-14,9.563064,9.762295,9.496654,9.563064,5.100083,415787
2000-12-15,9.629474,9.629474,9.297423,9.430244,5.029248,703017
2000-12-18,9.430244,9.430244,9.164603,9.231013,4.922997,487783
2000-12-19,9.164603,9.231013,8.367681,8.500501,4.533406,973025
2000-12-20,7.769990,8.234861,7.769990,8.102040,4.320903,1172448
2000-12-21,8.102040,8.102040,7.504349,7.902810,4.214652,775390
2000-12-22,8.367681,8.766142,8.234861,8.500501,4.533406,894818
2000-12-26,8.234861,8.500501,8.234861,8.367681,4.462572,337110
2000-12-27,8.234861,8.699732,8.234861,8.699732,4.639658,709699
2000-12-28,8.898962,9.363834,8.633322,8.766142,4.675075,1228257
2000-12-29,8.699732,8.898962,8.500501,8.766142,4.675075,731910
2001-01-02,9.164603,9.297423,8.766142,8.766142,4.675075,928698
2001-01-03,8.766142,10.094345,8.434091,9.695884,5.170917,2384612
2001-01-04,9.563064,9.895115,9.563064,9.563064,5.100083,1180166
2001-01-05,9.762295,10.094345,9.762295,9.961525,5.312586,611823
2001-01-08,9.828705,9.828705,9.430244,9.496654,5.064666,839009
2001-01-09,9.762295,10.426396,9.762295,10.426396,5.560507,1263361
2001-01-10,10.426396,10.559217,10.293576,10.359986,5.525090,1042668
2001-01-11,10.094345,10.559217,10.027935,10.492806,5.595925,1094806
2001-01-12,10.625627,10.957678,10.426396,10.824857,5.773010,1329710
2001-01-16,11.422549,11.422549,10.824857,10.891267,5.808427,1504476
2001-01-17,11.621779,11.953830,11.422549,11.887420,6.339686,1535909
2001-01-18,11.953830,12.883572,11.754600,12.883572,6.870944,3288653
2001-01-19,13.282033,13.282033,12.949983,13.082803,6.977196,1911040
2001-01-22,13.016393,13.016393,12.551522,12.684342,6.764693,1143274
2001-01-23,12.219471,12.883572,12.219471,12.750752,6.800110,797694
2001-01-24,12.817162,13.016393,12.684342,12.750752,6.800110,940274
2001-01-25,12.750752,12.750752,11.953830,12.219471,6.516773,3575601
2001-01-26,11.422549,11.621779,11.289728,11.488959,6.127183,3306064
2001-01-29,11.220662,11.475677,10.965647,11.475677,6.120099,1095559
2001-01-30,11.847574,12.123840,11.751943,11.953830,6.375103,980460
2001-01-31,12.463860,12.772003,12.315101,12.559491,6.698109,2826563
2001-02-01,11.953830,12.113214,11.688189,11.900702,6.346769,1684795
2001-02-02,11.953830,12.006958,11.794446,11.953830,6.375103,1676607
2001-02-05,11.528805,11.528805,10.838139,10.859391,5.791429,1631057
2001-02-06,10.413114,10.413114,10.083720,10.104971,5.389089,2548744
2001-02-07,10.200602,10.200602,9.616192,9.754325,5.202084,2476466
2001-02-08,10.253730,10.625627,10.221853,10.476868,5.587424,2040068
2001-02-09,10.381237,10.455617,10.221853,10.253730,5.468422,750450
2001-02-12,10.444991,10.785011,10.413114,10.710632,5.712093,1013870
2001-02-13,11.210036,11.528805,11.210036,11.273790,6.012431,2299723
2001-02-14,10.891267,11.794446,10.891267,11.645687,6.210768,2618763
2001-02-15,12.006958,12.708250,11.900702,12.665747,6.754776,2062278
2001-02-16,11.688189,12.113214,11.581933,11.953830,6.375103,1453185
2001-02-20,12.272599,12.272599,11.475677,11.507554,6.137101,1285007
2001-02-21,11.581933,11.762569,11.316292,11.518179,6.142766,990059
2001-02-22,10.965647,11.358795,10.806262,11.210036,5.978431,1791236
2001-02-23,10.753134,10.870016,10.604375,10.838139,5.780095,723722
2001-02-26,10.838139,10.955021,10.625627,10.731883,5.723427,571731
2001-02-27,10.763760,10.816888,10.519370,10.604375,5.655426,654550
2001-02-28,10.615001,10.710632,10.179350,10.211227,5.445755,956179
2001-03-01,9.775577,9.775577,9.138039,9.435557,5.032082,2054279
2001-03-02,9.456808,10.413114,9.371803,10.083720,5.377755,1401141
2001-03-05,10.094345,10.625627,10.094345,10.413114,5.553424,557049
2001-03-06,10.838139,11.486303,10.583124,11.210036,5.978431,1468149
2001-03-07,11.220662,11.220662,10.731883,10.923144,5.825428,1027139
2001-03-08,10.731883,10.838139,10.636252,10.806262,5.763094,1122757
2001-03-09,10.700006,10.700006,10.466242,10.466242,5.581757,1179130
2001-03-12,10.253730,10.413114,9.871207,9.956212,5.309753,1408482
2001-03-13,10.413114,10.880642,10.413114,10.848765,5.785760,1315687
2001-03-14,10.147474,10.731883,10.147474,10.434365,5.564757,1592471
2001-03-15,10.965647,11.135657,10.678755,10.678755,5.695093,1354744
2001-03-16,10.678755,10.838139,10.519370,10.604375,5.655426,776142
2001-03-19,10.359986,10.466242,10.274981,10.413114,5.553424,500488
2001-03-20,10.359986,10.413114,9.775577,9.934961,5.298419,794400
2001-03-21,10.041217,10.200602,9.924335,9.924335,5.292752,634127
2001-03-22,9.934961,10.519370,9.892459,10.413114,5.553424,1886948
2001-03-23,10.625627,10.838139,10.519370,10.731883,5.723427,1994235
2001-03-26,10.731883,10.785011,10.519370,10.519370,5.610091,375413
2001-03-27,10.147474,10.359986,10.083720,10.253730,5.468422,1129251
2001-03-28,9.988089,10.359986,9.966838,10.147474,5.411755,1202941
2001-03-29,10.041217,10.466242,10.041217,10.200602,5.440088,725981
2001-03-30,10.306858,10.306858,9.924335,9.945587,5.304087,732851
2001-04-02,9.563064,9.616192,8.925526,8.978655,4.788412,1614211
2001-04-03,8.978655,9.042408,8.553630,8.553630,4.561742,1916310
2001-04-04,8.691763,8.819270,8.564255,8.574881,4.573075,1624751
2001-04-05,8.925526,9.403680,8.925526,9.403680,5.015082,2742803
2001-04-06,9.191167,9.191167,9.042408,9.063660,4.833746,820940
2001-04-09,9.063660,9.063660,8.617383,8.659886,4.618409,866208
2001-04-10,8.713014,9.244295,8.713014,9.244295,4.930080,1482830
2001-04-11,9.775577,9.988089,9.616192,9.828705,5.241753,2099735
2001-04-12,9.775577,9.966838,9.594941,9.934961,5.298419,2220387
2001-04-16,9.860582,9.860582,9.509936,9.531187,5.083082,641468
2001-04-17,9.244295,9.637443,9.244295,9.563064,5.100083,1257432
2001-04-18,9.966838,11.688189,9.966838,11.348169,6.052099,4914440
2001-04-19,11.050652,11.050652,10.763760,10.933770,5.831095,2612364
2001-04-20,10.838139,10.838139,10.359986,10.455617,5.576091,922487
2001-04-23,10.147474,10.306858,9.860582,9.881833,5.270085,1589083
2001-04-24,9.934961,10.402489,9.934961,10.094345,5.383420,1172166
2001-04-25,10.094345,10.413114,9.881833,10.370612,5.530757,815575
2001-04-26,10.678755,10.753134,10.572499,10.721257,5.717761,3030127
2001-04-27,10.689381,10.933770,10.519370,10.901893,5.814094,1462596
2001-04-30,10.997524,12.198220,10.997524,11.677564,6.227768,2506487
2001-05-01,11.677564,11.943204,11.263164,11.943204,6.369437,1466078
2001-05-02,11.794446,11.805071,11.380046,11.380046,6.069099,3568637
2001-05-03,10.838139,11.156908,10.838139,11.156908,5.950098,1277948
2001-05-04,10.200602,11.199411,10.200602,10.944396,5.836762,1774107
2001-05-07,10.944396,11.263164,10.944396,11.135657,5.938765,785554
