Date,Open,High,Low,Close,Adj Close,Volume
1988-06-22,0.000000,4.750000,4.625000,4.625000,2.751615,18200
1988-06-23,0.000000,4.500000,4.250000,4.250000,2.528511,51100
1988-06-24,0.000000,4.375000,4.375000,4.375000,2.602879,11800
1988-06-27,0.000000,4.375000,4.250000,4.250000,2.528511,13200
1988-06-28,0.000000,4.250000,4.000000,4.000000,2.379774,16200
1988-06-29,0.000000,4.250000,4.125000,4.125000,2.454142,8900
1988-06-30,0.000000,4.500000,4.375000,4.375000,2.602879,47300
1988-07-01,0.000000,4.875000,4.750000,4.750000,2.825983,29100
1988-07-05,0.000000,4.875000,4.625000,4.625000,2.751615,14000
1988-07-06,0.000000,4.625000,4.500000,4.500000,2.677247,20000
1988-07-07,0.000000,4.625000,4.500000,4.500000,2.677247,6900
1988-07-08,0.000000,4.500000,4.375000,4.375000,2.602879,9300
1988-07-11,0.000000,4.500000,4.375000,4.375000,2.602879,31400
1988-07-12,0.000000,4.625000,4.375000,4.375000,2.602879,3600
1988-07-13,0.000000,4.625000,4.500000,4.500000,2.677247,2800
1988-07-14,0.000000,4.625000,4.375000,4.375000,2.602879,26400
1988-07-15,0.000000,4.625000,4.375000,4.375000,2.602879,13000
1988-07-18,0.000000,4.500000,4.250000,4.250000,2.528511,10500
1988-07-19,0.000000,4.375000,4.125000,4.125000,2.454142,7500
1988-07-20,0.000000,4.125000,3.875000,3.875000,2.305407,31400
1988-07-21,0.000000,4.125000,4.000000,4.000000,2.379774,13200
1988-07-22,0.000000,4.125000,3.875000,3.875000,2.305407,21100
1988-07-25,0.000000,4.125000,3.875000,3.875000,2.305407,2000
1988-07-26,0.000000,4.000000,3.875000,3.875000,2.305407,26900
1988-07-27,0.000000,4.000000,3.875000,3.875000,2.305407,1900
1988-07-28,0.000000,4.000000,3.875000,3.875000,2.305407,10300
1988-07-29,0.000000,4.000000,3.875000,3.875000,2.305407,14200
1988-08-01,0.000000,4.125000,4.000000,4.000000,2.379774,19700
1988-08-02,0.000000,4.125000,3.875000,3.875000,2.305407,17500
1988-08-03,0.000000,4.000000,3.750000,3.750000,2.231039,33600
1988-08-04,0.000000,3.875000,3.625000,3.625000,2.156671,1300
1988-08-05,0.000000,3.875000,3.750000,3.750000,2.231039,2900
1988-08-08,0.000000,3.875000,3.750000,3.750000,2.231039,9400
1988-08-09,0.000000,3.625000,3.500000,3.500000,2.082303,26000
1988-08-10,0.000000,3.375000,3.250000,3.250000,1.933566,41100
1988-08-11,0.000000,3.500000,3.375000,3.375000,2.007934,8900
1988-08-12,0.000000,3.500000,3.375000,3.375000,2.007934,2000
1988-08-15,0.000000,3.375000,3.250000,3.250000,1.933566,12500
1988-08-16,0.000000,3.375000,3.125000,3.125000,1.859199,13700
1988-08-17,0.000000,2.875000,2.750000,2.750000,1.636095,43200
1988-08-18,0.000000,2.875000,2.750000,2.750000,1.636095,15500
1988-08-19,0.000000,2.875000,2.750000,2.750000,1.636095,13400
1988-08-22,0.000000,2.750000,2.625000,2.625000,1.561727,12400
1988-08-23,0.000000,2.875000,2.750000,2.750000,1.636095,21500
1988-08-24,0.000000,2.750000,2.625000,2.625000,1.561727,5500
1988-08-25,0.000000,2.750000,2.625000,2.625000,1.561727,800
1988-08-26,0.000000,2.875000,2.875000,2.875000,1.710463,14500
1988-08-29,0.000000,2.875000,2.750000,2.750000,1.636095,3900
1988-08-30,0.000000,2.875000,2.750000,2.750000,1.636095,1000
1988-08-31,0.000000,2.875000,2.750000,2.750000,1.636095,6200
1988-09-01,2.750000,2.750000,2.750000,2.750000,1.636095,0
1988-09-02,0.000000,2.875000,2.750000,2.750000,1.636095,400
1988-09-06,0.000000,2.875000,2.750000,2.750000,1.636095,7300
1988-09-07,0.000000,2.500000,2.375000,2.375000,1.412991,16400
1988-09-08,0.000000,3.000000,2.875000,2.875000,1.710463,102000
1988-09-09,0.000000,3.250000,3.250000,3.250000,1.933566,143900
1988-09-12,0.000000,3.250000,3.125000,3.125000,1.859199,10300
1988-09-13,0.000000,3.000000,2.875000,2.875000,1.710463,15500
1988-09-14,0.000000,3.125000,3.000000,3.000000,1.784831,18700
1988-09-15,0.000000,3.000000,3.000000,3.000000,1.784831,11100
1988-09-16,0.000000,3.125000,3.125000,3.125000,1.859199,11500
1988-09-19,0.000000,3.125000,3.000000,3.000000,1.784831,13100
1988-09-20,0.000000,3.125000,3.000000,3.000000,1.784831,7000
1988-09-21,0.000000,3.125000,3.000000,3.000000,1.784831,6700
1988-09-22,0.000000,3.000000,2.875000,2.875000,1.710463,9900
1988-09-23,0.000000,3.000000,2.875000,2.875000,1.710463,5900
1988-09-26,0.000000,3.000000,2.875000,2.875000,1.710463,2300
1988-09-27,0.000000,3.000000,2.750000,2.750000,1.636095,12400
1988-09-28,0.000000,3.000000,2.750000,2.750000,1.636095,2500
1988-09-29,0.000000,2.875000,2.750000,2.750000,1.636095,5600
1988-09-30,0.000000,2.750000,2.625000,2.625000,1.561727,17600
1988-10-03,0.000000,2.750000,2.500000,2.500000,1.487359,15500
1988-10-04,0.000000,2.750000,2.625000,2.625000,1.561727,2900
1988-10-05,0.000000,2.750000,2.500000,2.500000,1.487359,8600
1988-10-06,0.000000,2.625000,2.625000,2.625000,1.561727,19800
1988-10-07,0.000000,2.625000,2.500000,2.500000,1.487359,19100
1988-10-10,0.000000,2.500000,2.375000,2.375000,1.412991,25600
1988-10-11,0.000000,2.500000,2.375000,2.375000,1.412991,69700
1988-10-12,0.000000,2.500000,2.375000,2.375000,1.412991,7100
1988-10-13,0.000000,2.375000,2.250000,2.250000,1.338623,22500
1988-10-14,0.000000,2.500000,2.375000,2.375000,1.412991,12700
1988-10-17,0.000000,2.375000,2.250000,2.250000,1.338623,17200
1988-10-18,0.000000,2.375000,2.250000,2.250000,1.338623,7100
1988-10-19,0.000000,2.250000,2.250000,2.250000,1.338623,11100
1988-10-20,0.000000,2.500000,2.375000,2.375000,1.412991,13000
1988-10-21,0.000000,2.375000,2.375000,2.375000,1.412991,11400
1988-10-24,0.000000,2.375000,2.250000,2.250000,1.338623,18300
1988-10-25,0.000000,2.375000,2.250000,2.250000,1.338623,28700
1988-10-26,0.000000,2.375000,2.250000,2.250000,1.338623,5800
1988-10-27,0.000000,2.375000,2.250000,2.250000,1.338623,11200
1988-10-28,0.000000,2.375000,2.375000,2.375000,1.412991,26800
1988-10-31,0.000000,2.750000,2.625000,2.625000,1.561727,50000
1988-11-01,0.000000,3.125000,3.000000,3.000000,1.784831,69000
1988-11-02,0.000000,3.125000,3.000000,3.000000,1.784831,47500
1988-11-03,0.000000,3.375000,3.250000,3.250000,1.933566,39400
1988-11-04,0.000000,3.375000,3.250000,3.250000,1.933566,32000
1988-11-07,0.000000,3.125000,3.125000,3.125000,1.859199,33800
1988-11-08,0.000000,3.000000,3.000000,3.000000,1.784831,23500
1988-11-09,0.000000,3.000000,2.875000,2.875000,1.710463,36000
1988-11-10,0.000000,2.875000,2.750000,2.750000,1.636095,19200
1988-11-11,0.000000,2.750000,2.625000,2.625000,1.561727,44400
1988-11-14,0.000000,2.750000,2.625000,2.625000,1.561727,14600
1988-11-15,0.000000,2.750000,2.625000,2.625000,1.561727,31000
1988-11-16,0.000000,2.875000,2.750000,2.750000,1.636095,31400
1988-11-17,0.000000,2.750000,2.750000,2.750000,1.636095,19100
1988-11-18,0.000000,2.750000,2.625000,2.625000,1.561727,10800
1988-11-21,0.000000,2.625000,2.625000,2.625000,1.561727,13100
1988-11-22,2.625000,2.625000,2.625000,2.625000,1.561727,0
1988-11-23,0.000000,2.625000,2.625000,2.625000,1.561727,2000
1988-11-25,0.000000,2.625000,2.625000,2.625000,1.561727,500
1988-11-28,2.625000,2.625000,2.625000,2.625000,1.561727,0
1988-11-29,0.000000,2.625000,2.500000,2.500000,1.487359,5900
1988-11-30,0.000000,2.625000,2.625000,2.625000,1.561727,15200
1988-12-01,0.000000,2.625000,2.625000,2.625000,1.561727,16600
1988-12-02,0.000000,2.625000,2.500000,2.500000,1.487359,3600
1988-12-05,2.500000,2.500000,2.500000,2.500000,1.487359,0
1988-12-06,2.500000,2.500000,2.500000,2.500000,1.487359,0
1988-12-07,0.000000,2.625000,2.500000,2.500000,1.487359,3600
1988-12-08,0.000000,2.625000,2.500000,2.500000,1.487359,3400
1988-12-09,0.000000,2.625000,2.375000,2.375000,1.412991,9300
1988-12-12,0.000000,2.500000,2.375000,2.375000,1.412991,600
1988-12-13,0.000000,2.500000,2.375000,2.375000,1.412991,3300
1988-12-14,0.000000,2.375000,2.250000,2.250000,1.338623,13500
1988-12-15,0.000000,2.375000,2.250000,2.250000,1.338623,9700
1988-12-16,0.000000,2.375000,2.375000,2.375000,1.412991,14400
1988-12-19,0.000000,2.375000,2.250000,2.250000,1.338623,7600
1988-12-20,0.000000,2.375000,2.250000,2.250000,1.338623,9800
1988-12-21,0.000000,2.375000,2.250000,2.250000,1.338623,9100
1988-12-22,0.000000,2.375000,2.250000,2.250000,1.338623,9000
1988-12-23,0.000000,2.500000,2.375000,2.375000,1.412991,8800
1988-12-27,0.000000,2.500000,2.375000,2.375000,1.412991,7600
1988-12-28,0.000000,2.500000,2.500000,2.500000,1.487359,12100
1988-12-29,0.000000,2.625000,2.500000,2.500000,1.487359,22000
1988-12-30,0.000000,2.500000,2.375000,2.375000,1.412991,12300
1989-01-03,0.000000,2.500000,2.375000,2.375000,1.412991,600
1989-01-04,0.000000,2.500000,2.375000,2.375000,1.412991,10700
1989-01-05,0.000000,2.625000,2.500000,2.500000,1.487359,7300
1989-01-06,0.000000,2.625000,2.500000,2.500000,1.487359,9500
1989-01-09,0.000000,2.625000,2.500000,2.500000,1.487359,5500
1989-01-10,0.000000,2.875000,2.750000,2.750000,1.636095,46500
1989-01-11,0.000000,3.250000,3.125000,3.125000,1.859199,44900
1989-01-12,0.000000,3.250000,3.125000,3.125000,1.859199,37000
1989-01-13,0.000000,3.125000,3.000000,3.000000,1.784831,24200
1989-01-16,0.000000,3.000000,3.000000,3.000000,1.784831,14000
1989-01-17,0.000000,3.000000,2.875000,2.875000,1.710463,13300
1989-01-18,0.000000,3.000000,2.875000,2.875000,1.710463,6000
1989-01-19,0.000000,3.000000,2.875000,2.875000,1.710463,7500
1989-01-20,0.000000,3.125000,3.000000,3.000000,1.784831,6700
1989-01-23,0.000000,3.125000,3.000000,3.000000,1.784831,4400
1989-01-24,0.000000,3.000000,3.000000,3.000000,1.784831,500
1989-01-25,0.000000,3.000000,2.875000,2.875000,1.710463,3400
1989-01-26,0.000000,3.000000,3.000000,3.000000,1.784831,11300
1989-01-27,0.000000,3.125000,3.000000,3.000000,1.784831,8200
1989-01-30,0.000000,3.250000,3.000000,3.000000,1.784831,42900
1989-01-31,0.000000,3.125000,3.000000,3.000000,1.784831,6500
1989-02-01,0.000000,3.250000,3.125000,3.125000,1.859199,7700
1989-02-02,0.000000,3.250000,3.125000,3.125000,1.859199,5200
1989-02-03,0.000000,3.250000,3.125000,3.125000,1.859199,10100
1989-02-06,0.000000,3.250000,3.125000,3.125000,1.859199,1200
1989-02-07,0.000000,3.125000,3.125000,3.125000,1.859199,17700
1989-02-08,0.000000,3.125000,3.000000,3.000000,1.784831,16400
1989-02-09,0.000000,3.125000,2.875000,2.875000,1.710463,12900
1989-02-10,0.000000,2.875000,2.750000,2.750000,1.636095,15000
1989-02-13,0.000000,2.625000,2.625000,2.625000,1.561727,20400
1989-02-14,0.000000,2.625000,2.625000,2.625000,1.561727,26500
1989-02-15,0.000000,2.625000,2.625000,2.625000,1.561727,600
1989-02-16,0.000000,2.625000,2.625000,2.625000,1.561727,4000
1989-02-17,0.000000,2.625000,2.625000,2.625000,1.561727,100
1989-02-21,0.000000,2.625000,2.625000,2.625000,1.561727,7200
1989-02-22,0.000000,2.625000,2.625000,2.625000,1.561727,6200
1989-02-23,0.000000,2.625000,2.625000,2.625000,1.561727,3000
1989-02-24,0.000000,2.625000,2.500000,2.500000,1.487359,2200
1989-02-27,0.000000,2.500000,2.375000,2.375000,1.412991,12700
1989-02-28,0.000000,2.375000,2.375000,2.375000,1.412991,15400
1989-03-01,0.000000,2.375000,2.375000,2.375000,1.412991,8300
1989-03-02,0.000000,2.375000,2.375000,2.375000,1.412991,5300
1989-03-03,0.000000,2.625000,2.500000,2.500000,1.487359,19100
1989-03-06,0.000000,2.625000,2.500000,2.500000,1.487359,1300
1989-03-07,0.000000,2.500000,2.375000,2.375000,1.412991,11600
1989-03-08,0.000000,2.500000,2.375000,2.375000,1.412991,11800
1989-03-09,0.000000,2.500000,2.375000,2.375000,1.412991,600
1989-03-10,0.000000,2.500000,2.375000,2.375000,1.412991,9000
1989-03-13,0.000000,2.375000,2.375000,2.375000,1.412991,6700
1989-03-14,0.000000,2.375000,2.250000,2.250000,1.338623,11100
1989-03-15,0.000000,2.375000,2.250000,2.250000,1.338623,2800
1989-03-16,0.000000,2.500000,2.500000,2.500000,1.487359,19000
1989-03-17,0.000000,2.625000,2.500000,2.500000,1.487359,8700
1989-03-20,0.000000,2.500000,2.375000,2.375000,1.412991,12400
1989-03-21,0.000000,2.625000,2.500000,2.500000,1.487359,22000
