Date,Open,High,Low,Close,Adj Close,Volume
2020-08-11,0.110091,1.607618,0.110006,1.570353,1.570353,211232756
2020-08-12,null,null,null,null,null,null
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,1.668017,1.839135,1.532143,1.733382,1.733382,47218212
2020-08-17,1.733382,1.780401,1.633751,1.647844,1.647844,26711020
2020-08-18,1.648155,1.791127,1.538731,1.676238,1.676238,59646882
2020-08-19,1.675475,1.768699,1.569086,1.601100,1.601100,52195082
2020-08-20,1.601100,1.786565,1.598678,1.778626,1.778626,54365123
2020-08-21,1.776431,1.777463,1.515610,1.524648,1.524648,56154583
2020-08-22,1.522237,1.568174,1.445475,1.544729,1.544729,47508018
2020-08-23,1.544476,1.596468,1.476422,1.536587,1.536587,44221341
2020-08-24,1.536061,1.843875,1.507004,1.837052,1.837052,107252669
2020-08-25,1.837398,1.873188,1.593054,1.678334,1.678334,55963662
2020-08-26,1.679770,2.101911,1.653947,2.077722,2.077722,110752817
2020-08-27,2.078777,2.581211,2.035109,2.538614,2.538614,233481850
2020-08-28,2.537552,2.791148,2.350005,2.419015,2.419015,188296870
2020-08-29,2.417932,2.963315,2.296960,2.854531,2.854531,179158020
2020-08-30,2.832918,2.968682,2.668987,2.888177,2.888177,178546026
2020-08-31,2.886141,3.584402,2.635956,3.317433,3.317433,233025389
2020-09-01,3.316964,3.775992,3.145533,3.147892,3.147892,232297393
2020-09-02,3.135843,3.652699,2.786688,3.619802,3.619802,237881924
2020-09-03,3.608183,3.608183,2.873352,2.925446,2.925446,164281546
2020-09-04,2.923461,3.253227,2.574892,2.908280,2.908280,132477344
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null
2020-09-09,null,null,null,null,null,null
2020-09-10,null,null,null,null,null,null
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null
2020-09-20,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null
2020-09-22,1.746863,1.879806,1.671031,1.859199,1.859199,67202508
2020-09-23,1.859185,1.897066,1.747514,1.752961,1.752961,52590817
2020-09-24,1.752883,1.987361,1.744842,1.977141,1.977141,56749846
2020-09-25,1.977950,2.040608,1.840099,1.971969,1.971969,81216955
2020-09-26,1.972109,2.001630,1.863479,1.901772,1.901772,46957685
2020-09-27,1.901772,1.925968,1.817580,1.879481,1.879481,32528185
2020-09-28,1.879481,1.891968,1.780731,1.789689,1.789689,33752129
2020-09-29,1.788427,1.808324,1.723166,1.780687,1.780687,31151053
2020-09-30,1.779623,1.881182,1.684956,1.846881,1.846881,44306241
2020-10-01,1.846881,1.917364,1.690915,1.781014,1.781014,63244041
2020-10-02,null,null,null,null,null,null
