Date,Open,High,Low,Close,Adj Close,Volume
2019-10-03,0.019197,0.019561,0.017522,0.017554,0.017554,888009
2019-10-04,0.017548,0.019303,0.017405,0.018401,0.018401,996727
2019-10-05,0.018401,0.018401,0.016738,0.017317,0.017317,937601
2019-10-06,0.017316,0.017341,0.013174,0.013625,0.013625,731180
2019-10-07,0.013625,0.018663,0.013006,0.014740,0.014740,556896
2019-10-08,0.014732,0.014859,0.012841,0.014243,0.014243,562702
2019-10-09,0.014242,0.014242,0.011674,0.012615,0.012615,508531
2019-10-10,0.012612,0.013660,0.012413,0.012936,0.012936,575512
2019-10-11,0.012924,0.013173,0.012436,0.012453,0.012453,496064
2019-10-12,0.012432,0.012966,0.012393,0.012804,0.012804,399651
2019-10-13,0.012799,0.012892,0.011931,0.012099,0.012099,356037
2019-10-14,0.012099,0.012985,0.011831,0.012618,0.012618,371422
2019-10-15,0.012614,0.012638,0.012203,0.012306,0.012306,446576
2019-10-16,0.012306,0.019542,0.011618,0.014021,0.014021,591609
2019-10-17,0.014012,0.015017,0.012955,0.014559,0.014559,386716
2019-10-18,0.014568,0.015509,0.014201,0.015197,0.015197,358575
2019-10-19,0.015198,0.016614,0.015159,0.016397,0.016397,431113
2019-10-20,0.016428,0.018684,0.016283,0.017575,0.017575,518006
2019-10-21,0.017563,0.019711,0.016372,0.017524,0.017524,661351
2019-10-22,0.017525,0.018281,0.017308,0.017753,0.017753,534666
2019-10-23,0.017753,0.018645,0.016527,0.017298,0.017298,605503
2019-10-24,0.017145,0.024248,0.016810,0.021732,0.021732,1306961
2019-10-25,0.021732,0.022923,0.019018,0.020745,0.020745,1910503
2019-10-26,0.020723,0.025066,0.018509,0.022951,0.022951,1994456
2019-10-27,0.022951,0.025646,0.022638,0.024058,0.024058,2070949
2019-10-28,0.024047,0.025721,0.023929,0.024062,0.024062,2427538
2019-10-29,0.024062,0.024483,0.022958,0.023198,0.023198,2241251
2019-10-30,0.023211,0.024747,0.021645,0.023077,0.023077,2216510
2019-10-31,0.022979,0.026687,0.021029,0.023816,0.023816,1602703
2019-11-01,0.023827,0.028612,0.021811,0.026388,0.026388,2638107
2019-11-02,0.026388,0.027517,0.025078,0.025805,0.025805,2326645
2019-11-03,0.025818,0.029571,0.025737,0.028121,0.028121,2639586
2019-11-04,0.028110,0.032414,0.026486,0.029986,0.029986,2441169
2019-11-05,0.029986,0.032864,0.029310,0.030079,0.030079,2755901
2019-11-06,0.030044,0.031592,0.027204,0.027843,0.027843,2479436
2019-11-07,0.027835,0.032111,0.027049,0.028500,0.028500,1380455
2019-11-08,0.028496,0.030480,0.028290,0.029374,0.029374,1145542
2019-11-09,0.029374,0.032054,0.028953,0.029550,0.029550,1435194
2019-11-10,0.029582,0.032741,0.029521,0.032218,0.032218,2991849
2019-11-11,0.032218,0.034971,0.030217,0.030227,0.030227,2197620
2019-11-12,0.030233,0.034181,0.030211,0.032832,0.032832,2772011
2019-11-13,0.032829,0.032851,0.030287,0.030899,0.030899,2483968
2019-11-14,0.030901,0.032054,0.029866,0.029866,0.029866,2800263
2019-11-15,0.029891,0.030572,0.026128,0.028528,0.028528,2532929
2019-11-16,0.028544,0.030055,0.027108,0.027849,0.027849,2253252
2019-11-17,0.027849,0.031528,0.027670,0.030498,0.030498,2625528
2019-11-18,0.030493,0.030983,0.029280,0.029652,0.029652,3286216
2019-11-19,0.029654,0.030803,0.028676,0.029693,0.029693,3444451
2019-11-20,0.029693,0.030176,0.029098,0.029321,0.029321,3694621
2019-11-21,0.029324,0.029974,0.025904,0.028470,0.028470,2234720
2019-11-22,0.028509,0.028855,0.025777,0.027003,0.027003,1897260
2019-11-23,0.026958,0.027042,0.025040,0.026721,0.026721,2279760
2019-11-24,0.026746,0.073681,0.025076,0.041465,0.041465,2689462
2019-11-25,0.041523,0.041718,0.023799,0.025473,0.025473,1147941
2019-11-26,0.025446,0.025609,0.023003,0.024083,0.024083,1175336
2019-11-27,0.023945,0.025363,0.023309,0.024497,0.024497,1125686
2019-11-28,0.024481,0.025050,0.023162,0.023544,0.023544,1033087
2019-11-29,0.023521,0.024682,0.023199,0.024378,0.024378,1125233
2019-11-30,0.024378,0.024822,0.023912,0.024105,0.024105,880368
2019-12-01,0.024104,0.024496,0.023179,0.023290,0.023290,1128494
2019-12-02,0.023436,0.024073,0.023031,0.023917,0.023917,1246044
2019-12-03,0.023908,0.024256,0.023467,0.024006,0.024006,1196932
2019-12-04,0.024001,0.025501,0.023236,0.024549,0.024549,1289460
2019-12-05,0.024549,0.025950,0.023973,0.024660,0.024660,1084102
2019-12-06,0.024677,0.025636,0.024341,0.024646,0.024646,1170386
2019-12-07,0.024650,0.025039,0.023509,0.023590,0.023590,1337692
2019-12-08,0.023590,0.024826,0.023257,0.024251,0.024251,1146800
