Date,Open,High,Low,Close,Adj Close,Volume
2020-01-31,0.310293,0.319659,0.309904,0.317522,0.317522,69165
2020-02-01,0.317662,0.328722,0.282665,0.290601,0.290601,60580
2020-02-02,0.290570,0.343505,0.267169,0.336421,0.336421,94005
2020-02-03,0.336421,0.337095,0.289473,0.297884,0.297884,13156
2020-02-04,0.297879,0.303964,0.286994,0.300377,0.300377,162434
2020-02-05,0.300377,0.337285,0.294367,0.319066,0.319066,31631
2020-02-06,0.319066,0.329805,0.308175,0.310782,0.310782,26806
2020-02-07,0.316779,0.331552,0.303762,0.316261,0.316261,42373
2020-02-08,0.316234,0.328476,0.313534,0.314933,0.314933,17154
2020-02-09,0.314933,0.319407,0.291121,0.294115,0.294115,30898
2020-02-10,0.294237,0.309598,0.251759,0.300894,0.300894,131164
2020-02-11,0.300873,0.308647,0.274405,0.303155,0.303155,17352
2020-02-12,0.303124,0.494677,0.296807,0.408817,0.408817,185435
2020-02-13,0.408817,0.420446,0.333969,0.396426,0.396426,174039
2020-02-14,0.396575,0.413175,0.332028,0.376277,0.376277,121531
2020-02-15,0.376277,0.376999,0.344765,0.361092,0.361092,39267
2020-02-16,0.361142,0.361335,0.329372,0.335784,0.335784,18045
2020-02-17,0.336036,0.357789,0.324060,0.330349,0.330349,8338
2020-02-18,0.330121,0.351044,0.293339,0.341293,0.341293,65470
2020-02-19,0.341373,0.353836,0.295492,0.305774,0.305774,19323
2020-02-20,0.305635,0.314444,0.286798,0.288690,0.288690,34791
2020-02-21,0.288547,0.328549,0.287819,0.297535,0.297535,8347
2020-02-22,0.297606,0.320451,0.289219,0.307013,0.307013,28230
2020-02-23,0.307013,0.315764,0.303438,0.311849,0.311849,2407
2020-02-24,0.312239,0.313839,0.300849,0.308895,0.308895,17304
2020-02-25,0.308868,0.308992,0.274335,0.275345,0.275345,70422
2020-02-26,0.275318,0.286236,0.244668,0.248315,0.248315,39450
2020-02-27,0.248301,0.263662,0.219763,0.263502,0.263502,53768
2020-02-28,0.263502,0.265347,0.249733,0.250755,0.250755,15582
2020-02-29,0.250694,0.262671,0.245865,0.245865,0.245865,21694
2020-03-01,0.245622,0.257602,0.237759,0.252585,0.252585,12040
2020-03-02,0.252564,0.261105,0.239363,0.260221,0.260221,13243
2020-03-03,0.260218,0.260919,0.218122,0.231630,0.231630,20204
2020-03-04,0.231614,0.244729,0.219690,0.228320,0.228320,40681
2020-03-05,0.228346,0.296389,0.226884,0.277286,0.277286,64218
2020-03-06,0.277358,0.287794,0.237171,0.272665,0.272665,17473
2020-03-07,0.272783,0.288698,0.271949,0.272406,0.272406,306944
2020-03-08,0.272406,0.288769,0.240292,0.240541,0.240541,324169
2020-03-09,0.240431,0.251000,0.225456,0.234549,0.234549,460169
2020-03-10,0.234747,0.238103,0.223953,0.233092,0.233092,432713
2020-03-11,0.233125,0.261243,0.230370,0.259934,0.259934,510377
2020-03-12,0.259932,0.260099,0.141912,0.142573,0.142573,307911
2020-03-13,0.142488,0.185196,0.125204,0.173685,0.173685,318434
2020-03-14,0.174468,0.191349,0.154147,0.156583,0.156583,352932
2020-03-15,0.156583,0.188869,0.149738,0.177779,0.177779,361667
2020-03-16,0.177743,0.178765,0.144232,0.163534,0.163534,289670
2020-03-17,0.163571,0.216155,0.162594,0.200383,0.200383,325991
2020-03-18,0.199462,0.248040,0.185467,0.231947,0.231947,519465
2020-03-19,0.231947,0.272392,0.223767,0.265951,0.265951,390834
2020-03-20,0.265850,0.281643,0.251052,0.269646,0.269646,568410
2020-03-21,0.269646,0.292939,0.260996,0.266904,0.266904,602251
2020-03-22,0.267286,0.307783,0.263357,0.264603,0.264603,580484
2020-03-23,0.264603,0.292704,0.261237,0.288291,0.288291,666566
2020-03-24,0.288226,0.314193,0.277321,0.284806,0.284806,784909
2020-03-25,0.284666,0.311431,0.276519,0.301672,0.301672,719795
2020-03-26,0.301672,0.307956,0.285060,0.307495,0.307495,725010
2020-03-27,0.307515,0.317711,0.294003,0.297914,0.297914,746659
2020-03-28,0.298110,0.341298,0.270268,0.322017,0.322017,1110921
2020-03-29,0.322067,0.329828,0.296319,0.298492,0.298492,455260
2020-03-30,0.298092,0.335846,0.289759,0.332149,0.332149,621962
2020-03-31,0.331030,0.379702,0.320222,0.378217,0.378217,801727
2020-04-01,0.378217,0.408475,0.350499,0.408475,0.408475,784307
2020-04-02,0.408272,0.581507,0.375126,0.472934,0.472934,844283
2020-04-03,0.472772,0.561058,0.442103,0.461894,0.461894,831018
2020-04-04,0.461859,0.567793,0.458539,0.554129,0.554129,797788
2020-04-05,0.554475,0.570105,0.443424,0.562645,0.562645,718945
2020-04-06,0.562555,0.574666,0.494894,0.512586,0.512586,982149
2020-04-07,0.513977,0.680043,0.513706,0.634874,0.634874,913777
2020-04-08,0.634503,0.685723,0.588061,0.644337,0.644337,1003589
2020-04-09,0.644261,0.671821,0.578510,0.581314,0.581314,1037807
2020-04-10,0.581112,0.593765,0.426985,0.504844,0.504844,243521
2020-04-11,0.504844,0.536896,0.445523,0.489320,0.489320,298135
2020-04-12,0.489492,0.492574,0.457833,0.469768,0.469768,25273864
2020-04-13,0.469266,0.473430,0.363245,0.365846,0.365846,32416393
2020-04-14,0.365846,0.366394,0.271905,0.348641,0.348641,19941881
2020-04-15,0.348472,0.374064,0.347415,0.367794,0.367794,20284131
2020-04-16,0.367793,0.405197,0.363064,0.405197,0.405197,19243058
2020-04-17,null,null,null,null,null,null
2020-04-18,0.415215,0.422940,0.401922,0.417804,0.417804,20058190
2020-04-19,0.417707,0.421272,0.402771,0.404030,0.404030,20264177
2020-04-20,0.403908,0.432799,0.389378,0.393750,0.393750,19832163
2020-04-21,0.394047,0.395671,0.386793,0.389361,0.389361,20249573
2020-04-22,0.389428,0.391091,0.377765,0.381544,0.381544,21131176
2020-04-23,0.381125,0.389827,0.370439,0.387498,0.387498,20821149
2020-04-24,0.387280,0.393077,0.370389,0.374600,0.374600,20170904
2020-04-25,0.374538,0.377358,0.366670,0.369091,0.369091,20634263
2020-04-26,0.369124,0.375244,0.319536,0.321666,0.321666,18361812
2020-04-27,0.322038,0.324310,0.298586,0.309877,0.309877,15417706
2020-04-28,0.309673,0.313582,0.305122,0.312621,0.312621,16754858
2020-04-29,0.312548,0.368373,0.311852,0.361371,0.361371,19597252
2020-04-30,0.361132,0.375404,0.356221,0.357366,0.357366,19357318
2020-05-01,0.357366,0.359499,0.337448,0.344264,0.344264,18771086
2020-05-02,0.344101,0.363283,0.343260,0.354984,0.354984,18446226
2020-05-03,0.355212,0.360200,0.338183,0.338711,0.338711,18951681
2020-05-04,0.338780,0.341342,0.326460,0.333540,0.333540,17866262
2020-05-05,0.333569,0.339642,0.330726,0.335531,0.335531,18373107
2020-05-06,0.335087,0.343630,0.328705,0.328714,0.328714,18333209
2020-05-07,0.328714,0.334222,0.317343,0.317343,0.317343,18089984
2020-05-08,0.317343,0.319057,0.299490,0.311785,0.311785,15870591
2020-05-09,0.311903,0.316540,0.305006,0.305771,0.305771,4352649
2020-05-10,0.305706,0.306915,0.272351,0.300971,0.300971,2103503
2020-05-11,0.301173,0.320977,0.294716,0.312307,0.312307,2027331
2020-05-12,0.312372,0.335886,0.311166,0.334769,0.334769,2040089
2020-05-13,0.334807,0.368098,0.334766,0.365189,0.365189,2228197
2020-05-14,0.365189,0.369534,0.302165,0.317985,0.317985,2334113
2020-05-15,0.317831,0.328224,0.301789,0.303813,0.303813,2084259
2020-05-16,0.303477,0.311875,0.301959,0.310483,0.310483,2001273
2020-05-17,0.313368,0.328456,0.312716,0.325738,0.325738,1936524
2020-05-18,0.325744,0.331280,0.309391,0.311696,0.311696,2098273
2020-05-19,0.311610,0.316251,0.303486,0.305814,0.305814,1975962
2020-05-20,0.305756,0.307394,0.249784,0.254557,0.254557,2135237
2020-05-21,0.253665,0.267296,0.249473,0.261677,0.261677,1803307
2020-05-22,0.261286,0.262941,0.247383,0.254634,0.254634,1722477
2020-05-23,0.254657,0.260133,0.251906,0.255091,0.255091,1755307
2020-05-24,0.255117,0.255900,0.242777,0.243301,0.243301,1656580
2020-05-25,0.245131,0.246243,0.231303,0.238876,0.238876,1656613
2020-05-26,0.239032,0.239775,0.224139,0.225883,0.225883,1712380
2020-05-27,0.225883,0.238392,0.224938,0.236309,0.236309,1592607
2020-05-28,0.236341,0.241281,0.232795,0.234534,0.234534,1704694
2020-05-29,0.234494,0.236108,0.212943,0.222580,0.222580,1665128
2020-05-30,0.222695,0.222695,0.186688,0.199644,0.199644,1625146
2020-05-31,0.199638,0.208458,0.197683,0.201326,0.201326,1568785
2020-06-01,0.201207,0.215977,0.195094,0.211111,0.211111,1583335
2020-06-02,0.210982,0.213054,0.197374,0.206368,0.206368,1490818
2020-06-03,0.206368,0.211139,0.201538,0.205401,0.205401,1501987
2020-06-04,0.205423,0.213952,0.201730,0.209215,0.209215,1551582
2020-06-05,0.209215,0.209313,0.178682,0.182114,0.182114,1602788
2020-06-06,0.182170,0.186329,0.178583,0.184804,0.184804,1540187
2020-06-07,0.184804,0.188704,0.180794,0.186379,0.186379,1422499
2020-06-08,0.186397,0.186836,0.181150,0.186785,0.186785,1448806
2020-06-09,0.186844,0.189076,0.180858,0.180882,0.180882,1441924
2020-06-10,0.180891,0.183356,0.180196,0.182007,0.182007,1449417
2020-06-11,0.182003,0.182836,0.173310,0.175685,0.175685,1346075
2020-06-12,0.174338,0.174338,0.166346,0.169211,0.169211,1358056
2020-06-13,0.169247,0.169978,0.160524,0.160996,0.160996,1316491
2020-06-14,0.160966,0.216372,0.160439,0.200563,0.200563,1584574
2020-06-15,0.200563,0.229426,0.181313,0.209299,0.209299,1653013
