Date,Open,High,Low,Close,Adj Close,Volume
2020-05-25,1.162523,1.458123,1.162523,1.421454,1.421454,129576
2020-05-26,1.347273,1.444793,1.192448,1.206046,1.206046,122765
2020-05-27,1.206046,1.467985,1.198255,1.421525,1.421525,150949
2020-05-28,1.390761,1.432441,1.298795,1.380558,1.380558,178389
2020-05-29,1.416257,1.455954,1.296809,1.384614,1.384614,128432
2020-05-30,1.373480,1.559823,1.336113,1.545089,1.545089,184225
2020-05-31,1.545285,1.561638,1.390351,1.394916,1.394916,145128
2020-06-01,1.422652,1.590114,1.394507,1.530068,1.530068,155398
2020-06-02,1.532986,1.602993,1.393839,1.418150,1.418150,134770
2020-06-03,1.418150,1.507215,1.397348,1.446281,1.446281,117811
2020-06-04,1.447204,1.521034,1.362121,1.443003,1.443003,182803
2020-06-05,1.443003,1.506209,1.413628,1.447991,1.447991,148809
2020-06-06,1.453532,1.578000,1.432760,1.451948,1.451948,148994
2020-06-07,1.451948,1.529140,1.408396,1.485054,1.485054,155774
2020-06-08,1.457223,1.552368,1.440614,1.480775,1.480775,155427
2020-06-09,1.467459,1.611680,1.451687,1.598569,1.598569,197797
2020-06-10,1.601722,1.613499,1.424838,1.473315,1.473315,289624
2020-06-11,1.450082,1.490738,1.330885,1.398217,1.398217,210515
2020-06-12,1.396997,1.540744,1.256477,1.358555,1.358555,153964
2020-06-13,1.352270,1.377504,1.315662,1.333892,1.333892,133215
2020-06-14,1.333635,1.408961,1.293117,1.353448,1.353448,138147
2020-06-15,1.350602,1.393632,1.278601,1.355259,1.355259,144887
2020-06-16,1.320395,1.379384,1.267926,1.327645,1.327645,151143
2020-06-17,1.328596,1.337109,1.257571,1.292962,1.292962,163837
2020-06-18,1.319089,1.478564,1.276836,1.466534,1.466534,161321
2020-06-19,1.435477,1.467494,1.268175,1.282940,1.282940,288382
2020-06-20,1.290708,1.494438,1.269432,1.490820,1.490820,183431
2020-06-21,1.432263,1.679907,1.353636,1.673166,1.673166,236560
2020-06-22,1.667999,2.001615,1.522270,1.633994,1.633994,468146
2020-06-23,1.642068,2.018440,1.625545,1.897404,1.897404,352771
2020-06-24,1.899571,2.030219,1.884082,2.025167,2.025167,356731
2020-06-25,2.027234,2.526092,2.018624,2.238020,2.238020,365284
2020-06-26,2.239126,2.599001,2.233835,2.321961,2.321961,433808
2020-06-27,2.321659,2.406479,2.193194,2.287065,2.287065,393091
2020-06-28,2.287065,2.299039,1.883078,1.907035,1.907035,633461
2020-06-29,1.907035,1.911784,1.818481,1.846272,1.846272,236808
2020-06-30,1.839371,1.867446,1.809474,1.815306,1.815306,205260
2020-07-01,1.816550,1.992415,1.782999,1.915705,1.915705,168946
2020-07-02,1.912579,2.151201,1.803377,2.115226,2.115226,197778
2020-07-03,2.113806,2.239804,2.066140,2.174687,2.174687,196924
2020-07-04,2.171924,2.254106,2.162638,2.221259,2.221259,205648
2020-07-05,2.219302,2.274258,2.054434,2.264127,2.264127,207958
2020-07-06,2.267919,2.359953,2.239610,2.342123,2.342123,212906
2020-07-07,2.333691,2.350124,2.232349,2.295376,2.295376,203741
2020-07-08,2.295376,2.364937,2.089552,2.149725,2.149725,178894
2020-07-09,2.155448,2.171928,2.002313,2.037583,2.037583,183162
2020-07-10,2.040373,2.228449,1.993486,2.222325,2.222325,202097
2020-07-11,2.222325,2.230351,2.004189,2.028319,2.028319,187841
2020-07-12,2.028120,2.383267,1.978843,2.067364,2.067364,183099
2020-07-13,2.067364,2.320051,2.031625,2.034956,2.034956,317113
2020-07-14,2.037766,2.037797,1.688928,1.727250,1.727250,770367
2020-07-15,1.721649,1.748744,1.667907,1.701044,1.701044,596599
2020-07-16,1.690422,1.745022,1.628704,1.677543,1.677543,589142
2020-07-17,1.675750,2.053138,1.591795,1.925015,1.925015,980706
2020-07-18,1.929727,2.013898,1.836636,1.897043,1.897043,913884
2020-07-19,1.892381,2.005354,1.846613,1.863214,1.863214,837586
2020-07-20,1.862856,2.243308,1.862856,2.174350,2.174350,1056637
2020-07-21,2.168706,2.257422,1.906661,2.107692,2.107692,981215
2020-07-22,2.107534,2.469555,2.043328,2.461955,2.461955,1136357
2020-07-23,2.461955,2.991933,2.451936,2.991933,2.991933,1179044
2020-07-24,2.991933,3.944358,2.872869,3.557816,3.557816,1255614
2020-07-25,3.565257,4.124437,3.357637,4.121598,4.121598,1484039
2020-07-26,4.105219,5.158567,3.867941,4.194580,4.194580,1637954
2020-07-27,4.194604,4.309445,3.985897,4.031607,4.031607,1386604
2020-07-28,4.034687,4.145097,3.964518,4.035044,4.035044,1248428
2020-07-29,4.048438,4.526570,3.833223,4.012449,4.012449,1742534
2020-07-30,4.011339,4.148882,3.824683,4.138924,4.138924,1744477
2020-07-31,4.138924,4.599329,4.092506,4.326332,4.326332,2080006
2020-08-01,4.332803,4.389059,3.999578,4.222226,4.222226,1669710
2020-08-02,4.213217,4.865374,4.198104,4.500928,4.500928,1809498
2020-08-03,4.490678,4.618360,4.328439,4.413494,4.413494,1635374
2020-08-04,4.432439,4.759021,4.301260,4.303118,4.303118,1640785
2020-08-05,4.303310,4.571942,4.285089,4.343155,4.343155,1892976
2020-08-06,4.343155,4.574700,4.274504,4.515957,4.515957,1571772
2020-08-07,4.514462,4.548550,4.251099,4.364930,4.364930,1614658
2020-08-08,4.365418,4.732912,4.314678,4.557538,4.557538,1773256
2020-08-09,4.560355,4.875963,4.377826,4.542678,4.542678,1952548
2020-08-10,4.542678,5.433049,4.542678,5.409497,5.409497,3123200
2020-08-11,5.408714,5.989021,5.214220,5.272423,5.272423,2808671
2020-08-12,null,null,null,null,null,null
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,7.119242,7.538319,6.796666,7.209980,7.209980,2292041
2020-08-17,7.209980,7.333951,6.766244,7.109500,7.109500,1921272
2020-08-18,7.095877,7.858612,7.067798,7.342676,7.342676,2947527
2020-08-19,7.361447,7.840180,7.005812,7.103800,7.103800,2367226
2020-08-20,7.103800,7.454440,6.774002,6.971806,6.971806,2378904
2020-08-21,6.951411,6.999991,6.301082,6.326067,6.326067,1841085
2020-08-22,6.320455,6.585274,6.117776,6.273369,6.273369,3297287
2020-08-23,6.269177,6.416897,6.066599,6.241357,6.241357,2035621
2020-08-24,6.241676,6.986157,6.211839,6.974805,6.974805,2658436
2020-08-25,6.965257,7.012639,6.347548,6.566715,6.566715,2528983
2020-08-26,6.577297,7.018276,6.524969,6.936000,6.936000,2885440
2020-08-27,6.932930,8.539132,6.898263,8.539132,8.539132,4988940
2020-08-28,8.533396,12.112640,8.463631,12.112183,12.112183,13959500
2020-08-29,12.119184,14.285395,10.611493,11.267968,11.267968,16228310
2020-08-30,11.270076,16.110201,11.253672,15.795698,15.795698,16909113
2020-08-31,15.999276,23.475676,15.899375,22.700447,22.700447,87170084
2020-09-01,22.701565,27.631405,20.689318,24.987200,24.987200,101371997
2020-09-02,24.916702,24.916702,18.299271,23.443672,23.443672,92628082
2020-09-03,23.487970,23.984375,17.008617,17.360933,17.360933,39544944
2020-09-04,17.382975,18.902582,16.696789,18.882547,18.882547,20311927
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null
2020-09-09,null,null,null,null,null,null
2020-09-10,null,null,null,null,null,null
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null
2020-09-20,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null
2020-09-22,11.295816,11.373451,10.425295,10.881062,10.881062,24258162
2020-09-23,10.880910,10.897202,8.914156,9.153065,9.153065,19789678
2020-09-24,9.153065,10.314103,8.955518,10.262910,10.262910,17479016
2020-09-25,10.265381,10.708444,10.056565,10.374899,10.374899,18301609
2020-09-26,10.441559,10.683255,10.017566,10.683255,10.683255,17109067
2020-09-27,10.497584,10.864434,9.728653,10.079663,10.079663,17341063
2020-09-28,10.079663,10.482869,9.945704,9.948641,9.948641,15858284
2020-09-29,9.946766,10.132483,9.082319,9.374239,9.374239,19028833
2020-09-30,9.369775,9.613376,8.543215,8.856701,8.856701,18132399
2020-10-01,8.934935,9.271492,8.456490,8.467657,8.467657,17308054
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,6.989880,7.290222,6.945559,7.143899,7.143899,13515860
2020-10-06,7.151942,7.249284,6.543383,6.575614,6.575614,17354008
2020-10-07,6.573796,6.625866,5.826326,5.967243,5.967243,13422819
2020-10-08,5.946112,6.575977,5.820182,6.563350,6.563350,17015448
2020-10-09,null,null,null,null,null,null
2020-10-10,10.020278,10.194390,8.972794,8.972794,8.972794,60840762
2020-10-11,8.928823,9.500055,8.530799,8.733384,8.733384,46858377
2020-10-12,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null
2020-10-14,9.200882,9.210479,8.255669,8.362928,8.362928,14455925
2020-10-15,8.375906,8.387656,7.814219,8.154975,8.154975,12781484
2020-10-16,8.151696,8.169703,7.618840,7.619005,7.619005,11379925
2020-10-17,7.619283,7.791857,7.345953,7.459582,7.459582,9001641
2020-10-18,7.451656,10.284659,7.336887,9.149808,9.149808,43848083
2020-10-19,9.165550,9.400894,8.462358,8.532827,8.532827,22199441
2020-10-20,8.544466,8.609090,8.060797,8.126667,8.126667,22009809
2020-10-21,8.105176,8.499168,7.987723,8.166581,8.166581,31586798
2020-10-22,8.169431,8.495411,7.989735,8.194349,8.194349,15984600
2020-10-23,8.229092,8.237942,7.845488,8.002796,8.002796,12075917
2020-10-24,8.002842,8.291149,7.940763,8.225518,8.225518,10633667
2020-10-25,8.225518,8.263229,7.758875,7.840168,7.840168,16267848
2020-10-26,7.840189,7.969157,7.308500,7.670961,7.670961,15204712
2020-10-27,7.670954,7.703452,7.185513,7.185513,7.185513,24884582
