Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,10.748100,21.800800,9.671240,11.334900,11.334900,3196
2017-06-02,11.339900,14.480200,6.864950,9.087440,9.087440,23401
2017-06-03,9.083880,17.686501,5.503860,9.155650,9.155650,23728
2017-06-04,9.131430,13.857900,5.162070,10.319900,10.319900,26662
2017-06-05,10.570900,19.060801,8.106000,19.060801,19.060801,3495730
2017-06-06,19.128901,19.175699,15.552900,16.844900,16.844900,1989300
2017-06-07,16.849100,17.090000,12.757100,13.052900,13.052900,1101790
2017-06-08,12.932700,14.630900,5.262760,8.119520,8.119520,1732100
2017-06-09,8.293850,11.275000,8.240120,8.817770,8.817770,1128090
2017-06-10,8.824420,9.884300,7.790390,8.154630,8.154630,485824
2017-06-11,8.149810,10.857000,7.238120,10.219300,10.219300,364843
2017-06-12,10.409500,11.641900,8.539300,9.486410,9.486410,508947
2017-06-13,9.454670,10.885800,8.870900,10.210300,10.210300,233285
2017-06-14,10.204400,11.887800,8.361680,8.766840,8.766840,324085
2017-06-15,9.179250,9.582790,7.192370,8.525950,8.525950,258595
2017-06-16,8.495510,8.972910,7.705210,8.384160,8.384160,243002
2017-06-17,8.368020,8.860940,7.748840,7.884900,7.884900,188220
2017-06-18,7.843790,8.462720,6.284230,6.794550,6.794550,315384
2017-06-19,6.621060,7.306610,6.270040,6.548650,6.548650,458862
2017-06-20,6.548520,7.119310,6.438610,6.439880,6.439880,232102
2017-06-21,6.472110,7.696600,6.418820,6.497490,6.497490,280990
2017-06-22,6.495440,7.211740,6.432860,6.857550,6.857550,200342
2017-06-23,6.859070,10.001300,6.859070,9.175410,9.175410,615053
2017-06-24,9.174530,9.490690,7.952880,8.100660,8.100660,197645
2017-06-25,8.082260,8.264080,6.768510,7.056170,7.056170,188597
2017-06-26,7.052490,7.529740,5.793580,6.390720,6.390720,245934
2017-06-27,6.674730,6.763770,5.635780,6.330050,6.330050,168652
2017-06-28,6.483190,6.593930,5.465410,6.214330,6.214330,249964
